"Name",-0
"String","int"
"Patrick Corander",
"Niko Derome",
"Jonathan Dower",
"Visa Forsten",
"Tommi Hakala",
"Hrvoje Horbec",
"Chih-Han Hsu",
"Rene Kivioja",
"Rauli Laatikainen",
"Lassi Leppinen",
"Jani Lintunen",
"Martin Schjøler",
"Timothy Smith",
"Antti Summala",
"Tibor Toth",
"-",
"Mikko Hokkanen",
"Daniel Iosca",
"Janne Juhola",
"Mikko Lehtonen",
"Lasse Louhento",
"Antti Mattila",
"Taneli Oksama",
"Douglas Portugal",
"Asko Puurula",
"Petri Styrman",
"Ewan Thonger",
"Wilhelm Tigerstedt",
"Kustaa Vuori",
"Tuomas Volotinen",
