"Name","Loop","FollowParent","ShakeScreen","Time","Sound","Type","FileName","ExportName","ParticleEmitterName","Effect","Layer","FlashColor","Scale","FlashDuration","TextInstanceName","TextParentInstanceName","EnemyVersion","FlashWidth"
"string","boolean","boolean","int","int","string","string","string","string","string","string","string","int","int","int","string","string","string","int"
"upgradeCard_start",,,,,"sound_upgradeCard_start","SWF",,,,,"Above",,,,,,,
,,,,,,"ParticleEmitter",,,"ArcherTower_particle1",,"Above",,,,,,,
"upgradeCard_ready",,,,,"sound_upgradeCard_ready","SWF",,,,,"Above",,,,,,,
,,,,,,"ParticleEmitter",,,"Card_upgraded_effect1",,"Above",,,,,,,
,,,,,,"ParticleEmitter",,,"Card_upgrade_effect2",,"Above",,,,,,,
,,,,3200,,"ParticleEmitter",,,"Card_upgrade_effect2",,"Above",,,,,,,
,,,,6400,,"ParticleEmitter",,,"Card_upgrade_effect2",,"Above",,,,,,,
,,,,9600,,"ParticleEmitter",,,"Card_upgrade_effect2",,"Above",,,,,,,
,,,,,,"ParticleEmitter",,,"Card_upgrade_effect3",,"Above",,,,,,,
"upgradeCard_stat_appear",,,,,"sound_upgradeCard_stat_appear","SWF",,,,,"Above",,,,,,,
"upgradeCard_stat_change",,,,,"sound_upgradeCard_stat_change","SWF",,,,,"Above",,,,,,,
"openChest_wood",,,,,"sound_openChest_wood","SWF",,,,,"Above",,,,,,,
"openChest_iron",,,,,"sound_openChest_iron","SWF",,,,,"Above",,,,,,,
"openChest_gold",,,,,"sound_openChest_gold","SWF",,,,,"Above",,,,,,,
"openChest_magical",,,,,"sound_openChest_magical","SWF",,,,,"Above",,,,,,,
"openChest_star",,,,,"sound_openChest_star","SWF",,,,,"Above",,,,,,,
"openChest_get_gold",,,,,"sound_openChest_get_gold","SWF",,,,,"Above",,,,,,,
,,,,,,"ParticleEmitter",,,"openChest_common_effect_smoke",,"Base",,,,,,,
"openChest_get_gem",,,,,"sound_openChest_get_gem","SWF",,,,,"Above",,,,,,,
,,,,,,"ParticleEmitter",,,"openChest_common_effect_smoke",,"Base",,,,,,,
"openChest_get_common",,,,,"sound_openChest_get_common","SWF",,,,,"Above",,,,,,,
,,,,,,"ParticleEmitter",,,"openChest_common_effect_smoke",,"Base",,,,,,,
"openChest_get_rare",,,,,"sound_openChest_get_rare","SWF",,,,,"Above",,,,,,,
,,,,,,"ParticleEmitter",,,"openChest_get_rare",,"Object",,,,,,,
,,,,,,"ParticleEmitter",,,"openChest_common_effect_smoke",,"Base",,,,,,,
"openChest_get_epic",,,,,"sound_openChest_get_epic","SWF",,,,,"Above",,,,,,,
,,,,,,"ParticleEmitter",,,"openChest_epic_stars2",,"Above",,,,,,,
"openChest_loop_gold",,,,,"sound_openChest_loop_gold","SWF",,,,,"Above",,,,,,,
"openChest_loop_gem",,,,,"sound_openChest_loop_gem","SWF",,,,,"Above",,,,,,,
