"Name","TID","NotBeenInClan","MinNpcWins","MaxNpcWins","MinArena","MaxArena","MinTophies","MaxTrophies","MinExpLevel","MaxExpLevel","iOSTID","AndroidTID"
"String","String","boolean","int","int","int","int","int","int","int","int","String","String"
"welcome message","TID_HINT_WELCOME",,,6,,,,,,,,
"winning condition1","TID_HINT_WINNING_CONDITION1",,2,,,1,,,,,,
"winning condition2","TID_HINT_WINNING_CONDITION2",,2,,,1,,,,,,
"elixir basics1","TID_HINT_ELIXIR_BASICS1",,4,,,1,,,,,,
"elixir basics2","TID_HINT_ELIXIR_BASICS2",,4,,,1,,,,,,
"elixir basics3","TID_HINT_ELIXIR_BASICS3",,4,,,1,,,,,,
"exp level1","TID_HINT_EXP_LEVEL1",,,,2,3,,,,,,
"exp level2","TID_HINT_EXP_LEVEL2",,,,2,3,,,,,,
"battle basics1","TID_HINT_BATTLE_BASICS1",,,,2,3,,,,,,
"battle basics2","TID_HINT_BATTLE_BASICS2",,,,2,3,,,,,,
"join clan","TID_HINT_JOIN_CLAN","TRUE",,,,,,,3,,,
"tv royale","TID_HINT_TV_ROYALE",,,,1,3,,,,,,
"arrows","TID_HINT_ARROWS",,6,,,2,,,,,,
"giant","TID_HINT_GIANT",,6,,,2,,,,,,
"knight and archers","TID_HINT_KIGHT_AND_ARCHERS",,,,1,1,,,,,,
"area damage","TID_HINT_AREA_DAMAGE",,,,2,3,,,,,,
"free chest","TID_HINT_FREE_CHEST",,,,2,3,,,,,,
"match duration","TID_HINT_MATCH_DURATION",,,,1,3,,,,,,
"overtime","TID_HINT_OVERTIME",,,,1,3,,,,,,
"card types","TID_HINT_CARD_TYPES",,,,2,3,,,,,,
"card rarities","TID_HINT_CARD_RARITIES",,,,1,3,,,,,,
"deck basics1","TID_HINT_DECK_BASICS1",,,,2,3,,,,,,
"deck basics2","TID_HINT_DECK_BASICS2",,,,1,1,,,,,,
"achievements","TID_HINT_ACHIEVEMENT_GEMS",,,,,,,,3,6,,
"clan rewards","TID_HINT_DONATE_REWARDS",,,,,,,,3,6,,
"king activation","TID_HINT_KING_ACTIVATION",,,,2,4,,,,,,
"king daughters","TID_HINT_KING_DAUGHTERS",,,,2,3,,,,,,
"story1","TID_HINT_STORY1",,,,3,4,,,,,,
"building lifetime","TID_HINT_BUILDING_LIFETIME",,,,2,4,,,,,,
"crown towers","TID_HINT_TOWER_TARGETING",,,,2,3,,,,,,
"building targeting","TID_HINT_BUILDINGS",,,,2,3,,,,,,
"common max level","TID_HINT_COMMON_MAX_LEVEL",,,,,,,,8,,,
"rare max level","TID_HINT_RARE_MAX_LEVEL",,,,,,,,8,,,
"epic max level","TID_HINT_EPIC_MAX_LEVEL",,,,,,,,8,,,
"card upgrades","TID_HINT_CARD_UPGRADES",,,,1,2,,,,,,
"card unlocks","TID_HINT_CARD_UNLOCKS",,,,2,3,,,,,,
"card shop","TID_HINT_SHOP_CYCLE",,,,1,4,,,,,,
"chest basics1","TID_HINT_CHEST_BASICS1",,,,2,4,,,,,,
"chest basics2","TID_HINT_CHEST_BASICS2",,,,2,4,,,,,,
"chest basics3","TID_HINT_CHEST_BASICS3",,,,2,4,,,,,,
"chest basics4","TID_HINT_CHEST_BASICS4",,,,2,4,,,,,,
