"TID","EN",,,,,,,,,,,,,,
"string","string",,,,,,,,,,,,,,
"TID_LOADING","Loading...",,,,,,,,,,,,,,
"TID_TIME_M_S","<M>:<S>",,,,,,,,,,,,,,
"TID_TAB_BATTLE","Battle",,,,,,,,,,,,,,
"TID_TAB_SPELLS","Cards",,,,,,,,,,,,,,
"TID_TAB_CLAN","Clan",,,,,,,,,,,,,,
"TID_TAB_SHOP","Shop",,,,,,,,,,,,,,
"TID_TAB_FEED","TV Royale",,,,,,,,,,,,,,
"TID_BUTTON_GO_HOME","Go Home",,,,,,,,,,,,,,
"TID_BUTTON_CLOSE","Close",,,,,,,,,,,,,,
"TID_BUTTON_DONATE","Donate",,,,,,,,,,,,,,
"TID_WORKERS","Builders",,,,,,,,,,,,,,
"TID_TIME_DAYS","d",,,,,,,,,,,,,,
"TID_TIME_HOURS","h",,,,,,,,,,,,,,
"TID_TIME_MINS","min",,,,,,,,,,,,,,
"TID_TIME_SECS","sec",,,,,,,,,,,,,,
"TID_RECEIVED_REWARDS","Magical treasure!",,,,,,,,,,,,,,
"TID_BUTTON_CANCEL","Cancel",,,,,,,,,,,,,,
"TID_MATCHMAKING","Searching\nfor opponent",,,,,,,,,,,,,,
"TID_MATCHMAKING_CHALLENGE","Waiting for clan member",,,,,,,,,,,,,,
"TID_MATCH_FINDING","Matchmaking",,,,,,,,,,,,,,
"TID_CANCEL","Cancel",,,,,,,,,,,,,,
"TID_CANCELLING","Canceling",,,,,,,,,,,,,,
"TID_TITLE_LEADERBOARD","Top Royales",,,,,,,,,,,,,,
"TID_VICTORY_REWARD","Victory reward:",,,,,,,,,,,,,,
"TID_CHEST_DESCRIPTION_BASIC","Contains <c38c9ff>gold</c> and <c38c9ff><CARD_COUNT> cards</c>.",,,,,,,,,,,,,,
"TID_CHEST_DESCRIPTION_ONE_RARE","Contains <c38c9ff>gold</c> and <c38c9ff><CARD_COUNT> cards</c>.\nAt least <c38c9ff>1 rare</c>.",,,,,,,,,,,,,,
"TID_CHEST_DESCRIPTION_MULTIPLE_RARES","Contains <c38c9ff>gold</c> and <c38c9ff><CARD_COUNT> cards</c>.\nAt least <c38c9ff><RARE_COUNT> rares</c>.",,,,,,,,,,,,,,
"TID_CHEST_DESCRIPTION_ONE_EPIC","Contains <c38c9ff>gold</c> and <c38c9ff><CARD_COUNT> cards</c>.\nAt least <c38c9ff>1 epic</c> and <c38c9ff><RARE_COUNT> rares</c>.",,,,,,,,,,,,,,
"TID_CHEST_DESCRIPTION_MULTIPLE_EPICS","Contains <c38c9ff>gold</c> and <c38c9ff><CARD_COUNT> cards</c>.\nAt least <c38c9ff><EPIC_COUNT> epics</c> and <c38c9ff><RARE_COUNT> rares</c>.",,,,,,,,,,,,,,
"TID_CHEST_WOOD","Wooden chest",,,,,,,,,,,,,,
"TID_CHEST_SILVER","Silver chest",,,,,,,,,,,,,,
"TID_CHEST_GOLD","Golden chest",,,,,,,,,,,,,,
"TID_CHEST_MAGICAL","Magical chest",,,,,,,,,,,,,,
"TID_CHEST_WOOD_NOTIFICATION","Wooden chest unlocked!",,,,,,,,,,,,,,
"TID_CHEST_SILVER_NOTIFICATION","Silver chest unlocked!",,,,,,,,,,,,,,
"TID_CHEST_GOLD_NOTIFICATION","Golden chest unlocked!",,,,,,,,,,,,,,
"TID_CHEST_MAGICAL_NOTIFICATION","Epic chest unlocked!",,,,,,,,,,,,,,
