Name,IconSWF,IconExportName
String,String,String
clan_badge_01_01,sc/ui.sc,clan_badge_01_01
clan_badge_01_02,sc/ui.sc,clan_badge_01_02
clan_badge_01_03,sc/ui.sc,clan_badge_01_03
clan_badge_01_04,sc/ui.sc,clan_badge_01_04
clan_badge_02_01,sc/ui.sc,clan_badge_02_01
clan_badge_02_02,sc/ui.sc,clan_badge_02_02
clan_badge_02_03,sc/ui.sc,clan_badge_02_03
clan_badge_02_04,sc/ui.sc,clan_badge_02_04
clan_badge_03_01,sc/ui.sc,clan_badge_03_01
clan_badge_03_02,sc/ui.sc,clan_badge_03_02
clan_badge_03_03,sc/ui.sc,clan_badge_03_03
clan_badge_03_04,sc/ui.sc,clan_badge_03_04
clan_badge_04_01,sc/ui.sc,clan_badge_04_01
clan_badge_04_02,sc/ui.sc,clan_badge_04_02
clan_badge_04_03,sc/ui.sc,clan_badge_04_03
clan_badge_04_04,sc/ui.sc,clan_badge_04_04
clan_badge_05_01,sc/ui.sc,clan_badge_05_01
clan_badge_05_02,sc/ui.sc,clan_badge_05_02
clan_badge_05_03,sc/ui.sc,clan_badge_05_03
clan_badge_05_04,sc/ui.sc,clan_badge_05_04
clan_badge_06_01,sc/ui.sc,clan_badge_06_01
clan_badge_06_02,sc/ui.sc,clan_badge_06_02
clan_badge_06_03,sc/ui.sc,clan_badge_06_03
clan_badge_06_04,sc/ui.sc,clan_badge_06_04
clan_badge_07_01,sc/ui.sc,clan_badge_07_01
clan_badge_07_02,sc/ui.sc,clan_badge_07_02
clan_badge_07_03,sc/ui.sc,clan_badge_07_03
clan_badge_07_04,sc/ui.sc,clan_badge_07_04
clan_badge_07_05,sc/ui.sc,clan_badge_07_05
clan_badge_07_06,sc/ui.sc,clan_badge_07_06
clan_badge_08_01,sc/ui.sc,clan_badge_08_01
clan_badge_08_02,sc/ui.sc,clan_badge_08_02
clan_badge_08_03,sc/ui.sc,clan_badge_08_03
clan_badge_09_01,sc/ui.sc,clan_badge_09_01
clan_badge_09_02,sc/ui.sc,clan_badge_09_02
clan_badge_09_03,sc/ui.sc,clan_badge_09_03
clan_badge_10_01,sc/ui.sc,clan_badge_10_01
