"Name","SightRange","DeployTime","ChargeRange","Speed","Hitpoints","HitSpeed","LoadTime","Damage","DamageSpecial","DamageType","Projectile","Range","MinimumRange","AttacksGround","AttacksAir","DeathDamageRadius","DeathDamage","DeathPushBack","Healing","ReloadAfterHits","ReloadTime","LifeTime","ProjectileSpecial","ProjectileEffect","ProjectileEffectSpecial","AreaDamageRadius","TargetOnlyBuildings","DamageTypeVulnerabilities","DamageTypeImmunities","SpecialAttackInterval","BuffOnDamage","BuffOnDamageTime","IgnoreTargetIfImmuneToBuff","StartingBuff","StartingBuffTime","FileName","BlueExportName","BlueTopExportName","RedExportName","RedTopExportName","UseAnimator","AttachedCharacter","AttachedCharacterHeight","DamageEffect","DamageEffectSpecial","DeathEffect","MoveEffect","SpawnEffect","CrowdEffects","ShadowScaleX","ShadowScaleY","ShadowX","ShadowY","ShadowSkew","Pushback","IgnorePushback","Scale","CollisionRadius","Mass","TileSizeOverride","AreaBuff","AreaBuffTime","AreaBuffRadius","AreaBuffOwnTroops","AreaBuffEnemies","Gold","ManaOnDeath","HealthBar","HealthBarOffsetY","ShowHealthNumber","FlyingHeight","DamageExportName","GrowTime","GrowSize","MorphCharacter","MorphEffect","HealOnMorph","AreaEffectOnMorph","AttackStartEffect","AttackStartEffectSpecial","DashCooldown","JumpHeight","DashPushBack","DashRadius","DashDamage","LandingEffect","DashMinRange","DashMaxRange","JumpSpeed","ContinuousEffect","SpawnStartTime","SpawnInterval","SpawnNumber","SpawnLimit","SpawnPauseTime","SpawnCharacterLevelIndex","SpawnCharacter","SpawnCharacterEffect","DeathSpawnCount","DeathSpawnCharacter","Kamikaze","ChargeEffect","TakeDamageEffect","ProjectileStartRadius","ProjectileStartZ","StopMovementAfterMS","WaitMS","IsSummonerTower","NoDeploySizeW","NoDeploySizeH","TID","VariableDamage2","VariableDamageTime1","VariableDamage3","VariableDamageTime2","TargettedDamageEffect1","TargettedDamageEffect2","TargettedDamageEffect3","DamageLevelTransitionEffect12","DamageLevelTransitionEffect23","FlameEffect1","FlameEffect2","FlameEffect3","TargetEffectY","ForceAttackAnimationToEnd","SelfAsAoeCenter","HidesWhenNotAttacking","HideTimeMs","TargetedHitEffect","UpTimeMs","HideEffect","AppearEffect","ManaCollectAmount","ManaGenerateTimeMs","ManaGenerateLimit","HasRotationOnTimeline","TurretMovement","ProjectileYOffset","ChargeSpeedMultiplier","RandomDeployDelay","DeployBaseAnimExportName","JumpEnabled","SightClip","Egg"
"string","int","int","int","int","int","int","int","int","int","string","string","int","int","boolean","boolean","int","int","int","int","int","int","int","string","string","string","int","boolean","string","string","int","string","int","boolean","string","int","string","string","string","string","string","boolean","string","int","string","string","string","string","string","boolean","int","int","int","int","int","int","boolean","int","int","int","int","string","int","int","boolean","boolean","int","int","string","int","boolean","int","string","int","int","string","string","boolean","string","string","string","int","int","int","int","int","string","int","int","int","string","int","int","int","int","int","int","string","string","int","string","boolean","string","string","int","int","int","int","boolean","int","int","string","int","int","int","int","string","string","string","string","string","string","string","string","int","boolean","boolean","boolean","int","string","int","string","string","int","int","int","boolean","int","int","int","int","string","boolean","int","string"
"KingTower",8000,,,,2400,1000,500,,,,"KingProjectile",8000,,"true","true",,,,,,,,,"King_attack",,,,,,,,,,"SummonerBuff",-1,"sc/building_tower.sc","KingTower_blue",,"KingTower_red",,,,2400,"musketeer_hit",,"King_player_die",,,,102,60,-6,2,13,,,100,1400,,2,,,,,,,,"Summoner",-27,"true",,"filter_damage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,3500,,,,18,16,"TID_CHARACTER_WIZARD",,,,,,,,,,,,,,,,,,,,,,,,,"true",5,400,,,,,,
"PrincessTower",8500,,,,1400,800,,,,,"PrincessProjectile",8500,,"true","true",,,,,,,,,"ArcherTowerAttack",,,,,,,,,,,,"sc/building_tower.sc","StarTower_base_blue","StarTower_top_blue","StarTower_base_red","StarTower_top_red",,"PrincessB",2200,,,"TowerExplode",,,"true",102,70,-5,5,13,,,100,1000,,,,,,,,,,"Tower",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,3000,,,"true",11,21,"TID_BUILDING_ARCHER_TOWER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cannon",7000,1000,,,700,800,,,,,"TowerCannonball",7000,,"true",,,,,,,,60000,,"cannon_fire_projectile",,,,,,,,,,,,"sc/building_basic_cannon.sc","building_cannon",,"building_enemy_cannon",,,,,,,"Cannon_die",,"Cannon_deploy",,90,-90,-7,10,10,,,100,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,2500,,,,,,"TID_BUILDING_CANNON",,,,,,,,,,,,,,,,,,,,,,,,,"true",15,,,,,,,
"GoblinHut",,1000,,,700,10000,,,,,,,,"true",,,,,,,,60000,,,,,,,,,,,,,,"sc/building_goblin_hut.sc","building_goblinHut_player",,"building_goblinHut_enemy",,,,,,,"goblin_hut_die",,"goblin_hut_deploy",,90,60,-8,,5,,,100,1000,,,,,,,,,,,,,,"filter_damage_wobble",,,,,,,,,,,,,,,,,,,,,1,,4950,2,"SpearGoblin",,,,,,,400,400,,,,,,"TID_BUILDING_GOBLIN_HUT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mortar",13000,3000,,,500,5000,4000,,,,"MortarProjectile",13000,5000,"true",,,,,,,,60000,,"mortar_attack",,,,,,,,,,,,"sc/building_mortar.sc","building_mortar1",,"building_mortar1_enemy",,"true",,,,,"mortar_die",,,,80,80,,,35,,,140,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,,,,,,"TID_BUILDING_MORTAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"InfernoTower",6500,1000,,,840,400,1200,20,,,,6500,,"true","true",,,,,,,60000,,,,,,,,,,,,,,"sc/building_inferno_tower.sc","inferno_blue",,"inferno_red",,"true",,,"inferno_hit_effect",,"Cannon_die",,,,90,70,-5,15,35,,,120,600,,,,,,,,,,,,,,,,,,,,,"knight_attack_start",,,,,,,,,,,"Inferno_continuous",,,,,,,,,,,,,,1000,1000,,,,,,"TID_BUILDING_INFERNO",75,2000,400,2000,"inferno_beam_lvl1","inferno_beam_lvl2","inferno_beam_lvl3","inferno_stage2_root","inferno_stage3_root","inferno_muzzle","inferno_muzzle_stage2","inferno_muzzle_stage3",-80,,,,,,,,,,,,,,,,,,,,
"BombTower",6500,1000,,,800,1900,1400,,,,"BombTowerProjectile",6500,,"true",,,,,,,,60000,,,,,,,,,,,,,,"sc/building_bomb_tower.sc","building_bomb_tower_blue","building_bomb_tower_top_blue","building_bomb_tower_red","building_bomb_tower_top_red",,"Bomber",3200,,,"BombTower_die",,"Cannon_deploy",,100,85,-8,,35,,,100,600,,,,,,,,,,,-15,,,"filter_damage_wobble",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500,,,,,,"TID_BUILDING_BOMB_TOWER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BarbarianHut",,1000,,,700,10000,,,,,,,,"true",,,,,,,,60000,,,,,,,,,,,,,,"sc/building_barbarian_hut.sc","building_barbarian_hut_blue",,"building_barbarian_hut_red",,,,,,,"goblin_hut_die",,,,90,60,-8,,5,,,100,1000,,,,,,,,,,,,,,"filter_damage_wobble",,,,,,,,,,,,,,,,,,,,500,2,,11350,2,"Barbarian",,,,,,,400,400,,,,,,"TID_BUILDING_BARBARIAN_HUT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tesla",6000,1000,,,340,700,,60,,,,6000,,"true","true",,,,,,,60000,,,,,,,,,,,,,,"sc/building_tesla.sc","tesla1_blue",,"tesla1_red",,,,,"tesla_hit_effect",,"tesla_die",,"tesla_deploy",,80,80,,,35,,,90,500,,,,,,,,,,,10,,,,,,,,,,"Tesla_beam",,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,,,,,,"TID_BUILDING_TESLA",,,,,,,,,,,,,-60,,,"true",800,"Tesla_beam",800,"tesla_down","tesla_up",,,,,,,,,,,,
