"Name","NumberValue","BooleanValue","TextValue","StringArray","NumberArray"
"String","int","boolean","string","String","int"
"ALLIANCE_CREATE_RESOURCE",,,"Gold",,
"ALLIANCE_CREATE_COST",1000,,,,
"ALLIANCE_TROOP_REQUEST_COOLDOWN",1200,,,,
"STARTING_DIAMONDS",100,,,,
"CLAN_TOURNAMENT_ENABLED",,"TRUE",,,
"ACHIEVEMENTS_ENABLED",,"TRUE",,,
"MAX_MANA",10,,,,
"MANA_REGEN_MS",28000,,,,
"MANA_REGEN_MS_END",14000,,,,
"MANA_REGEN_MS_OVERTIME",14000,,,,
"MANA_SPEED_UP_WHEN_REMAINING_SECONDS",60,,,,
"MANA_REGEN_PENALTY_FROM_TOWER",,,,,
"START_MANA",5,,,,
"K_FACTOR",60,,,,
"MINIMUM_CHANGE_FOR_REAL_BATTLE",1,,,,
"TARGET_SCORE",1000,,,,
"MINIMUM_SCORE",0,,,,
"DAMAGE_NOTICE_TIME",2000,,,,
"PROTECTION_CAP_PERCENTAGE",90,,,,
"PANIC_RUN_MIN_TIME",1000,,,,
"PANIC_RUN_MAX_TIME",1500,,,,
"PANIC_SPEED_MULTIPLIER",175,,,,
"MAX_MESSAGE_LENGTH",128,,,,
"MAX_ALLIANCE_MAIL_LENGTH",256,,,,
"CHARGE_DAMAGE_MULTIPLIER",200,,,,
"NEXT_SPELL_COOLDOWN_MILLISECONDS",2000,,,,
"NEXT_SPELL_COOLDOWN_MILLISECONDS_BOOST",1000,,,,
"NEXT_SPELL_COOLDOWN_MILLISECONDS_OVERTIME",1000,,,,
"SPEED_UP_DIAMOND_COST_1_MIN",1,,,,
"SPEED_UP_DIAMOND_COST_1_HOUR",20,,,,
"SPEED_UP_DIAMOND_COST_24_HOURS",360,,,,
"SPEED_UP_DIAMOND_COST_1_WEEK",1800,,,,
"BATTLE_END_EXP_REWARD",0,,,,
"GAMBLE_PRICE_COOLDOWN_MINUTES",1380,,,,
"TUTORIAL_MAX_SPELL_CAST_DISTANCE_TILES",6,,,,
"SPEED_UP_FREE_SECONDS",0,,,,
"RESOURCE_DIAMOND_COST_1",1,,,,
"RESOURCE_DIAMOND_COST_10",1,,,,
"RESOURCE_DIAMOND_COST_100",8,,,,
"RESOURCE_DIAMOND_COST_1000",60,,,,
"RESOURCE_DIAMOND_COST_10000",500,,,,
"RESOURCE_DIAMOND_COST_100000",4500,,,,
"RESOURCE_DIAMOND_COST_1000000",45000,,,,
"MAX_RESOURCE_PURCHASE_SIZE",1000000,,,,
"ALLIANCE_SCORE_CONTRIBUTION_PERCENTAGE",,,,,50
,,,,,25
,,,,,12
,,,,,10
,,,,,3
"STARTING_GOLD",100,,,,
"ATTACK_FINISH_TIME_MS",250,,,,
"BATTLE_PING_SAMPLE_SECONDS",15,,,,
"FREE_CHEST_INTERVAL_HOURS",4,,,,
"EXTRA_BUFF_RADIUS",2000,,,,
"PVP_UNLOCKED_AT_LEVEL",1,,,,
"DAMAGE_INCREASE_PERCENT_PER_SPELL_LEVEL",10,,,,
"HITPOINT_INCREASE_PERCENT_PER_SPELL_LEVEL",10,,,,
"DAMAGE_INCREASE_PERCENT_PER_KING_LEVEL",8,,,,
"HITPOINT_INCREASE_PERCENT_PER_KING_LEVEL",8,,,,
"DAMAGE_INCREASE_PERCENT_PER_TOWER_LEVEL",9,,,,
"HITPOINT_INCREASE_PERCENT_PER_TOWER_LEVEL",9,,,,
"END_TIMER_ANIM_MS",12000,,,,
"MAX_CHEST_COUNT",4,,,,
"MAX_WORKERS",1,,,,
"EXTRA_CHEST_ENABLED",,"FALSE",,,
"CHEST_AUTO_OPENING",,"FALSE",,,
"RECORD_TOUCH_EVENTS",,"TRUE",,,
"CROWN_CHEST_COOLDOWN_HOURS",24,,,,
"CROWN_CHEST_CROWN_COUNT",10,,,,
"MELEE_RANGE_LIMIT",2000,,,,
"REQUEST_SPELLS_COOLDOWN_MINUTES",480,,,,
"STARTING_ARENA",,,"TrainingCamp",,
"REDUCED_TOWER_DAMAGE_PERCENT",50,,,,
"LEAVE_ALLIANCE_DONATION_COOLDOWN_MINUTES",150,,,,
"ALLIANCE_UNLOCK_EXP_LEVEL",3,,,,
"TUTORIAL_ARENA_MATCH_COUNT",7,,,,
"TUTORIAL_UPGRADE_COUNT",1,,,,
"PRICE_EPIC",2000,,,,
"PRICE_RARE",40,,,,
"PRICE_COMMON",3,,,,
"PRICE_EPIC_INCREASE_PER_ONE_BOUGHT_PERCENT",180,,,,
"PRICE_RARE_INCREASE_PER_ONE_BOUGHT_PERCENT",140,,,,
"PRICE_COMMON_INCREASE_PER_ONE_BOUGHT_PERCENT",120,,,,
"BUY_LIMIT_EPIC",10,,,,
"BUY_LIMIT_RARE",20,,,,
"BUY_LIMIT_COMMON",50,,,,
"BIG_LIMIT",1000,,,,
"SUPER_LIMIT",50000,,,,
"SHARE_REPLAY_COOLDOWN_SECS",40,,,,
"TEAM_MAIL_COOLDOWN_SECS",43200,,,,
"CHALLENGE_MATCH_COST",5,,,,
"CHALLENGE_MATCHES_ENABLED",,"TRUE",,,
"NAME_POPUP_WIN_CNT",6,,,,
"KING_ACTIVATE_TIME_MS",3300,,,,
"TV_WEIGHT_TOP3_VS_TOP3",100,,,,
"TV_WEIGHT_TOP3_VS_TOP10",70,,,,
"TV_WEIGHT_TOP10_VS_TOP10",60,,,,
"TV_WEIGHT_TOP10_VS_TOP20",55,,,,
"TV_WEIGHT_TOP20_VS_TOP20",50,,,,
"TV_WEIGHT_TOP20_VS_TOP50",45,,,,
"TV_WEIGHT_TOP50_VS_TOP50",40,,,,
"TV_WEIGHT_OTHERS",40,,,,
"TV_WEIGTH_NOT_UNDERDOG",80,,,,
"TV_WEIGHT_WINNER_ONE_CROWN_BEHIND",90,,,,
"DONATION_CAPACITY_LIMIT_COOLDOWN_HOURS",24,,,,
"DEVICE_LINK_CODE_LENGTH",12,,,,
"DEVICE_LINK_CODE_VALID_SECONDS",120,,,,
"RESET_SPELL_USAGE_COUNTER_MATCHES",10,,,,
"FREE_CHEST_DIAMONDS",,,,,2
,,,,,0
,,,,,0
,,,,,0
,,,,,2
,,,,,0
,,,,,0
,,,,,2
,,,,,0
,,,,,0
,,,,,0
,,,,,2
,,,,,0
,,,,,0
,,,,,0
,,,,,2
,,,,,0
,,,,,0
,,,,,2
,,,,,2
,,,,,0
,,,,,0
,,,,,0
,,,,,0
"CROWN_CHEST_DIAMONDS",,,,,2
,,,,,3
,,,,,2
,,,,,3
,,,,,2
,,,,,4
,,,,,2
,,,,,2
,,,,,2
,,,,,4
,,,,,2
,,,,,2
,,,,,3
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,3
,,,,,3
,,,,,2
,,,,,3
,,,,,2
,,,,,3
,,,,,3
