"Name","IconSWF","IconExportName","LocalizedName","Enabled","FileName"
"String","String","String","String","Boolean","String"
"EN","sc/ui.sc","flag_gb","English","true","csv_client/texts.csv"
"FR","sc/ui.sc","flag_france",,,"csv_client/texts.csv"
"DE","sc/ui.sc","flag_germany",,,"csv_client/texts.csv"
"ES","sc/ui.sc","flag_spain",,,"csv_client/texts.csv"
"IT","sc/ui.sc","flag_italy",,,"csv_client/texts.csv"
"NL","sc/ui.sc","flag_netherlands",,,"csv_client/texts.csv"
"NO","sc/ui.sc","flag_norway",,,"csv_client/texts.csv"
"PT","sc/ui.sc","flag_brazil",,,"csv_client/texts.csv"
"TR","sc/ui.sc","flag_turkey",,,"csv_client/texts.csv"
"Asia",,,,,"csv_client/texts.csv"
"Arabic",,,,,"csv_client/texts.csv"
"Other",,,,,"csv_client/texts.csv"
