"Name","Spells","SpellLevel","Description"
"String","String","int","String"
"BasicDeck1","Goblins",1,
"BasicDeck2","Goblins",1,
,"Knight",1,
"BasicDeck3","Knight",1,
,"Goblins",1,
,"Skeletons",1,
"BasicDeck4","Knight",1,
,"Goblins",1,
,"Skeletons",1,
,"Archer",1,
"BasicDeck5","Knight",1,
,"Goblins",1,
,"Skeletons",1,
,"Archer",1,
,"Bomber",1,
"BasicDeck6","Knight",1,
,"Goblins",2,
,"Skeletons",1,
,"Archer",2,
,"Bomber",1,
,"Arrows",1,
"BasicDeck7","Knight",1,
,"Goblins",2,
,"Skeletons",1,
,"Archer",2,
,"Bomber",1,
,"Arrows",1,
,"Fireball",1,
,"Giant",1,
"BasicDeck8","Knight",2,
,"Archer",2,
,"Goblins",2,
,"SpearGoblins",2,
,"Giant",1,
,"GoblinHut",1,
,"Fireball",2,
,"BabyDragon",1,
"BasicDeck9","Knight",2,
,"Archer",2,
,"Goblins",2,
,"SpearGoblins",3,
,"Giant",1,
,"GoblinHut",1,
,"Arrows",3,
,"SkeletonArmy",1,
"BasicDeck10","Knight",3,
,"Archer",3,
,"Goblins",2,
,"Skeletons",2,
,"Prince",1,
,"SpearGoblins",3,
,"Arrows",3,
,"Fireball",1,
"BasicDeck11","Valkyrie",1,
,"Archer",3,
,"Witch",1,
,"Skeletons",3,
,"Tombstone",1,
,"GiantSkeleton",1,
,"Knight",3,
,"Fireball",2,
"BasicDeck12","Knight",3,
,"Archer",3,
,"Goblins",3,
,"Skeletons",4,
,"BombTower",2,
,"Minions",2,
,"Tombstone",2,
,"Balloon",1,
"BasicDeck13","Barbarians",3,
,"BarbarianHut",1,
,"SkeletonArmy",2,
,"Skeletons",4,
,"Witch",1,
,"Fireball",2,
,"Cannon",1,
,"Arrows",4,
"BasicDeck14","Musketeer",2,
,"Bomber",4,
,"BarbarianHut",2,
,"Goblins",4,
,"Giant",2,
,"Balloon",2,
,"Archer",4,
,"Fireball",2,
"BasicDeck15","Musketeer",2,
,"Bomber",5,
,"MiniPekka",2,
,"Goblins",4,
,"Prince",1,
,"Balloon",1,
,"Archer",4,
,"Fireball",4,
"BasicDeck16","Knight",5,
,"Archer",5,
,"SkeletonArmy",2,
,"Goblins",5,
,"Fireball",3,
,"Giant",2,
,"Valkyrie",3,
,"MiniPekka",2,
"BasicDeck17","HogRider",3,
,"InfernoTower",2,
,"Cannon",6,
,"Knight",5,
,"SpearGoblins",6,
,"Prince",3,
,"Archer",6,
,"Fireball",3,
"BasicDeck18","Witch",2,
,"Pekka",2,
,"Goblins",6,
,"SpearGoblins",6,
,"Zap",6,
,"Wizard",3,
,"Archer",6,
,"Arrows",6,
"BasicDeck19","Musketeer",4,
,"MinionHorde",6,
,"Rocket",4,
,"Goblins",6,
,"Giant",4,
,"Wizard",3,
,"Archer",7,
,"Arrows",6,
"BasicDeck20","BarbarianHut",4,
,"Tombstone",3,
,"BombTower",4,
,"Goblins",6,
,"Giant",4,
,"SpearGoblins",7,
,"Prince",3,
,"Fireball",4,
