"Name","LevelCount","RelativeLevel","DonateCapacity","DonateReward","DonateXP","GoldConversionValue","ChanceWeight","BalanceMultiplier","UpgradeExp","UpgradeMaterialCount","UpgradeCost","TID","IconExportNamePrefix","CardBaseFileName","BigFrameExportName","CardBaseExportName","StackedCardExportName","CardRewardExportName","CastEffect","InfoTitleExportName","CardRarityBGExportName","SortOrder","Red","Green","Blue","AppearEffect","BuySound","LoopEffect","ShowAsQuestionMark","CardTxtBgFrameIdx","CardGlowInstanceName"
"String","int","int","int","int","int","int","int","int","int","int","int","String","String","String","String","String","String","String","String","String","String","int","int","int","int","String","String","String","boolean","int","String"
"Common",12,0,1,5,1,5,194,100,4,2,5,"TID_RARITY_COMMON",,"sc/ui.sc","spell_card_big","spell_card","spell_stack","spell_card_reward","SpellCasting","rarity_common","common_order",1,153,204,255,"openChest_get_common","sound_buy_card_common","openChest_loop_common","FALSE",0,
,,,,,,,,,5,4,20,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,6,10,50,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,10,20,150,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,25,50,400,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,50,100,1000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,100,200,2000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,200,400,4000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,400,800,8000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,800,2000,20000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1600,5000,50000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,100,0,,,,,,,,,,,,,,,,,,,,
"Rare",10,2,10,50,5,50,10,130,6,2,50,"TID_RARITY_RARE",,"sc/ui.sc","spell_card_rare_big","spell_card_rare","spell_stack_rare","spell_card_rare_reward","SpellCasting","rarity_rare","rare_order",2,255,204,102,"openChest_get_rare","sound_buy_card_rare","openChest_loop_rare","FALSE",1,"card_glow_rare"
,,,,,,,,,10,4,150,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,25,10,400,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,50,20,1000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,100,50,2000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,200,100,4000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,400,200,8000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,800,500,20000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1600,1000,50000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,10,0,,,,,,,,,,,,,,,,,,,,
"Epic",8,6,200,50,25,1000,1,180,25,2,400,"TID_RARITY_EPIC",,"sc/ui.sc","spell_card_epic_big","spell_card_epic","spell_stack_epic","spell_card_epic_reward","SpellCasting","rarity_epic","epic_order",3,255,153,255,"openChest_get_epic","sound_buy_card_epic","openChest_loop_epic","TRUE",2,"card_frame_glow_epic"
,,,,,,,,,50,4,1000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,100,10,2000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,200,20,4000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,400,50,8000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,800,100,20000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1600,300,50000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,
