"FileName",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SC","ExportName",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"string","string",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"sc/level_dark_arena.sc","dark_game_area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Objects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PrincessTower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,29,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,29,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"KingTower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"dark_pekka_top_left",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1000,-3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"dark_pekka_top_right",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17000,-3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"dark_pekka_bottom_right",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18000,36500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"dark_pekka_bottom_left",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1500,36500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"dark_gate_bottom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9000,35500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"dark_gate_top",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8500,-3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"dark_fire_pot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-3000,15500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,21000,15500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"dark_stand_blue_left",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-4000,23500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-4000,31000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"dark_stand_left_red",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-4000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-4000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"dark_stand_red_right",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"dark_stand_blue_right",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22000,30500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22000,23000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"dark_deco1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,500,17500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,500,14500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17500,14500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17500,17500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Map",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
