"FileName",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SC","ExportName",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"string","string",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"sc/level.sc","arena_grass_01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Objects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PrincessTower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,29,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,29,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"KingTower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Deco_fireplace",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26000,40500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Grassland_rock1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19000,33000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,23000,-1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-1500,-2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Grassland_rock2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22000,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,24500,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-1960,33666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15303,-1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-500,-3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Grassland_tree1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-3500,42000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20500,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25000,28500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3000,-4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,21500,-2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Grassland_tree2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16500,42000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-8000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Grassland_tree3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-7500,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,24399,9666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-8500,20500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-4500,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13000,39500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-5500,-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,29500,8500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26500,5500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-2500,-4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Grassland_tree4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-7500,12500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-7866,31500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26000,-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,29000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,27000,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,27000,8500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,29000,11500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,27000,14500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,500,45500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20000,45500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Deco_wagon1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
