Name,TID,CardLevelAdjustment,DeckSelection,OvertimeSeconds,PredefinedDecks,ElixirProductionMultiplier,ElixirProductionOvertimeMultiplier,UseStartingElixir,StartingElixir,AdditionalBridge,Heroes,ForcedDeckCards,HelpExportName
string,string,String,String,int,string,int,int,boolean,int,boolean,boolean,String,String
BlindDeck,TID_BLIND_DECK_CHALLENGE,Friendly,Predefined,180,BlindDeck1,,,,,,,,popup_tournament_blind_challenge_help
,,,,,BlindDeck2,,,,,,,,
DoubleElixir,TID_DOUBLE_ELIXIR_CHALLENGE,Tournament,Collection,180,,2,,true,0,,,,popup_tournament_2x_elixir_challenge_help
ThreeBridges,TID_THREE_BRIDGES_CHALLENGE,Tournament,Collection,180,,,,,,true,,,popup_tournament_open_help
HeroChallenge,TID_HERO_CHALLENGE,Tournament,Collection,180,,,,,,,true,,popup_tournament_open_help
ElectroWiz,TID_CHALLENGE_ELECTRO_WIZ,Friendly,EventDeck,180,,,,,,,,ElectroWizard,popup_tournament_legendary_challenge_help
DraftMode,TID_DRAFT_CHALLENGE,Friendly,Draft,180,,,,,,,,,popup_tournament_draft_challenge_help
Ladder,,Ladder,Collection,60,,,,,,,,,popup_tournament_open_help
Friendly,,Friendly,Collection,180,,,,,,,,,popup_tournament_open_help
Training,,Ladder,Collection,60,,,,,,,,,popup_tournament_open_help
Tournament,,Tournament,Collection,180,,,,,,,,,popup_tournament_open_help
Challenge,,Tournament,Collection,180,,,,,,,,,popup_tournament_open_help
DoubleElixir_Friendly,TID_DOUBLE_ELIXIR_CHALLENGE,Friendly,Collection,180,,2,,true,0,,,,popup_tournament_2x_elixir_challenge_help
