Name,Dummy
String,String
_EU,
_NA,
_SA,
_AS,
_AU,
_AF,
_INT,
GH,
GA,
GY,
GM,
GG,
GP,
GT,
GU,
GD,
GR,
GL,
GN,
GW,
NA,
NR,
NG,
AQ,
SS,
ZA,
NL,
BQ,
NP,
NO,
NF,
NZ,
NC,
NU,
NE,
NI,
TW,
KR,
DK,
DM,
DO,
DE,
TL,
DG,
LA,
LR,
LV,
RU,
LB,
LS,
RE,
RO,
LU,
RW,
LY,
LT,
LI,
MG,
MQ,
MH,
YT,
MO,
MK,
MW,
MY,
ML,
MT,
IM,
MX,
MC,
MA,
MU,
MR,
MZ,
ME,
MS,
MD,
MV,
MN,
US,
VI,
UM,
AS,
MM,
FM,
VU,
BH,
BB,
VA,
BS,
BD,
BM,
BJ,
VE,
VN,
BE,
BY,
BZ,
BA,
BW,
BO,
BI,
BF,
BV,
BT,
MP,
KP,
BG,
BR,
BN,
WS,
SA,
SM,
ST,
BL,
PM,
EH,
SN,
RS,
EA,
SC,
SX,
LC,
MF,
VC,
KN,
SO,
SB,
SD,
SR,
LK,
SJ,
SZ,
SE,
CH,
ES,
SK,
SI,
SY,
SL,
SG,
AE,
AW,
AM,
AR,
IS,
HT,
IE,
AZ,
AF,
AD,
AL,
DZ,
AO,
AI,
AG,
AC,
ER,
EE,
EC,
ET,
SV,
GB,
VG,
IO,
YE,
OM,
AT,
HN,
AX,
JO,
UG,
UY,
UZ,
UA,
WF,
IQ,
IR,
IL,
EG,
IT,
IN,
ID,
JP,
JM,
ZM,
JE,
GQ,
GE,
CN,
CF,
DJ,
GI,
ZW,
TD,
CZ,
CL,
IC,
CM,
CV,
KZ,
QA,
KH,
CA,
KE,
KY,
KM,
XK,
CR,
CC,
CI,
CO,
CD,
CG,
CW,
CU,
KW,
CK,
HR,
CX,
KG,
KI,
CY,
TJ,
TZ,
TH,
TC,
TR,
TG,
TK,
TO,
TM,
TV,
TN,
TT,
TA,
PA,
PY,
PK,
PG,
PW,
PS,
FO,
PE,
PT,
FK,
PL,
PR,
FR,
GF,
TF,
PF,
FJ,
FI,
PH,
PN,
HM,
HU,
SH,
AU,
HK,
