"Name","NpcOnly","PvpOnly","ShadowR","ShadowG","ShadowB","ShadowA","ShadowOffsetX","ShadowOffsetY","Sound","ExtraTimeMusic","MatchLength","WinCondition","OvertimeSeconds","EndScreenDelay","FileName","AmbientSound","OverlaySC","OverlayExportName","CrowdEffects","CloudFileName","CloudExportName","CloudMinScale","CloudMaxScale","CloudMinSpeed","CloudMaxSpeed","CloudMinAlpha","CloudMaxAlpha","CloudCount","TileDataFileName","WalkEffect","WalkEffectOvertime","LoopingEffectRegularTime","LoopingEffectOvertime","LoopingEffect","LoopingEffectOvertimeSide","ReflectionRed","ReflectionGreen","ReflectionBlue"
"string","boolean","boolean","int","int","int","int","int","int","string","string","int","string","int","int","string","string","string","string","boolean","string","string","int","int","int","int","int","int","int","string","String","String","String","String","String","String","int","int","int"
"FirstMatch","true",,,,100,60,100,100,"Tut_jing_start","60sec_training",,"Normal",,4000,"locations/training_arena.csv","ScrollAmb01",,,,"sc/effects.sc","cloud_1",54,114,25,154,7,10,4,"locations/tilemap.csv",,,,,,,,,
"TrainingCamp","true",,,,100,60,100,100,"Tut_jing_start","60sec_training",180,"Normal",60,4000,"locations/training_arena.csv","ScrollAmb01",,,,"sc/effects.sc","cloud_1",54,114,25,154,7,10,4,"locations/tilemap.csv",,,,,,,,,
"PvP_goblin",,"true",,30,,55,100,200,"Goblin_arena_start","Sudden_death",180,"Normal",60,4000,"locations/goblin_arena.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1",70,110,25,80,15,15,5,"locations/tilemap.csv",,,,,,,,,
"PvP_barbarian",,"true",,,100,50,100,100,"Barbarian_arena_start","Sudden_death",180,"Normal",60,4000,"locations/barbarian_arena.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1",70,110,25,80,15,15,5,"locations/tilemap.csv",,,,,,,,,
"PvP_bone",,"true",50,10,,55,100,144,"Bone_pit_arena_start","Sudden_death",180,"Normal",60,4000,"locations/bone_arena.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1",70,110,25,80,15,15,5,"locations/tilemap.csv",,,,,,,,,
"PvP_dark",,"true",50,10,,55,100,100,"Dark_arena_start","Sudden_death",180,"Normal",60,4000,"locations/dark_arena.csv","ScrollAmb01",,,"true",,,,,,,,,,"locations/tilemap.csv",,,,,,,,,
"PvP_royal",,"true",,,100,50,100,100,"match start","Sudden_death",180,"Normal",60,4000,"locations/royal_arena.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1",70,110,25,80,15,15,5,"locations/tilemap.csv",,,,,,,,,
"PvP_spell",,"true",,,100,50,100,100,"Spell_arena_start","Sudden_death",180,"Normal",60,4000,"locations/spell_arena.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1",70,110,25,80,15,15,5,"locations/tilemap.csv",,,,,,,,,
"PvP_legendary",,"true",,,100,50,100,100,"Legendary_arena_start","Sudden_death",180,"Normal",60,4000,"locations/legendary_arena.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1",114,177,397,112,5,10,,"locations/tilemap.csv",,,,,,,,,
"PvP_builder",,"true",,,100,50,100,100,"Builder_arena_start","Sudden_death",180,"Normal",60,4000,"locations/builder_arena.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1",70,110,25,80,4,9,5,"locations/tilemap.csv",,,,,,,,,
"PvP_ice",,"true",122,132,224,60,100,200,"Ice_arena_start","Sudden_death",180,"Normal",60,4000,"locations/ice_arena.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1",70,110,25,80,15,15,,"locations/tilemap.csv",,,,,"ice_arena_snow",,,,
"PvP_jungle",,"true",122,132,224,60,100,200,"Jungle_arena_start","Sudden_death",180,"Normal",60,4000,"locations/jungle_arena.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1",70,110,25,80,15,15,,"locations/tilemap.csv",,"jungle_arena_walk_splash",,"jungle_arena_rain",,,,,
"TeamVsTeam_royal",,"true",,,100,50,100,100,"match start","Sudden_death",180,"Normal",60,4000,"locations/royal_arena_2v2.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1",70,110,25,80,15,15,5,"locations/tilemap.csv",,,,,,,,,
"PvP_champion",,"true",122,132,224,60,100,200,"Hog_arena_start","Sudden_death",180,"Normal",60,4000,"locations/champion_arena.csv","ScrollAmb01",,,"true","sc/effects.sc","asteroid_shadow_anim_01",70,110,25,80,15,15,5,"locations/tilemap.csv",,,,,,"legendary_arena_loop",24,20,20
