"FileName",,,
,"SC","ExportName",
,"string","string",
,"sc/level_bone_arena.sc","bone_arena_bgr",
"Objects",,,
,"bone_1_left",,
,,"x","y"
,,"int","int"
,,-2000,-2500
,,42500,37000
,"bone_1_right",,
,,"x","y"
,,"int","int"
,,20000,-2000
,,-31500,41500
,"bone_2_left",,
,,"x","y"
,,"int","int"
,,-1000,34000
,"bone_2_right",,
,,"x","y"
,,"int","int"
,,18500,34500
,"bone_endstones_bottom",,
,,"x","y"
,,"int","int"
,,8932,36250
,,34000,44000
,,-26000,25000
,,-22500,27000
,"bone_endstones_top",,
,,"x","y"
,,"int","int"
,,8866,-1000
,,32000,-6500
,,9000,-12000
,,-21500,-6500
,,-28000,-9000
,,-28200,-3875
,"bone_sidestands_botleft",,
,,"x","y"
,,"int","int"
,,22000,22500
,,28500,24500
,"bone_sidestands_botright",,
,,"x","y"
,,"int","int"
,,-6000,22000
,,-12000,24000
,"bone_sidestands_right",,
,,"x","y"
,,"int","int"
,,-5800,4414
,,-11000,2000
,"bone_sidestands_topleft",,
,,"x","y"
,,"int","int"
,,22166,4583
,,28500,1500
,"bone_tower1",,
,,"x","y"
,,"int","int"
,,2500,-4000
,,1000,-7000
,"bone_tower2",,
,,"x","y"
,,"int","int"
,,14500,39500
,,39000,52000
,"bone_deco_left",,
,,"x","y"
,,"int","int"
,,500,17500
,,500,14666
,,1500,41500
,,-20000,-9500
,,29000,13000
,,12000,-10500
,"bone_deco_right",,
,,"x","y"
,,"int","int"
,,17500,17500
,,17500,14625
,,29500,47000
,,-6500,32500
,,-10500,35000
,"bone_decostone1",,
,,"x","y"
,,"int","int"
,,11500,41500
,,25500,-4000
,,-22000,7500
,,-6500,41000
,,-15000,20500
,,27000,37500
,,32000,14500
,,36000,28000
,,29500,45500
,,36000,-9000
,,10500,-8000
,,-18000,-10000
,,-20000,35000
,,-20000,-4000
,,10500,47500
,,-27000,20000
,"bone_decostone2",,
,,"x","y"
,,"int","int"
,,6500,41500
,,16000,-1500
,,-12500,35500
,,18500,39000
,,7500,-5500
,,16000,-6500
,,-14500,23000
,,-4500,43000
,,19000,46500
,,37500,4000
,,25000,39000
,,31000,35500
,,30500,17500
,,27500,16000
,,38000,39500
,,-29500,21000
,,-19000,37500
,,-22000,48500
,,-25000,29500
,,-31000,4000
,,-21000,-2500
"Background",,,
