"FileName",,,
,"SC","ExportName",
,"string","string",
,"sc/level_builder_arena.sc","builder_arena_bgr",
"Objects",,,
,"builder_blue_sidestand1",,
,,"x","y"
,,"int","int"
,,-1966,26208
,"builder_blue_sidestand2",,
,,"x","y"
,,"int","int"
,,19962,25708
,"builder_red_sidestand1",,
,,"x","y"
,,"int","int"
,,-2131,6041
,"builder_red_sidestand2",,
,,"x","y"
,,"int","int"
,,19963,5708
,"builder_left_mid_tower",,
,,"x","y"
,,"int","int"
,,-2565,15917
,"builder_right_mid_tower",,
,,"x","y"
,,"int","int"
,,20668,15999
,"builder_blocktree1",,
,,"x","y"
,,"int","int"
,,26000,-4500
,,-1500,49000
,,38000,8000
,,26500,-9500
,,37000,13000
,,19000,46000
,,-12500,24500
,,-15500,11000
,,23500,34000
,,-15500,46500
,,-21000,27000
,,-18500,-9000
,,-18500,2000
,,33500,18500
,,-20500,41000
,,32000,1000
,,34000,-5000
,,3000,-10500
,,14000,-5500
,,23000,-10500
,,-2500,-10000
,,-18000,37500
,,-11000,42000
,,-13000,500
,,-15500,17500
,,-10000,-8500
,,-6000,39000
,,-9500,-3000
,,-5500,-8000
,,-16000,31000
,,30000,-5000
,,34000,8500
,,30500,15500
,,1565,35125
,,31500,33000
,,-19000,48500
,,33000,45000
,,-20500,-2000
,,-15500,5500
,,21000,36500
,,-19000,22000
,,-18500,10000
,,15000,51000
,,11500,43000
,,9000,50000
,,-14000,-8000
,,-17500,-3500
,,4000,40500
,,18000,-2000
,,34000,-9500
,,37000,-10500
,,38000,-6000
,,38000,
,,36500,4500
,,36000,27500
,,37000,23500
,,37000,37000
,,35000,40500
,,37500,46000
,,26000,47000
,,-20500,14500
,,-21500,5000
,,-21000,34500
,,-4000,53500
,,1500,49500
,,6000,54500
,,11000,55500
,,16500,56000
,,20000,53000
,,25500,54500
,,30500,51500
,,38000,53000
,,-9500,55500
,,-13500,51000
,"builder_treestump1",,
,,"x","y"
,,"int","int"
,,33500,35500
,,14465,-2663
,,-3500,-6000
,,-16500,21000
,,31500,20000
,,30364,7414
,,-11500,27500
,,29000,34000
,,23500,-4000
,,-9500,24500
,,-8500,38000
,,-8500,49500
,,7531,43499
,,-14366,38375
,,23500,44000
,"builder_treestump2",,
,,"x","y"
,,"int","int"
,,-1399,37875
,,-10500,9500
,,25399,39416
,,29298,12333
,,28399,17375
,,-13500,7500
,,22000,-7500
,,18500,-8625
,,-7564,15416
,,-18333,42249
,,-10500,45000
,"builder_treetrunks1",,
,,"x","y"
,,"int","int"
,,10031,-10291
,,25500,5000
,,7000,-10500
,,-7899,4875
,,4005,44791
,,25200,29958
,,-5092,34124
,,29367,26416
,"builder_treetrunks2",,
,,"x","y"
,,"int","int"
,,-8000,1000
,,26497,8211
,,-10732,14625
,,25500,21500
,,25500,25500
,,29500,39500
,,732,43041
,,-8564,34208
,,-8000,30500
,"builder_red_gate",,
,,"x","y"
,,"int","int"
,,9229,33755
,"builder_blue_gate",,
,,"x","y"
,,"int","int"
,,8998,-2416
,"builder_blue_tower",,
,,"x","y"
,,"int","int"
,,17000,38250
,,-3833,43958
,"builder_red_tower",,
,,"x","y"
,,"int","int"
,,1500,-2000
,"builder_upgradefence1",,
,,"x","y"
,,"int","int"
,,24000,-1000
,,-5567,17958
,,-5767,20333
,,30500,-1037
,,24500,12500
,,24465,17667
,"builder_upgradefence2",,
,,"x","y"
,,"int","int"
,,26432,13500
,,26432,15500
"Background",,,
