"Name","NumberValue","BooleanValue","TextValue","StringArray","NumberArray"
"String","int","boolean","string","String","int"
"UDP_HEARTBEAT_MS",200,,,,
"UDP_DISCONNECTED_SECONDS",10,,,,
"MAIN_MENU_PARALLAX",0,,,,
"SHOW_MANA_FULL_AFTER_SECONDS",5,,,,
"BACKGROUND_Y_SIZE",1120,,,,
"BACKGROUND_Y_OFFSET",90,,,,
"REPLAY_ENABLED",,"TRUE",,,
"REPLAY_BACKGROUND_Y_SIZE",1200,,,,
"REPLAY_BACKGROUND_Y_OFFSET",250,,,,
"REPLAY_BATTLE_END_HUD_DELAY_MILLIS",2700,,,,
"REPLAY_SHOW_TOUCH_EVENTS",,,,,
"SPELL_DRAG_NAME_Y_POS",-30,,,,
"SHOW_NOT_ENOUGH_MANA_AFTER_FAILURES",1,,,,
"LOCAL_NOTIFICATION_FREE_WORKERS_MINUTES",120,,,,
"SPELL_DRAG_OBJECT_ALPHA",50,,,,
"MIN_SPELL_COUNT_FOR_SORT_BUTTON",10,,,,
"UNIT_SPEED_1",30,,,,
"UNIT_SPEED_2",45,,,,
"UNIT_SPEED_3",60,,,,
"UNIT_SPEED_4",90,,,,
"EGG_PLACEMENT_BLOCK_TOP",0,,,,
"GAME_FACEBOOK_URL",,,,,
"PAYING_USER_EMAIL_ID",249,,,,
"GAME_CENTER_ACHIEVEMENTS_ENABLED",,"TRUE",,,
"GAMECENTER_REAUTHORIZE",,,,,
"GAME_CENTER_CHALLENGES_ENABLED",,"TRUE",,,
"FAQ_URL",,,0,,
"FORUMS_URL",,,0,,
"LOW_GFX_DEVICES",,,,"ipod1",
,,,,"ipod2",
,,,,"ipod3",
,,,,"ipod4",
,,,,"ipad1",
,,,,"iphone1",
,,,,"iphone2",
,,,,"iphone3",
"MED_GFX_DEVICES",,,,"ipad2",
"LOW_MEM_DEVICES",,,,"ipod1",
,,,,"ipod2",
,,,,"ipod3",
,,,,"ipod4",
,,,,"ipad1",
,,,,"iphone2",
"COME_BACK_NOTIFICATION_DELAY_HOURS_SMALL",48,,,,
"COME_BACK_NOTIFICATION_DELAY_HOURS_MEDIUM",120,,,,
"COME_BACK_NOTIFICATION_DELAY_HOURS_LARGE",336,,,,
"APP_RATE_XP_LEVEL",11,,,,
"FEEDBACK_EMAIL",,,0,,
"SECTOR_COMMAND_MESSAGE_INTERVAL_SECONDS",2,,,,
"ENEMY_OUTLINE_COLOR",,,0,,
"OUTLINE_THICKNESS",-2,,,,
"OUTLINE_BLUR_PERCENT",10,,,,
"OUTLINE_BLUR_ITERATIONS",1,,,,
"POPUP_BLUR_PERCENT",120,,,,
"POPUP_BLUR_ITERATIONS",4,,,,
"MATCH_END_BLUR_PERCENT",120,,,,
"MATCH_END_BLUR_ITERATIONS",4,,,,
"MAX_SPELL_PENDING_TIME",1200,,,,
"TAUNTS_ENABLED",,"TRUE",,,
"SHOW_TAUNT_TIME_SEC",4,,,,
"NPC_REPLAY_ENABLED",,,,,
"SHOW_MATCHMAKING_TIME_TOLERANCE",3,,,,
"ENABLE_FACEBOOK",,"TRUE",,,
"ENABLE_GAMECENTER_FRIENDS",,"TRUE",,,
"SWITCH_CONFIRMATION_XP_LEVEL",5,,,,
"PROMPT_GC_SWITCH_MIN_XP_LEVEL",2,,,,
"NO_DEPLOY_ZONE_COLOR",,,90900000,,
"PAYMENT_LIMIT_CONFIRMATION_ENABLED",,"TRUE",,,
"PAYMENT_LIMIT_CONFIRMATION_USD",15000,,,,
"PAYMENT_LIMIT_CONFIRMATION_TIME",15,,,,
"CONFIRM_WORD_MAX_LENGTH",15,,,,
"DISCONNECT_IN_APPS",,"FALSE",,,
"IN_APP_RETRY_LIMIT",4,,,,
"RETRY_PURCHASES_IN_SHOP",,"TRUE",,,
"TOS_URL",,,"http://www.supercell.com/en/terms-of-service",,
"PARENTS_GUIDE_URL",,,"http://www.supercell.com/en/parents",,
"PRIVACY_POLICY_URL",,,"http://www.supercell.com/en/privacy-policy",,
"HELPSHIFT_ENABLED",,"TRUE",,,
"SEND_GC_ACHIVEMENT_0_PROGRESS",,"TRUE",,,
"SEND_GC_ACHIVEMENT_PROGRESS_ONCE",,"TRUE",,,
"USE_GC_SEND_ALL_ACHIEVEMENTS",,"TRUE",,,
"SHOW_NOTIFICATION_FOR_DONATE",,"TRUE",,,
"KEEP_ALIVE_WARNING_MS",10000,,,,
"PING_WARNING_MS",3500,,,,
"MATCHMAKING_TIP_INTERVAL_SEC",15,,,,
"ATTRIBUTION_MAT",,"TRUE",,,
"ATTRIBUTION_FB",,"TRUE",,,
"ATTRIBUTION_IAD",,"TRUE",,,
"APP_RATE_DIALOG_ENABLED",,"TRUE",,,
"PURCHASE_DIALOG_ENABLED",,"TRUE",,,
"PLAYER_ID_SHOW_ENABLED",,"TRUE",,,
"VIBRATE_AFTER_MATCHMAKING_SECONDS",15,,,,
"TAUNT_LIMIT",15,,,,
"NAME_CHANGE_START_LEVEL",4,,,,
"ENABLE_NAME_CHANGE",,"TRUE",,,
"TAUNT_SOUND_COOLDOWN",6000,,,,
