"Name","ParticleCount","MinLife","MaxLife","ParticleMinInterval","ParticleMaxInterval","ParticleMinLife","ParticleMaxLife","ParticleMinAngle","ParticleMaxAngle","ParticleAngleRelativeToParent","ParticleRandomAngle","ParticleMinRadius","ParticleMaxRadius","ParticleMinSpeed","ParticleMaxSpeed","ParticleStartZ","ParticleMinVelocityZ","ParticleMaxVelocityZ","ParticleGravity","ParticleMinTailLength","ParticleMaxTailLength","ParticleResource","ParticleExportName","RotateToDirection","LoopParticleClip","StartScale","EndScale","FadeOutDuration","Inertia","EnemyVersion"
"string","int","int","int","int","int","int","int","int","int","boolean","boolean","int","int","int","int","int","int","int","int","int","int","string","string","boolean","boolean","int","int","int","int","string"
"RootRocks1",5,400,400,,5,800,1200,,360,,"true",1,1,10,90,5,100,250,-2000,,,"sc/effects.sc","Rock1ParticleSmall",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Rock2ParticleSmall",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Rock3ParticleSmall",,,,,,,
"Arrows Hit Ground",1,1,200,,,1500,1900,,,,"true",,,,,,,,,,,"sc/level.sc","Arrow_enemy_ground_anim_1",,"true",,,500,,
,,,,,,,,,,,,,,,,,,,,,,"sc/level.sc","Arrow_enemy_ground_anim_2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/level.sc","Arrow_enemy_ground_anim_3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/level.sc","Arrow_enemy_ground_anim_4",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/level.sc","Arrow_enemy_ground_anim_5",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/level.sc","Arrow_enemy_ground_anim_6",,,,,,,
"SmokeEmitter",8,1,1,,,1000,1500,,360,,,,,20,20,,,,,,,"sc/effects.sc","SmokeSmall",,,,,,,
"SewerSteam",7,,,250,350,3100,3350,190,280,"true","true",,,1,2,,10,30,,,,"sc/effects.sc","SteamSmall",,,,,,,
"BloodSpatter1",10,100,200,,50,150,250,,360,,"true",1,1,70,100,40,,,,1,50,"sc/effects.sc","BloodSpatter1",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","BloodSpatter2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","BloodSpatter3",,,,,,,
"FireRingEmitter",16,120,250,,,200,550,100,360,,"true",-1,2,60,120,,10,150,,60,200,"sc/effects.sc","FireParticle1",,,110,50,50,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","FireParticle2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","FireParticle3",,,,,,,
"SparkEmitter1",50,100,200,,,200,500,,360,,"true",,,100,100,,100,200,300,,,"sc/effects.sc","Sparkle",,,,,,,
"Smoker2",17,,,500,700,1700,2000,270,20,,"true",,,,15,45,30,80,,,,"sc/effects.sc","SmokeSmallSlow",,,,,,,
"SmokePuff",8,1,1,,,600,1500,,360,,"true",,,20,20,40,100,,,,,"sc/effects.sc","RisingSmoke",,,,,,,
"Stunner",9,100,200,,,100,400,,360,,"true",,,400,500,,80,100,,200,400,"sc/effects.sc","SparkleBlue",,,,,,,
"Steamer",3,,,,,1100,1500,,,,,,,,,,100,150,,,,"sc/effects.sc","smoke_cloud_1",,,,,,,
"PoisonSteamer",5,,,50,200,600,3000,180,270,,"true",,,1,5,30,5,6,-900,,,"sc/effects.sc","poisoncloud_small",,,,,,,
"PoisonCloud_2",40,1,500,,,700,1400,,360,,"true",,,10,50,,,,-3000,,,"sc/effects.sc","poisoncloud_big",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","poisoncloud_small",,,,,,,
"FireStorm",4,1300,1500,50,140,700,1100,,,,"true",,,,,,45,90,,,,"sc/effects.sc","Fire2_particle1",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Fire2_particle3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Fire2_particle4",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Fire2_particle5",,,,,,,
"FireBall",6,,,,100,700,1000,,,,,,,,,,,,,,,"sc/effects.sc","Fire2_rotator1",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Fire2_rotator2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Fire2_rotator3",,,,,,,
"HitEffectParticles",20,100,100,,10,150,200,1,360,,"true",2,2,300,350,,60,100,,100,150,"sc/effects.sc","Sparkle",,,,,,,
"SlowSparkles",10,,,100,120,1000,2000,,360,,"true",2,2,,,35,50,80,,,,"sc/effects.sc","Sparkle",,,,,,,
"BlueSparkEmitter",10,150,150,,10,200,350,,360,,"true",,,,500,,200,200,,100,300,"sc/effects.sc","SparkleBlue",,,,,,,
"LightningBurst",5,250,400,100,150,450,600,,,"true",,3,3,,,60,,,,,,"sc/effects.sc","Lightning","true",,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Lightning2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Lightning4",,,,,,,
"LightningGlow",8,500,500,20,50,200,450,,,"true",,1,1,200,200,35,,,,,,"sc/effects.sc","ElectricGlow","true",,,,,,
"BlueSparksEmitter",8,100,5000,10,40,300,600,,160,,"true",-25,25,10,100,,20,100,300,,,"sc/effects.sc","SparkleBlue",,,200,100,,,
"DirectionalBlueSparkEmitter",30,500,500,,40,300,400,,,"true",,2,2,100,200,35,,,,,,"sc/effects.sc","SparkleBlueOffset1","true",,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","SparkleBlueOffset2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","SparkleBlueOffset3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","SparkleBlueOffset4",,,,,,,
"FlameEmitter",5,,,150,200,1200,1200,,,,,,,,,,90,100,,,,"sc/effects.sc","FireParticle1",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","FireParticle2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","FireParticle3",,,,,,,
"FlameEmitter_small",15,1000,2500,150,200,400,800,,,,,,,,,,90,100,,,,"sc/effects.sc","FireParticle1_small",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","FireParticle2_small",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","FireParticle3_small",,,,,,,
"FlameArrowEmitter_small",10,1,1,1,50,200,500,,,,,,,,,29,90,100,,,,"sc/effects.sc","FireParticle1_small",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","FireParticle2_small",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","FireParticle3_small",,,,,,,
"Black_spot",1,,,,,2500,3000,,,,,,,,,,,,,,,"sc/effects.sc","dark_spot",,,,,,,
"WallExplosion",10,200,200,,20,250,300,,360,,"true",,,100,140,40,,,,,,"sc/effects.sc","FireParticle1",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","FireParticle2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","FireParticle3",,,,,,,
"WallExplosionSparks1",20,200,200,,10,250,350,,360,,"true",,,200,250,,,,,,,"sc/effects.sc","Sparkle",,,,,,,
"Explosion Pilar",15,600,600,20,60,1000,1200,230,280,,,1,1,50,50,35,10,10,500,,,"sc/effects.sc","Fire2_rotator1",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Fire2_rotator2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Fire2_rotator3",,,,,,,
"Rock Pieces Emitter",13,400,400,,5,800,1200,,360,,"true",,,30,150,20,100,250,-2000,,,"sc/effects.sc","Rock1Particle",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Rock2Particle",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Rock3Particle",,,,,,,
"GlassShatterEmitter",10,1,,,,500,900,,360,,"true",,,70,120,,60,120,-1500,,,"sc/effects.sc","GlassShard1",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","GlassShard2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","GlassShard3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","GlassShard4",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","GlassShard5",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","GlassShard6",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","GlassShard7",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","GlassShard8",,,,,,,
"GlassShatterEmitter2",30,200,400,1,20,500,1900,,360,"true","true",,,10,40,71,40,100,-1500,,,"sc/effects.sc","GlassShard1","true",,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","GlassShard2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","GlassShard3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","GlassShard4",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","GlassShard5",,,,,,,
