"Name","SightRange","DeployTime","ChargeRange","Speed","Hitpoints","HitSpeed","LoadTime","Damage","DamageSpecial","DamageType","Projectile","Range","MinimumRange","AttacksGround","AttacksAir","DeathDamageRadius","DeathDamage","DeathPushBack","Healing","ReloadAfterHits","ReloadTime","LifeTime","ProjectileSpecial","ProjectileEffect","ProjectileEffectSpecial","AreaDamageRadius","TargetOnlyBuildings","DamageTypeVulnerabilities","DamageTypeImmunities","SpecialAttackInterval","BuffOnDamage","BuffOnDamageTime","IgnoreTargetIfImmuneToBuff","StartingBuff","StartingBuffTime","FileName","BlueExportName","BlueTopExportName","RedExportName","RedTopExportName","UseAnimator","AttachedCharacter","AttachedCharacterHeight","DamageEffect","DamageEffectSpecial","DeathEffect","MoveEffect","SpawnEffect","CrowdEffects","ShadowScaleX","ShadowScaleY","ShadowX","ShadowY","ShadowSkew","Pushback","IgnorePushback","Scale","CollisionRadius","Mass","TileSizeOverride","AreaBuff","AreaBuffTime","AreaBuffRadius","AreaBuffOwnTroops","AreaBuffEnemies","Gold","ManaOnDeath","HealthBar","HealthBarOffsetY","ShowHealthNumber","FlyingHeight","DamageExportName","GrowTime","GrowSize","MorphCharacter","MorphEffect","HealOnMorph","AreaEffectOnMorph","AttackStartEffect","AttackStartEffectSpecial","DashCooldown","JumpHeight","DashPushBack","DashRadius","DashDamage","LandingEffect","DashMinRange","DashMaxRange","JumpSpeed","ContinuousEffect","SpawnStartTime","SpawnInterval","SpawnNumber","SpawnLimit","SpawnPauseTime","SpawnCharacterLevelIndex","SpawnCharacter","SpawnCharacterEffect","DeathSpawnCount","DeathSpawnCharacter","Kamikaze","ChargeEffect","TakeDamageEffect","ProjectileStartRadius","ProjectileStartZ","StopMovementAfterMS","WaitMS","IsSummonerTower","NoDeploySizeW","NoDeploySizeH","TID","VariableDamage2","VariableDamageTime1","VariableDamage3","VariableDamageTime2","TargettedDamageEffect1","TargettedDamageEffect2","TargettedDamageEffect3","DamageLevelTransitionEffect12","DamageLevelTransitionEffect23","FlameEffect1","FlameEffect2","FlameEffect3","TargetEffectY","ForceAttackAnimationToEnd","SelfAsAoeCenter","HidesWhenNotAttacking","HideTimeMs","TargetedHitEffect","UpTimeMs","HideEffect","AppearEffect","ManaCollectAmount","ManaGenerateTimeMs","ManaGenerateLimit","HasRotationOnTimeline","TurretMovement","ProjectileYOffset","ChargeSpeedMultiplier","RandomDeployDelay","DeployBaseAnimExportName","JumpEnabled","SightClip","Egg"
"string","int","int","int","int","int","int","int","int","int","string","string","int","int","boolean","boolean","int","int","int","int","int","int","int","string","string","string","int","boolean","string","string","int","string","int","boolean","string","int","string","string","string","string","string","boolean","string","int","string","string","string","string","string","boolean","int","int","int","int","int","int","boolean","int","int","int","int","string","int","int","boolean","boolean","int","int","string","int","boolean","int","string","int","int","string","string","boolean","string","string","string","int","int","int","int","int","string","int","int","int","string","int","int","int","int","int","int","string","string","int","string","boolean","string","string","int","int","int","int","boolean","int","int","string","int","int","int","int","string","string","string","string","string","string","string","string","int","boolean","boolean","boolean","int","string","int","string","string","int","int","int","boolean","int","int","int","int","string","boolean","int","string"
"Knight",6000,1000,,60,650,1100,700,75,,,,1500,,"true",,,,,,,,,,,,,,,,,,,,,,"sc/chr_knight.sc","Knight",,"Knight_enemy",,"true",,,"knight_hit",,"knight_die","knight_steps","knight_deploy",,85,85,,-10,35,,,100,500,6,,,,,,,,,"Medium",35,,,"filter_damage",,,,,,,"knight_attack_start",,,,,,,,,,,,,,,,,,,,,,,,,450,450,,,,,,"TID_CHARACTER_KNIGHT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"filter_deploy_unit_default",,,
"Archer",6000,1000,,60,125,1200,1000,,,,"ArcherArrow",5500,,"true","true",,,,,,,,,"ArcherAttack",,,,,,,,,,,,"sc/chr_archer.sc","archer1",,"archer1_enemy",,"true",,,,,"ArcherDie","ArcherSteps","ArcherDeploy",,75,75,,-15,25,,,87,500,3,,,,,,,,,"Small",-10,,,"filter_damage",,,,,,,"ArcherAttackStart",,,,,,,,,,,,,,,,,,,,,,,,,450,450,,,,,,"TID_CHARACTER_ARCHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,"filter_deploy_unit_default",,,
"Goblin",6000,1000,,120,80,1100,900,50,,,,1000,,"true",,,,,,,,,,,,,,,,,,,,,,"sc/chr_goblin.sc","goblin1",,"goblin1_enemy",,"true",,,"goblins_hit",,"goblins_die","goblins_steps","goblins_deploy",,50,50,-5,5,35,,,100,500,2,,,,,,,,,"Small",,,,"filter_damage",,,,,,,"goblins_attack_start",,,,,,,,,,,,,,,,,,,,,,,,,350,350,,,,,,"TID_CHARACTER_GOBLIN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,"filter_deploy_unit_default",,,
"Giant",8000,1000,,45,1700,1500,1000,115,,,,2000,,"true",,,,,,,,,,,,,"true",,,,,,,,,"sc/chr_giant.sc","giant1",,"giant1_enemy",,"true",,,"giant_hit",,"giant_die","giant_steps","giant_deploy","TRUE",85,80,,,25,,"true",100,750,18,,,,,,,,,"High",,,,"filter_damage_wobble",,,,,,,"giant_attack_start",,,,,,,,,,,,,,,,,,,,,,,,,450,450,640,100,,,,"TID_CHARACTER_GIANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"filter_deploy_unit_default",,,
"Pekka",6000,3000,,45,3000,1700,1200,450,,,,1500,,"true",,,,,,,,,,,,,,,,,,,,,,"sc/chr_pekka.sc","pekka",,"pekka_enemy",,"true",,,"pekka_hit",,"pekka_die","pekka_steps","pekka_deploy","TRUE",80,80,,,35,,"true",100,750,18,,,,,,,,,"Medium",,,,"filter_damage_wobble",,,,,,,"pekka_attack_start",,,,,,,,,,,,,,,,,,,,,,,,,450,450,,,,,,"TID_CHARACTER_PEKKA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"filter_deploy_unit_default",,,
"Minion",6000,1000,,90,85,1000,500,,,,"MinionSpit",2500,,"true","true",,,,,,,,,"minion_attack",,,,,,,,,,,,"sc/chr_minion.sc","minion1",,"minion1_enemy",,"true",,,,,"minion_die","minion_steps","minion_deploy",,85,-60,,20,,,,85,500,2,,,,,,,,,"Small",,,1500,,,,,,,,"minion_attack_start",,,,,,,,,,,,,,,,,,,,,,,,,450,450,,,,,,"TID_CHARACTER_MINION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,"filter_deploy_unit_default",,,
"Balloon",8000,3000,,60,760,3000,2800,600,,,,400,,"true",,,,,,,,,,,,,"true",,,,,,,,,"sc/chr_balloon.sc","balloon1",,"balloon1_enemy",,"true",,,"balloon_hit",,"balloon_die","balloon_steps","balloon_deploy",,85,50,,-10,15,,"true",100,300,6,,,,,,,,,"Small",,,3000,,,,,,,,"balloon_attack_start",,,,,,,,,,,,,,,,,,,,,"BalloonBomb",,,,450,450,,,,,,"TID_CHARACTER_BALLOON",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"filter_deploy_unit_default",,,
"Witch",6000,1000,,60,500,700,200,,,,"WitchProjectile",5500,,"true","true",,,,,,,,,,,,,,,,,,,,,"sc/chr_witch.sc","witch1",,"witch1_enemy",,"true",,,"witch_hit",,"witch_die","witch_steps","witch_deploy",,80,80,,,35,,,100,500,4,,,,,,,,,"Medium",,,,"filter_damage",,,,,,,"witch_attack_start",,,,,,,,,,,,,300,3,,6900,6,"Skeleton","witch_deploy_skeleton",,,,,,450,450,,,,,,"TID_CHARACTER_WITCH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"filter_deploy_unit_default",,,
"Skeleton",6000,1000,,90,25,1000,500,25,,,,750,,"true",,,,,,,,,,,,,,,,,,,,,,"sc/chr_skeleton.sc","skeleton1",,"skeleton1",,"true",,,"skeleton_hit",,"skeleton_die","skeleton_steps","skeleton_deploy",,50,50,-5,5,35,,,130,500,1,,,,,,,,,"Small",,,,"filter_damage",,,,,,,"skeleton_attack_start",,,,,,,,,,,,,,,,,,,,,,,,,350,350,,,,,,"TID_CHARACTER_SKELETON",,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,"filter_deploy_unit_default",,,
