"Name","Chest",,,,
"String","String",,,,
"Newbie1","Newbie1",,,,
"Newbie2","Newbie2",,,,
"Newbie3","NewbieRandom",,,,
"Newbie4","NewbieFixedEpic",,,,
"Newbie5","NewbieRandom",,,,
"Newbie6","NewbieRandom",,,,
"MainCycle","Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Magic",,0,0,1
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Magic",,0,0,1
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Magic",,0,0,1
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
,"Silver",,1,0,0
,"Gold",,0,1,0
,"Silver",,1,0,0
