"Name","FileName","ExportName","Layer","LowendLayer","ShadowScale","ShadowX","ShadowY","ShadowSkew","CollisionRadius","Effect"
"string","string","string","string","string","int","int","int","int","int","string"
"Grassland_tree1","sc/level.sc","Grassland_2x2_tree1","Object","Ground",80,-24,-31,4,,
"Grassland_tree2","sc/level.sc","Grassland_2x2_tree2","Object","Ground",80,-24,-31,4,,
"Grassland_tree3","sc/level.sc","Grassland_2x2_tree3","Object","Ground",85,-26,-39,4,,
"Grassland_tree4","sc/level.sc","Grassland_2x2_tree4","Object","Ground",80,-23,-28,2,,
"Grassland_rock1","sc/level.sc","Grassland_1x1_rock1","Object","Ground",63,-5,5,12,,
"Grassland_rock2","sc/level.sc","Grassland_2x2_rock2","Object","Ground",88,-3,-5,,,
"Grassland_rock3","sc/level.sc","Grassland_1x1_rock3","Object","Ground",71,-4,1,,,
"Grassland_bush1","sc/level.sc","Grassland_1x1_bush1","Object","Ground",91,-4,-8,28,,
"Deco_fireplace","sc/effects.sc","Deco_fireplace","Object","Ground",1,,,,,"DecoFireplaceLoop"
"deco_chest_wood1","sc/level.sc","deco_chest_wood1","Object","Ground",92,,-18,67,,
"deco_chest_iron1","sc/level.sc","deco_chest_iron1","Object","Ground",92,,-18,67,,
"deco_chest_silver1","sc/level.sc","deco_chest_silver1","Object","Ground",92,,-18,67,,
"deco_chest_gold1","sc/level.sc","deco_chest_gold1","Object","Ground",92,,-18,67,,
"deco_chest_magical1","sc/level.sc","deco_chest_magical1","Object","Ground",92,,-18,67,,
"Grassland_1x1_flower1","sc/level.sc","Grassland_1x1_flower1","Ground","Ground",,,,,,
"Grassland_1x1_flower2","sc/level.sc","Grassland_1x1_flower2","Ground","Ground",,,,,,
"Grassland_1x1_flower3","sc/level.sc","Grassland_1x1_flower3","Ground","Ground",,,,,,
"Grassland_1x1_flower4","sc/level.sc","Grassland_1x1_flower4","Ground","Ground",,,,,,
"Grassland_3x3_flowers1","sc/level.sc","Grassland_3x3_flowers1","Ground","Ground",,,,,,
"Grassland_3x3_flowers2","sc/level.sc","Grassland_3x3_flowers2","Ground","Ground",,,,,,
"Grassland_rock1_withHaze","sc/level.sc","Grassland_1x1_rock1","Object","Ground",77,-5,7,12,,"Background_haze"
"Grassland_rock2_withHaze","sc/level.sc","Grassland_2x2_rock2","Object","Ground",94,-3,-5,,,"Background_haze"
"Grassland_rock3_withHaze","sc/level.sc","Grassland_1x1_rock3","Object","Ground",78,-4,1,,,"Background_haze"
"WoodWall_single_1","sc/level.sc","WoodWall_single_1","Object","Ground",83,,,38,,
"WoodWall_single_2","sc/level.sc","WoodWall_single_2","Object","Ground",83,,,38,,
"WoodWall_single_3","sc/level.sc","WoodWall_single_3","Object","Ground",79,,,38,,
"WoodWall_multi_horizontal_1","sc/level.sc","WoodWall_multi_horizontal_1","Object","Ground",95,,3,50,,
"WoodWall_multi_vertical_1","sc/level.sc","WoodWall_multi_vertical_1","Object","Ground",98,-8,-6,18,,
"ChestTemplate","sc/effects.sc","Deco_fireplace","Object","Ground",100,,,,,
"Arena_stand_right_1","sc/level.sc","arena_stand_right_1","Object","Ground",95,-6,-6,,,
"Arena_stand_left_1","sc/level.sc","arena_stand_left_1","Object","Ground",95,-6,-6,,,
"Arena_stand_right_full_1","sc/level.sc","arena_stand_right_full_1","Object","Ground",95,-6,-6,,,
"Arena_stand_left_full_1","sc/level.sc","arena_stand_left_full_1","Object","Ground",95,-6,-6,,,
"Cloud_object","sc/level.sc","Cloud_object","Object","Ground",,-4,-8,28,,"Clouds1"
"arena_stand_right_full_1_blue","sc/level.sc","arena_stand_right_full_1_blue","Object","Ground",95,-6,-6,,,
"arena_stand_left_full_1_blue","sc/level.sc","arena_stand_left_full_1_blue","Object","Ground",95,-6,-6,,,
"arena_stand_right_full_1_red","sc/level.sc","arena_stand_right_full_1_red","Object","Ground",95,-6,-6,,,
"arena_stand_left_full_1_red","sc/level.sc","arena_stand_left_full_1_red","Object","Ground",95,-6,-6,,,
"royal_arena_bridge","sc/level_royal_arena.sc","royal_arena_bridge","Object","Ground",95,-9,58,,,
"royal_red_deco","sc/level_royal_arena.sc","royal_red_deco","Object","Ground",61,,5,22,496,
"royal_blue_deco","sc/level_royal_arena.sc","royal_blue_deco","Object","Ground",67,2,2,31,496,
"royal_bucket","sc/level_royal_arena.sc","royal_bucket","Object","Ground",94,-5,73,6,,
