"Name","NpcOnly","PvpOnly","ShadowR","ShadowG","ShadowB","ShadowA","ShadowOffsetX","ShadowOffsetY","ShadowClamp","Music","MusicStartTime","Sound","SoundStartTime","SoundPlayOvertime","ExtraTimeMusic","MatchLength","WinCondition","OvertimeSeconds","NoStartScreen","NoEndScreen","HideTopUI","HideManaBar","EndScreenDelay","FileName","AmbientSound","OverlaySC","OverlayExportName","CrowdEffects","CloudFileName","CloudExportName","CloudMinScale","CloudMaxScale","CloudMinSpeed","CloudMaxSpeed","CloudMinAlpha","CloudMaxAlpha","CloudCount"
"string","boolean","boolean","int","int","int","int","int","int","int","string","int","string","int","boolean","string","int","string","int","boolean","boolean","boolean","boolean","int","string","string","string","string","boolean","string","string","int","int","int","int","int","int","int"
"FirstMatch","true",,,,100,60,100,100,50,"TrainingArena",180,"Tut_jing_start",180,,"60sec_training",,"Normal",,,,,,4000,"locations/training_arena.csv","ScrollAmb01",,,,"sc/effects.sc","cloud_1",54,114,25,154,7,10,4
"TrainingCamp",,,,,100,60,100,100,50,"TrainingArena",180,"Tut_jing_start",180,,"60sec_training",180,"Normal",60,,,,,4000,"locations/training_arena.csv","ScrollAmb01",,,,"sc/effects.sc","cloud_1",54,114,25,154,7,10,4
,,,,,,,,,,"60sec_training",60,"Tut_jing_time_1",60,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Tut_jing_time_2",30,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Tut_count_01",10,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Tut_count_01",9,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Tut_count_01",8,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Tut_count_01",7,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Tut_count_01",6,"TRUE",,,,,,,,,,,,,,,,,,,,,,,
