"Name","IconFile","UnlockArena","Rarity","ManaCost","NotInUse","Mirror","SummonCharacter","SummonNumber","Radius","RadiusRangeIncrease","Projectile","InstantDamage","DamagePerSecond","DurationSeconds","InstantHeal","HealPerSecond","Effect","DamageType","Pushback","MultipleProjectiles","CustomFirstProjectile","BuffTime","BuffTimeIncreasePerLevel","BuffNumber","BuffType","BuffOnDamage","OnlyOwnTroops","OnlyEnemies","CastSound","AreaEffectObject","TID","TID_INFO","TID_FLAVOR"
"string","string","string","string","int","boolean","boolean","string","int","int","int","string","int","int","int","int","int","string","string","int","int","string","int","int","int","string","string","boolean","boolean","string","string","string","string","string"
"Cannon","chaos_cannon","Arena3","Common",6,,,"Cannon",,,,,,,,,,,,,,,,,,,,,,"SpellCasting",,"TID_SPELL_CANNON","TID_SPELL_INFO_CANNON",
"GoblinHut","fire_furnace","Arena1","Rare",5,,,"GoblinHut",,,,,,,,,,,,,,,,,,,,,,"SpellCasting",,"TID_SPELL_GOBLIN_HUT","TID_SPELL_INFO_GOBLIN_HUT",
"Mortar","building_mortar","Arena6","Common",6,,,"Mortar",,,,,,,,,,,,,,,,,,,,,,"SpellCasting",,"TID_SPELL_MORTAR","TID_SPELL_INFO_MORTAR",
"InfernoTower","building_inferno","Arena4","Rare",6,,,"InfernoTower",,,,,,,,,,,,,,,,,,,,,,"SpellCasting",,"TID_SPELL_INFERNO","TID_SPELL_INFO_INFERNO",
"BombTower","bomb_tower","Arena2","Rare",6,,,"BombTower",,,,,,,,,,,,,,,,,,,,,,"SpellCasting",,"TID_SPELL_BOMB_TOWER","TID_SPELL_INFO_BOMB_TOWER",
"BarbarianHut","barbarian_hut","Arena3","Rare",6,,,"BarbarianHut",,,,,,,,,,,,,,,,,,,,,,"SpellCasting",,"TID_SPELL_BARBARIAN_HUT","TID_SPELL_INFO_BARBARIAN_HUT",
"Tesla","building_tesla","Arena4","Common",4,,,"Tesla",,,,,,,,,,,,,,,,,,,,,,"SpellCasting",,"TID_SPELL_TESLA","TID_SPELL_INFO_TESLA",
"Elixir Collector","building_elixir_collector","Arena6","Rare",5,,,"ElixirCollector",,,,,,,,,,,,,,,,,,,,,,"SpellCasting",,"TID_SPELL_ELIXIR_COLLECTOR","TID_SPELL_INFO_ELIXIR_COLLECTOR",
"Xbow","building_xbow","Arena3","Epic",6,,,"Xbow",,,,,,,,,,,,,,,,,,,,,,"SpellCasting",,"TID_SPELL_XBOW","TID_SPELL_INFO_XBOW",
"Tombstone","tombstone","Arena2","Rare",3,,,"Tombstone",,,,,,,,,,,,,,,,,,,,,,"SpellCasting",,"TID_SPELL_TOMBSTONE","TID_SPELL_INFO_TOMBSTONE",
