"FileName",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SC","ExportName",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"string","string",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"sc/level_spell_arena.sc","game_area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Objects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PrincessTower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,29,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,29,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"KingTower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"spell_crystal_rock_left",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-1365,14666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4000,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"spell_crystal_rock_right",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19833,19416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"spell_pot_left",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-2000,19500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"spell_pot_right",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20000,14500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"spell_stand_blue_left",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-2332,24290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-2299,30458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"spell_stand_blue_right",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20565,24207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20565,30375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"spell_stand_red_left",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-2266,10125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-2233,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"spell_stand_red_right",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20600,9916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20600,3750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"spell_arena_edge_back",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3667,34000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,665,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14633,33958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17663,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"spell_arena_edge_pole",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"x","y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"int","int",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-1866,34916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20198,34625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-1697,-291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19798,-453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12000,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6000,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11500,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6500,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11500,-2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6500,-2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7000,-4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
