"Name","TID","Disabled","ExistsApple","ExistsAndroid","ExistsKunlun","ExistsJupiter","Diamonds","USD","RMB","Order","IconFile","JupiterID","StarterPackName","IsRedPackage","RumblePackName"
"String","String","boolean","boolean","boolean","boolean","boolean","int","int","int","int","string","String","String","boolean","String"
"com.supercell.scroll.gempack0","TID_DIAMOND_PACK_1",,"TRUE","TRUE","TRUE","TRUE",500,499,3000,1,"shop_gems02","GD2016061215330106019057",,,
"com.supercell.scroll.gempack1","TID_DIAMOND_PACK_2",,"TRUE","TRUE","TRUE","TRUE",1200,999,6800,2,"shop_gems03","GD2016061215323806381524",,,
"com.supercell.scroll.gempack2","TID_DIAMOND_PACK_3",,"TRUE","TRUE","TRUE","TRUE",2500,1999,12800,3,"shop_gems04","GD2016061215321706171743",,,
"com.supercell.scroll.gempack3","TID_DIAMOND_PACK_4",,"TRUE","TRUE","TRUE","TRUE",6500,4999,32800,4,"shop_gems05","GD2016061215315506556451",,,
"com.supercell.scroll.gempack4","TID_DIAMOND_PACK_5",,"TRUE","TRUE","TRUE","TRUE",14000,9999,64800,5,"shop_gems06","GD2016061215313306335467",,,
"com.supercell.scroll.gempack5","TID_DIAMOND_PACK_0",,"TRUE","TRUE","TRUE","TRUE",80,99,600,0,"shop_gems01","GD2016061215332206224221",,,
"com.supercell.scroll.consumablestarterpack0","TID_STARTER_PACK_0",,"TRUE","TRUE","TRUE","TRUE",,99,600,,"shop_gems01","GD2016090715541609164138","StarterPackArena3",,
"com.supercell.scroll.consumablestarterpack1","TID_STARTER_PACK_1",,"TRUE","TRUE","TRUE","TRUE",,99,600,,"shop_gems01","GD2016090715533809381851","StarterPackArena4",,
"com.supercell.scroll.consumablestarterpack2","TID_STARTER_PACK_2",,"TRUE","TRUE","TRUE","TRUE",,499,3000,,"shop_gems01","GD2016090715523109315310","StarterPackArena5",,
"com.supercell.scroll.consumablestarterpack3","TID_STARTER_PACK_3",,"TRUE","TRUE","TRUE","TRUE",,499,3000,,"shop_gems01","GD2016090715511809181614","StarterPackArena6",,
"com.supercell.scroll.consumablestarterpack4","TID_STARTER_PACK_4",,"TRUE","TRUE","TRUE","TRUE",,999,6800,,"shop_gems01","GD2016090715504909493286","StarterPackArena7",,
"com.supercell.scroll.consumablestarterpack5","TID_STARTER_PACK_5",,"TRUE","TRUE","TRUE","TRUE",,999,6800,,"shop_gems01","GD2016090715501009109938","StarterPackArena8",,
"com.supercell.scroll.consumablestarterpack6","TID_STARTER_PACK_6",,"TRUE","TRUE","TRUE","TRUE",,999,6800,,"shop_gems01","GD2016090715483309335310","StarterPackArenaL",,
"com.supercell.scroll.red",,,"TRUE",,,,,499,3000,,"shop_gems01",,,"TRUE",
"com.supercell.scroll.rumblebundle0","TID_SHOP_RUMBLE_0",,"TRUE","TRUE","TRUE","TRUE",,99,600,,"shop_gems01","GD2016101719460710073940",,,"RumbleBundle0"
"com.supercell.scroll.rumblebundle1","TID_SHOP_RUMBLE_1",,"TRUE","TRUE","TRUE","TRUE",,499,3000,,"shop_gems01","GD2016101719470910099948",,,"RumbleBundle1"
"com.supercell.scroll.rumblebundle2","TID_SHOP_RUMBLE_2",,"TRUE","TRUE","TRUE","TRUE",,999,6800,,"shop_gems01","GD2016101719480310039994",,,"RumbleBundle2"
"com.supercell.scroll.consumablestarterpack7","TID_STARTER_PACK_7",,"TRUE","TRUE","TRUE","TRUE",,999,6800,,"shop_gems01","GD2016113016024711471172","StarterPackArena9",,
"com.supercell.scroll.consumableholidaypack0","TID_SHOP_HOLIDAY_0",,"TRUE","TRUE","TRUE","TRUE",,499,3000,,"shop_gems01","GD2016112914175811583972",,,"HolidayBundle0"
"com.supercell.scroll.consumableholidaypack1","TID_SHOP_HOLIDAY_1",,"TRUE","TRUE","TRUE","TRUE",,999,6800,,"shop_gems01","GD2016112914194711471139",,,"HolidayBundle1"
"com.supercell.scroll.consumableholidaypack2","TID_SHOP_HOLIDAY_2",,"TRUE","TRUE","TRUE","TRUE",,1999,12800,,"shop_gems01","GD2016112914210911091330",,,"HolidayBundle2"
"com.supercell.scroll.consumablechinesenewyear0","TID_SHOP_CHINESE_NEW_YEAR_0",,"TRUE","TRUE","TRUE","TRUE",,99,600,,"shop_gems01","GD2016112914222711278436",,,"ChineseNewYearBundle0"
"com.supercell.scroll.consumablechinesenewyear1","TID_SHOP_CHINESE_NEW_YEAR_1",,"TRUE","TRUE","TRUE","TRUE",,499,3000,,"shop_gems01","GD2016112914254811483251",,,"ChineseNewYearBundle1"
"com.supercell.scroll.consumablechinesenewyear2","TID_SHOP_CHINESE_NEW_YEAR_2",,"TRUE","TRUE","TRUE","TRUE",,999,6800,,"shop_gems01","GD2016112914270411044957",,,"ChineseNewYearBundle2"
