"TID","EN","FR","DE","ES","IT","NL","NO","TR","JP","KR","RU","AR","PT","CN","CNT","FA","ID","MS","VI"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_HINT_POISON","Poison covers the area in a deadly toxin, damaging enemy troops and buildings over time.","Le poison recouvre la zone cible d'une toxine gluante qui inflige des dégâts aux combattants et bâtiments ennemis au fil du temps.","Tödliches Gift bedeckt den Zielbereich, das feindlichen Truppen und Gebäuden kontinuierlichen Schaden zufügt.","El veneno cubre la zona afectada con una toxina letal que daña a las tropas y estructuras enemigas con el paso del tiempo.","Il Veleno copre l'area bersaglio con una tossina appiccicosa, danneggiando truppe ed edifici nemici nel tempo.","Bedek het doelgebied met het dodelijke gif, waardoor vijandelijke troepen en gebouwen schade oplopen naarmate de tijd verstrijkt.","Gift dekker området med en dødelig gift som skader fiendtlige tropper og bygninger over tid.","Zehir, ölümcül bir zehirle bölgeyi kaplayarak zamanla düşman birlikleri ve binalarına hasar verir ve onları yavaşlatır.","Poison covers the area in a sticky toxin, damaging and slowing down enemy troops and buildings.","독 마법은 지역을 치명적인 독으로 덮어 유닛과 건물에 피해를 입힙니다.","Яд покрывает зону смертоносным токсином, который в течение времени наносит урон войскам и зданиям.","يغطي السم المنطقة بسم مميت يصيب قوات ومباني العدو بمرور الوقت.","O Veneno cobre a área com uma toxina mortal, danificando tropas e construções inimigas. Mas deixa a grama verdinha e saudável. Vai entender...","毒药法术会用致命的毒素覆盖目标区域，并对区域内的部队和建筑造成持续性伤害。\n关注官方微信服务号cr-kefu和订阅号crsupercell","毒藥法術會用致命的毒素覆蓋目標區域，並對區域內的部隊和建築造成持續性傷害。","سم کل ناحیه رو با یک سم مرگبار می‌پوشونه، به نیروها و ساختمون‌های دشمن آسیب میزنه.","Racun menyelimuti area dengan toksin maut, merusak peleton dan bangunan musuh seiring waktu.","Racun meliputi kawasan yang sangat toksin, merosakkan askar dan bangunan musuh berkali-kali.","Độc dược bao phủ một khu vực bằng chất độc chết người, gây sát thương cho binh lính và công trình theo thời gian."
"TID_REQUEST_CAPACITY","Request (every 7 hours)","Demander (toutes les 7 h)","Anfragen (alle 7 Stunden)","Pide (cada 7 horas)","Richiedi (ogni 7 ore)","Verzoek (om de 7 uur)","Forespørsel (hver 7. time)","İstek (her 7 saatte bir)","Request (every 8 hours)","요청 (7시간 마다)","Запрос (каждые 7 часов)","الطلب (كل 7 ساعات)","Pedido (a cada 7h)","每7小时可请求捐赠：","每7小時可請求捐贈：","درخواست (هر 7 ساعت)","Minta (setiap 7 jam)","Permintaan (setiap 7 jam)","Yêu cầu (mỗi 7 giờ)"
"TID_THIS_TIME_LIMITED_OFFER_ENDS_IN","THIS TIME LIMITED OFFER ENDS","EXPIRATION DE CETTE OFFRE :","DIESES LIMITIERTE ANGEBOT ENDET","ESTA OFERTA LIMITADA TERMINA","Questa offerta a tempo limitato termina:","DEZE TIJDELIJKE AANBIEDING EINDIGT","DETTE TIDSBEGRENSEDE TILBUDET AVSLUTTES","BU SINIRLI SÜRELİ FIRSATIN BİTMESİNE:","期間限定セール終了まで：","한정 특가 판매 종료:","КОНЕЦ ОГРАНИЧЕННОГО ПРЕДЛОЖЕНИЯ","ينتهي عرض الفترة المحدودة هذا خلال:","ESTA OFERTA LIMITADA ACABA","此限时特惠活动将结束于","此現時特惠活動將結束於","این پیشنهاد محدود زمانی پایان می‌یابد","PENAWARAN TERBATAS INI BERAKHIR","TAWARAN MASA TERHAD INI TAMAT","ƯU ĐÃI GIỚI HẠN THỜI GIAN NÀY KẾT THÚC"
"TID_ACHIEVEMENT_TITLE_SURVIVAL_EVENT","Special Challenge","Défi spécial","Besondere Herausforderung","Desafío especial","Sfida speciale","Speciale uitdaging","Spesialutfordring","Özel Meydan Okuma","スペシャルチャレンジ","스페셜 도전","Особое испытание","تحدٍ خاص","Desafio Exclusivo","活动达人","活動達人","مبارزه طلبی ویژه","Tantangan Spesial","Cabaran Khas","Thách đấu Đặc biệt"
"TID_ACHIEVEMENT_INFO_SURVIVAL_EVENT","Participate in <num> unique Special Event Challenges","Participer à <num> défis exclusifs","Nimm an <num> einzigartigen besonderen Herausforderungsereignissen teil","Participa en <num> eventos de desafíos exclusivos.","Partecipa a <num> diversi eventi sfida speciali","Neem deel aan <num> unieke speciale uitdagingsevenementen","Delta i <num> unike spesialutfordringer","<num> benzersiz Özel Meydan Okuma etkinliğine katıl","個別のスペシャルイベントチャレンジに<num>回参加する","<num>개의 스페셜 이벤트 도전에 참가해 보세요.","Поучаствуй в <num> особых испытаниях","شارك في <num> من تحديات الأحداث الخاصة الاستثنائية","Participar de <num> eventos de desafios exclusivos.","参加<num>次特别活动挑战","參加<num>次特別活動挑戰","در <num> مبارزه طلبی رویداد منحصر به فرد شرکت کنید","Ikut dalam <num> Tantangan Acara Spesial unik","Sertai <num> Cabaran Acara Khas yang unik","Tham gia <num> Thách đấu Sự kiện Đặc biệt và độc đáo"
"TID_BLIND_DECK_START_NOTIFICATION","Blind Deck Challenge has started, battle with fresh decks!","Le défi à l'aveugle a commencé, battez-vous avec des cartes aléatoires !","Die Herausforderung ,,Blindes Deck\q hat begonnen. Kämpfe mit einem neuen Deck!","El desafío de baraja ciega ha comenzado. ¡Lucha con barajas nuevas!","La sfida mazzo ignoto è cominciata, combatti con mazzi nuovi!","De uitdaging met blinde kaarten is gestart. Vecht met steeds andere gevechtskaarten!","Tilfeldige kampkort-utfordringen er i gang. Spill med nye kort!","Kör Deste Meydan Okuması başladı, yeni destelerle oyna!","ブラインドデッキ・チャレンジが始まりました。新しいデッキで戦いましょう！","블라인드 덱 도전이 시작되었습니다. 새로운 덱으로 플레이해 보세요!","Началось испытание вслепую, сразись со случайной колодой!","لقد بدأ تحدي البطاقات الغامضة، تعارك باستخدام بطاقات جديدة!","O Desafio do Deck Surpresa começou. Lute com decks aleatórios.","随机卡组挑战已经开始，使用随机卡组与对手一决胜负！","隨機牌組挑戰已經開始，使用隨機牌組與對手一決勝負！","مبارزه طلبی دست کورکورانه شروع شده، با دست‌های تازه بازی کن!","Tantangan Dek Buta telah dimulai, main dengan dek baru!","Cabaran Dek Buta telah bermula, bertempur dengan dek baharu!","Thách đấu Ngẫu nhiên đã bắt đầu, hãy chiến đấu bằng các bộ thẻ mới!"
"TID_BLIND_DECK6","Dark Lighting","Foudre noire","Dunkle Beleuchtung","Rayo oscuro","Chiaroscuro","Licht in de duisternis","Mørk belysning","Koyu Aydınlatma","ダークライトニング","다크 라이트","Черная молния","إنارة الظلام","Relâmpago das Trevas","黑暗王子雷电流","黑暗王子雷電流","روشنایی تاریک","Kilat Hitam","Kilat Kegelapan","Sét Hắc ám"
"TID_CARD_STACK_OFFER","Card Stack Offer","Offre ensemble de cartes","Kartenstapel-Angebot","Oferta de montón de cartas","Offerta pila di carte","Aanbieding stapel kaarten","Kortstokktilbud","Kart Yığını Fırsatı","カードパックセール","카드 스택 특가","Предлагаем набор карт","عرض مجموعة البطاقات","Oferta Pilha de Cartas","特惠卡包","特惠卡包","پیشنهاد بسته کارت","Penawaran Tumpukan Kartu","Tawaran Tindanan Kad","Ưu đãi Chồng Thẻ"
"TID_ACHIEVEMENT_TITLE_DONATE_2","Friend in Need II","Coup de pouce II","Freund in Not II","Amigos en apuros II","Un amico in difficoltà II","Vriend in nood II","Venn i nød II","Muhtaç Arkadaş II","助け合い精神II","친구 돕기 II","Друг в беде II","الصديق وقت الضيق II","Ajude um amigo II","乐善好施","樂善好施","دوست زمان نیاز 2","Teman sedang Butuh II","Rakan yang Diperlukan II","Bạn bè cần Trợ giúp II"
"TID_ACHIEVEMENT_TITLE_DONATE","Friend in Need","Coup de pouce","Freund in Not","Amigos en apuros","Un amico in difficoltà","Vriend in nood","Venn i nød","Muhtaç Arkadaş","助け合い精神","친구 돕기","Друг в беде","الصديق وقت الضيق","Ajude um amigo","助人为乐","助人為樂","دوست نیازمند","Teman Perlu Bantuan","Rakan yang Memerlukan","Bạn bè cần Trợ giúp"
"TID_CHALLENGE_RESULTS","Friendly Battle Result","Résultat du combat amical","Testspielresultat","Resultado de la batalla amistosa","Risultato battaglia amichevole","Resultaat vriendschappelijk gevecht","Resultat fra vennskapskamp","Dostluk Savaşı Sonucu","フレンドバトル結果","친선전 결과","Результат дружеского боя","نتيحة المعركة الودية","Resultado da batalha amistosa","对战结果","對戰結果","نتیجه نبرد دوستانه","Hasil Pertempuran Persahabatan","Keputusan Pertempuran Persahabatan","Kết quả Trận chiến Giao hữu"
"TID_BATTLE_WITH_FRESH_DECKS","Play with fresh cards!","Jouez avec de toutes nouvelles cartes !","Kämpfe mit neuen Karten!","¡Juega con cartas nuevas!","Gioca con nuove carte!","Vecht met steeds andere kaarten!","Spill med ferske kort!","Yeni kartlarla oyna!","新しいデッキでプレイ！","새로운 카드로 플레이해 보세요!","Сыграй с новыми картами!","العب ببطاقات جديدة!","Jogue com cartas novas!","使用随机卡组进行对战！","使用隨機牌組進行對戰！","بازی با کارت‌های تازه!","Bermain dengan kartu baru!","Bermain dengan kad baharu!","Chơi bằng thẻ mới!"
