"Name","Enabled","Description","HasEvenSpaceCharacters","UsedSystemFont","HelpshiftSDKLanguage","TermsAndServiceUrl","ParentsGuideUrl","PrivacyPolicyUrl","HelpshiftSDKLanguageAndroid","SortOrder","TestLanguage","TestExcludes","RegionListFile","RoyalBoxURL","RoyalBoxStageURL","BoomBoxURL"
"String","boolean","string","boolean","string","string","string","string","string","string","int","boolean","string","string","string","string","string"
"EN","TRUE",,,,"en","http://supercell.com/en/terms-of-service/","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/",,1,,,,"https://inbox.clashroyale.com","https://inbox-staging.clashroyale.com","https://inbox.boombeach.com"
"FR","TRUE",,,,"fr","http://supercell.com/en/terms-of-service/fr","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/fr",,2,,,,"https://clashroyale.com/fr/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/fr/blog","https://inbox.boombeach.com/fr"
"DE","TRUE",,,,"de","http://supercell.com/en/terms-of-service/de","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/de",,3,,,,"https://clashroyale.com/de/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/de/blog","https://inbox.boombeach.com/de"
"ES","TRUE",,,,"es","http://supercell.com/en/terms-of-service/es","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/es",,4,,,,"https://clashroyale.com/es/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/es/blog","https://inbox.boombeach.com/es"
"IT","TRUE",,,,"it","http://supercell.com/en/terms-of-service/it","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/it",,5,,,,"https://clashroyale.com/it/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/it/blog","https://inbox.boombeach.com/it"
"NL","TRUE",,,,"nl","http://supercell.com/en/terms-of-service/","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/",,6,,,,"https://clashroyale.com/nl/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/nl/blog","https://inbox.boombeach.com/nl"
"NO","TRUE",,,,,"http://supercell.com/en/terms-of-service/","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/",,7,,,,"https://clashroyale.com/no/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/no/blog","https://inbox.boombeach.com/no"
"PT","TRUE",,,,"pt","http://supercell.com/en/terms-of-service/pt","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/pt","pt_Br",8,,,,"https://clashroyale.com/pt/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/pt/blog","https://inbox.boombeach.com/pt"
"TR","TRUE",,,,"tr","http://supercell.com/en/terms-of-service/tr","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/tr",,9,,,,"https://clashroyale.com/tr/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/tr/blog","https://inbox.boombeach.com/tr"
"CN","TRUE",,"TRUE","STHeitiSC-Medium","zh-Hans","http://supercell.com/en/terms-of-service/cn","http://www.supercell.com/en/parents/cn","http://www.supercell.com/en/privacy-policy/cn","zh_CN",11,,,"csv_client/sorted_regions/CN_regions.csv","http://cr.kunlun.com/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/zh/blog","https://bb-inbox.kunlun-cdn.com"
"JP","TRUE",,"TRUE","HiraKakuProN-W6","ja","http://supercell.com/en/terms-of-service/jp","http://www.supercell.com/en/parents/jp","http://www.supercell.com/en/privacy-policy/jp",,13,,,"csv_client/sorted_regions/JP_regions.csv","https://clashroyale.com/ja/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/ja/blog","https://inbox.boombeach.com/jp"
"KR","TRUE",,"TRUE",,"ko","http://supercell.com/en/terms-of-service/ko","http://www.supercell.com/en/parents/ko","http://www.supercell.com/en/privacy-policy/ko",,14,,,"csv_client/sorted_regions/KR_regions.csv","https://clashroyale.com/ko/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/ko/blog","https://inbox.boombeach.com/ko"
"RU","TRUE",,,,"ru","http://supercell.com/en/terms-of-service/ru","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/ru",,10,,,,"https://clashroyale.com/ru/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/ru/blog","https://inbox.boombeach.com/ru"
"TEXT","FALSE","Longest text",,,"zh-hans","http://supercell.com/en/terms-of-service/","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/","zh_CN",1000,"TRUE","AR",,"https://clashroyale.com/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/blog","https://inbox.boombeach.com"
,,,,,,,,,,,,"FA",,,,
"WORD","FALSE","Longest word",,,"cn","http://supercell.com/en/terms-of-service/","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/","zh_TW",1001,"TRUE","AR",,"https://clashroyale.com/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/blog","https://inbox.boombeach.com"
,,,,,,,,,,,,"FA",,,,
"DOUBLE","FALSE","Double String",,,"zh-Hans","http://supercell.com/en/terms-of-service/","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/","zh_CN",1002,"TRUE",,,"https://clashroyale.com/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/blog","https://inbox.boombeach.com"
