"Name","NpcOnly","PvpOnly","ShadowR","ShadowG","ShadowB","ShadowA","ShadowOffsetX","ShadowOffsetY","Music","MusicStartTime","Sound","SoundStartTime","SoundPlayOvertime","ExtraTimeMusic","MatchLength","WinCondition","OvertimeSeconds","NoStartScreen","NoEndScreen","HideTopUI","HideManaBar","EndScreenDelay","FileName","AmbientSound","OverlaySC","OverlayExportName","CrowdEffects","CloudFileName","CloudExportName","CloudMinScale","CloudMaxScale","CloudMinSpeed","CloudMaxSpeed","CloudMinAlpha","CloudMaxAlpha","CloudCount","TileDataFileName","WalkEffect","WalkEffectOvertime","LoopingEffectRegularTime","LoopingEffectOvertime","LoopingEffect"
"string","boolean","boolean","int","int","int","int","int","int","string","int","string","int","boolean","string","int","string","int","boolean","boolean","boolean","boolean","int","string","string","string","string","boolean","string","string","int","int","int","int","int","int","int","string","String","String","String","String","String"
"FirstMatch","true",,,,100,60,100,100,"TrainingArena",180,"Tut_jing_start",180,,"60sec_training",,"Normal",,,,,,4000,"locations/training_arena.csv","ScrollAmb01",,,,"sc/effects.sc","cloud_1",54,114,25,154,7,10,4,"locations/tilemap.csv",,,,,
"TrainingCamp",,,,,100,60,100,100,"TrainingArena",180,"Tut_jing_start",180,,"60sec_training",180,"Normal",60,,,,,4000,"locations/training_arena.csv","ScrollAmb01",,,,"sc/effects.sc","cloud_1",54,114,25,154,7,10,4,"locations/tilemap.csv",,,,,
,,,,,,,,,"60sec_training",60,"Tut_jing_time_1",60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Tut_jing_time_2",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Tut_count_01",10,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Tut_count_01",9,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Tut_count_01",8,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Tut_count_01",7,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Tut_count_01",6,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Tut_count_01",5,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Tut_count_01",4,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Tut_count_01",3,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Tut_count_01",2,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Tut_count_01",1,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PvP_goblin",,"true",,30,,55,100,200,"BattleMusic",180,"Goblin_arena_start",180,,"Sudden_death",180,"Normal",60,,,,,4000,"locations/goblin_arena.csv","ScrollAmb01",,,"true","sc/effects.sc","cloud_1",70,110,25,80,15,15,5,"locations/tilemap.csv",,,,,
