"Name","Location","PredefinedDeck","Trophies","ManaRegenMs","ManaRegenMsEnd","ManaRegenMsOvertime","ExpLevel","CanReplay","TID","ExpReward","Seed","FullDeckNotNeeded","ManaReserve","StartingMana","WizardHpMultiplier","StartTaunt","OwnTowerDestroyedTaunt","HighlightTargetsOnManaFull"
"String","String","String","int","int","int","int","int","boolean","String","int","int","boolean","int","int","int","String","String","boolean"
"Npc1","FirstMatch","BasicDeck1",0,120000,120000,120000,1,"true","TID_NPC_1",0,2,"true",,1,40,,"NPC1_Tower","TRUE"
"Npc2","FirstMatch","BasicDeck2",0,120000,120000,120000,1,"true","TID_NPC_2",0,,"true",,1,60,"NPC2_Start","NPC2_Tower",
"Npc3","TrainingCamp","BasicDeck3",0,100000,100000,100000,1,"true","TID_NPC_3",0,,"true",,1,60,"NPC3_Start","NPC3_Tower",
"Npc4","TrainingCamp","BasicDeck4",0,80000,40000,40000,1,"true","TID_NPC_4",0,,"true",,2,80,"NPC4_Start","NPC4_Tower",
"Npc5","TrainingCamp","BasicDeck5",0,60000,30000,30000,1,"true","TID_NPC_5",0,,"true",,3,80,"NPC4_Start","NPC4_Tower",
"Npc6","TrainingCamp","BasicDeck6",0,60000,30000,30000,1,"true","TID_NPC_6",0,,"true",,4,,"NPC4_Start","NPC4_Tower",
"Npc7","TrainingCamp","BasicDeck7",0,50000,25000,25000,1,"true","TID_NPC_7",0,,"true",,5,,"NPC4_Start","NPC4_Tower",
"Npc8","TrainingCamp","BasicDeck8",50,50000,25000,25000,2,"true","TID_NPC_8",0,,"true",,5,,"NPC4_Start","NPC4_Tower",
"Npc9","TrainingCamp","BasicDeck9",150,40000,20000,20000,2,"true","TID_NPC_9",0,,"true",,5,,"NPC4_Start","NPC4_Tower",
"Npc10","TrainingCamp","BasicDeck10",300,30000,15000,15000,2,"true","TID_NPC_10",0,,"true",,5,,"NPC4_Start","NPC4_Tower",
"Npc11","TrainingCamp","BasicDeck11",450,30000,15000,15000,3,"true","TID_NPC_11",0,,"true",,,,"NPC4_Start","NPC4_Tower",
"Npc12","TrainingCamp","BasicDeck12",600,30000,15000,15000,3,"true","TID_NPC_12",0,,"true",,,,"NPC4_Start","NPC4_Tower",
"Npc13","TrainingCamp","BasicDeck13",700,30000,15000,15000,3,"true","TID_NPC_13",0,,"true",,,,"NPC4_Start","NPC4_Tower",
"Npc14","TrainingCamp","BasicDeck14",800,30000,15000,15000,4,"true","TID_NPC_14",0,,"true",,,,"NPC4_Start","NPC4_Tower",
"Npc15","TrainingCamp","BasicDeck15",900,30000,15000,15000,4,"true","TID_NPC_15",0,,"true",,,,"NPC4_Start","NPC4_Tower",
"Npc16","TrainingCamp","BasicDeck16",1000,28000,14000,14000,5,"true","TID_NPC_16",0,,"true",,,,"NPC16_Start","NPC4_Tower",
"Npc17","TrainingCamp","BasicDeck17",1100,28000,14000,14000,5,"true","TID_NPC_17",0,,"true",,,,"NPC4_Start","NPC4_Tower",
"Npc18","TrainingCamp","BasicDeck18",1200,28000,14000,14000,6,"true","TID_NPC_18",0,,"true",,,,"NPC4_Start","NPC4_Tower",
"Npc19","TrainingCamp","BasicDeck19",1300,28000,14000,14000,6,"true","TID_NPC_19",0,,"true",,,,"NPC4_Start","NPC4_Tower",
"Npc20","TrainingCamp","BasicDeck20",1400,28000,14000,14000,7,"true","TID_NPC_20",0,,"true",,,,"NPC4_Start","NPC4_Tower",
"Npc21","TrainingCamp","BasicDeck21",1500,28000,14000,14000,6,"true","TID_NPC_21",0,,"true",,,,"NPC4_Start","NPC4_Tower",
"Npc22","TrainingCamp","BasicDeck22",1600,28000,14000,14000,6,"true","TID_NPC_22",0,,"true",,,,"NPC4_Start","NPC4_Tower",
"Npc23","TrainingCamp","BasicDeck23",1700,28000,14000,14000,7,"true","TID_NPC_23",0,,"true",,,,"NPC4_Start","NPC4_Tower",
"Npc24","TrainingCamp","BasicDeck24",1800,28000,14000,14000,7,"true","TID_NPC_24",0,,"true",,,,"NPC4_Start","NPC4_Tower",
"Npc25","TrainingCamp","BasicDeck25",1900,28000,14000,14000,7,"true","TID_NPC_25",0,,"true",,,,"NPC4_Start","NPC4_Tower",
"Npc26","TrainingCamp","BasicDeck26",2000,28000,14000,14000,7,"true","TID_NPC_26",0,,"true",,,,"NPC4_Start","NPC4_Tower",
"Npc27","TrainingCamp","BasicDeck27",2100,28000,14000,14000,7,"true","TID_NPC_27",0,,"true",,,,"NPC4_Start","NPC4_Tower",
"Npc28","TrainingCamp","BasicDeck28",2200,28000,14000,14000,8,"true","TID_NPC_28",0,,"true",,,,"NPC4_Start","NPC4_Tower",
"Npc29","TrainingCamp","BasicDeck29",2300,28000,14000,14000,8,"true","TID_NPC_29",0,,"true",,,,"NPC4_Start","NPC4_Tower",
"Npc30","TrainingCamp","BasicDeck30",2400,28000,14000,14000,8,"true","TID_NPC_30",0,,"true",,,,"NPC4_Start","NPC4_Tower",
"Npc31","TrainingCamp","BasicDeck31",2500,28000,14000,14000,8,"true","TID_NPC_31",0,,"true",,,,"NPC4_Start","NPC4_Tower",
"Npc32","TrainingCamp","BasicDeck32",2600,28000,14000,14000,8,"true","TID_NPC_32",0,,"true",,,,"NPC4_Start","NPC4_Tower",
"Npc33","TrainingCamp","BasicDeck33",2700,28000,14000,14000,9,"true","TID_NPC_33",0,,"true",,,,"NPC4_Start","NPC4_Tower",
"Npc34","TrainingCamp","BasicDeck34",2800,28000,14000,14000,9,"true","TID_NPC_34",0,,"true",,,,"NPC4_Start","NPC4_Tower",
"Npc35","TrainingCamp","BasicDeck35",2900,28000,14000,14000,9,"true","TID_NPC_35",0,,"true",,,,"NPC4_Start","NPC4_Tower",
"Npc36","TrainingCamp","BasicDeck36",3000,28000,14000,14000,10,"true","TID_NPC_36",0,,"true",,,,"NPC4_Start","NPC4_Tower",
"Npc37","TrainingCamp","BasicDeck37",3100,28000,14000,14000,10,"true","TID_NPC_37",0,,"true",,,,"NPC4_Start","NPC4_Tower",
"Npc38","TrainingCamp","BasicDeck38",3200,28000,14000,14000,10,"true","TID_NPC_38",0,,"true",,,,"NPC4_Start","NPC4_Tower",
"Npc39","TrainingCamp","BasicDeck39",3300,28000,14000,14000,10,"true","TID_NPC_39",0,,"true",,,,"NPC4_Start","NPC4_Tower",
"Npc40","TrainingCamp","BasicDeck40",3400,28000,14000,14000,11,"true","TID_NPC_40",0,,"true",,,,"NPC4_Start","NPC4_Tower",
"Npc41","TrainingCamp","BasicDeck41",3500,28000,14000,14000,12,"true","TID_NPC_41",0,,"true",,,,"NPC4_Start","NPC4_Tower",
"Npc42","TrainingCamp","BasicDeck42",6000,7000,7000,7000,13,"true","TID_NPC_42",0,,"true",,,,"NPC4_Start","NPC4_Tower",
