Name,Dummy
String,String
JP,
IS,
IE,
_AS,
AZ,
AC,
AF,
_AF,
US,
VI,
AS,
AE,
DZ,
AR,
AW,
AL,
AM,
AI,
AO,
AG,
AD,
YE,
GB,
IO,
VG,
IL,
IT,
IQ,
IR,
_INT,
IN,
ID,
WF,
UG,
UA,
UZ,
UY,
EC,
EG,
EE,
ET,
ER,
SV,
OM,
NL,
BQ,
_AU,
AU,
AT,
AX,
GY,
KZ,
QA,
CA,
IC,
GA,
CM,
GM,
KH,
GH,
CV,
GG,
GN,
GW,
CY,
CW,
CU,
GR,
KI,
KG,
GT,
GP,
GU,
KW,
CK,
CX,
GL,
GE,
GD,
HR,
KY,
KE,
CC,
CR,
XK,
KM,
CO,
CD,
CG,
CI,
SA,
WS,
BL,
MF,
ST,
ZM,
PM,
SM,
SL,
DJ,
GI,
JM,
JE,
SY,
SG,
ZW,
CH,
SJ,
SE,
ES,
SR,
LK,
SK,
SI,
SZ,
SD,
SC,
EA,
SN,
RS,
SX,
KN,
VC,
SH,
LC,
SO,
SB,
TH,
TJ,
TZ,
TC,
CZ,
TD,
TN,
CL,
TV,
DG,
DK,
DE,
TK,
DO,
DM,
TA,
TT,
TM,
TR,
TO,
TG,
NG,
NR,
NA,
NU,
NI,
NE,
NC,
NZ,
NP,
NO,
NF,
HT,
PK,
VA,
PA,
VU,
BS,
PG,
BM,
PW,
PY,
BB,
PS,
HU,
BD,
HM,
BH,
PN,
FJ,
PH,
FI,
PR,
FO,
FK,
BR,
FR,
GF,
PF,
TF,
BG,
BF,
BN,
BI,
BT,
BV,
VN,
BJ,
VE,
BY,
BZ,
BE,
PE,
BA,
BW,
BO,
PT,
HN,
PL,
MO,
MK,
MG,
YT,
MW,
ML,
MT,
MQ,
MY,
IM,
MH,
FM,
MM,
MX,
MZ,
MC,
MV,
MD,
MA,
MN,
ME,
MS,
MU,
MR,
JO,
_EU,
LA,
LV,
LT,
LY,
LI,
LR,
LU,
RW,
RO,
LS,
LB,
RE,
RU,
TW,
KR,
HK,
UM,
EH,
GQ,
CF,
CN,
TL,
ZA,
_SA,
SS,
AQ,
_NA,
MP,
KP,
