"Name","PropertyName","PropertyType","IsRequired","ObjectType","DefaultInt","DefaultString"
"string","string","string","boolean","string","int","string"
"ChallengeDefinitionType","GameMode","GAME_MODE","TRUE",,,
,"Title","LIST_OF_OBJECTS","TRUE","LocalizedStringType",,
,"FreePass","NUMBER","TRUE",,,
,"JoinCost","NUMBER","TRUE",,,
,"JoinCostResource","ENUMERATION","TRUE","ResourceEnum",,
,"MaxLosses","NUMBER","TRUE",,,
,"Rewards","LIST_OF_OBJECTS","TRUE","RewardType",,
,"IconExportName","ENUMERATION","TRUE","IconExportNameEnum",,
,"CardTheme","STRING","FALSE",,,
,"WinIconExportName","ENUMERATION","TRUE","WinIconExportNameEnum",,
,"Arena","ENUMERATION","TRUE","ArenaEnum",,
,"Subtitle","LIST_OF_OBJECTS","TRUE","LocalizedStringType",,
,"Description","LIST_OF_OBJECTS","TRUE","LocalizedStringType",,
,"MilestoneHighlightInUI","NUMBER","FALSE",,,
,"StartNotification","LIST_OF_OBJECTS","FALSE","LocalizedStringType",,
,"EndNotification","LIST_OF_OBJECTS","FALSE","LocalizedStringType",,
"FriendlyChallengeDefinitionType","GameMode","GAME_MODE","TRUE",,,
,"StartNotification","LIST_OF_OBJECTS","FALSE","LocalizedStringType",,
,"EndNotification","LIST_OF_OBJECTS","FALSE","LocalizedStringType",,
"ShopDefinitionType","Title","LIST_OF_OBJECTS","TRUE","LocalizedStringType",,
,"Subtitle","LIST_OF_OBJECTS","TRUE","LocalizedStringType",,
,"ShopOffers","LIST_OF_OBJECTS","TRUE","ShopOfferType",,
,"Target_ModuloX","NUMBER","FALSE",,,
,"Target_ModuloY","NUMBER","FALSE",,,
,"Target_Account","STRING","FALSE",,,
,"Target_MinTrophies","NUMBER","FALSE",,,
,"Target_MaxTrophies","NUMBER","FALSE",,,
,"Target_DaysToShow","NUMBER","FALSE",,,
,"Target_MinBought","NUMBER","FALSE",,,
,"Target_MaxBought","NUMBER","FALSE",,,
,"Target_CalculateOnce","BOOLEAN","FALSE",,,
,"StartNotification","LIST_OF_OBJECTS","FALSE","LocalizedStringType",,
,"EndNotification","LIST_OF_OBJECTS","FALSE","LocalizedStringType",,
"RewardType","Gold","NUMBER","FALSE",,,
,"Cards","NUMBER","FALSE",,,
,"Milestone","OBJECT","FALSE","MilestoneType",,
"ShopOfferType","Title","LIST_OF_OBJECTS","FALSE","LocalizedStringType",,
,"Template","ENUMERATION","TRUE","ShopTemplates",,
,"Repeatable","BOOLEAN","FALSE",,,
,"CostType","ENUMERATION","TRUE","CostTypeEnum",,
,"Cost","NUMBER","FALSE",,,
,"CostIAP","ENUMERATION","FALSE","BillingPackages",,
,"Image","OBJECT","TRUE","ImageType",,
,"PurchasedImage","OBJECT","FALSE","ImageType",,
,"Multiplier","NUMBER","FALSE",,,
,"Rewards","LIST_OF_OBJECTS","TRUE","OfferRewardType",,
"OfferRewardType","Type","ENUMERATION","TRUE","OfferRewardEnum",,
,"Chest","ENUMERATION","FALSE","ChestEnum",,
,"Spell","STRING","FALSE",,,
,"Amount","NUMBER","FALSE",,,
"UrlWithChecksumType","Url","STRING","TRUE",,,
,"Checksum","STRING","TRUE",,,
"LocalizedStringType","LanguageCode","STRING","TRUE",,,
,"Text","STRING","TRUE",,,
"ImageType","File","STRING","TRUE",,,
,"Path","STRING","TRUE",,,
,"Checksum","STRING","TRUE",,,
"ShopCycleManagementConfiguration","EpicChestCycleDuration","NUMBER","FALSE",,14,
,"LegendaryChestCycleDuration","NUMBER","FALSE",,21,
,"ArenaPackCycleDuration","NUMBER","FALSE",,10,
"CardRelease","DarkWitch","DATE","FALSE",,,
,"Assassin","DATE","FALSE",,,
,"Heal","DATE","FALSE",,,
,"Bats","DATE","FALSE",,,
"MilestoneType","Type","ENUMERATION","TRUE","MilestoneTypeEnum",,
,"Chest","ENUMERATION","FALSE","ChestEnum",,
,"Spell","STRING","FALSE",,,
,"Amount","NUMBER","FALSE",,,
,"RandomSpell","ENUMERATION","FALSE","RarityEnum",,
"KillSwitch","HideShopOffersUI","BOOLEAN","FALSE",,,
