"Name","TID","CardLevelAdjustment","DeckSelection","OvertimeSeconds","PredefinedDecks","ElixirProductionMultiplier","ElixirProductionOvertimeMultiplier","UseStartingElixir","StartingElixir","Heroes","ForcedDeckCards","HelpExportName","Team","EventDeckSetLimit","ForcedDeckCardsUsingCardTheme","ConfirmExportName"
"string","string","String","String","int","string","int","int","boolean","int","boolean","String","String","boolean","String","boolean","String"
"BlindDeck","TID_BLIND_DECK_CHALLENGE","Friendly","Predefined",180,"BlindDeck1",,,,,,,"popup_tournament_blind_challenge_help",,,,"popup_tournament_blind_challenge_confirm"
,,,,,"BlindDeck2",,,,,,,,,,,
"DoubleElixir","TID_DOUBLE_ELIXIR_CHALLENGE","Tournament","Collection",180,,200,,"true",0,,,"popup_tournament_2x_elixir_challenge_help",,,,"popup_tournament_2x_elixir_challenge_confirm"
"ThreeBridges","TID_THREE_BRIDGES_CHALLENGE","Tournament","Collection",180,,,,,,,,"popup_tournament_open_help",,,,"popup_tournament_open_confirm"
"HeroChallenge","TID_HERO_CHALLENGE","Tournament","Collection",180,,,,,,"true",,"popup_tournament_open_help",,,,"popup_tournament_open_confirm"
"ElectroWiz","TID_CHALLENGE_ELECTRO_WIZ","Friendly","EventDeck",180,,,,,,,"ElectroWizard","popup_tournament_legendary_challenge_help",,,,"popup_tournament_open_confirm"
"DraftMode","TID_DRAFT_CHALLENGE","Friendly","Draft",180,,,,,,,,"popup_tournament_draft_challenge_help",,,,"popup_tournament_open_confirm"
"Ladder",,"Ladder","Collection",60,,,,,,,,"popup_tournament_open_help",,,,"popup_tournament_open_confirm"
"Friendly",,"Friendly","Collection",180,,,,,,,,"popup_tournament_open_help",,,,"popup_tournament_open_confirm"
"Training",,"Ladder","Collection",60,,,,,,,,"popup_tournament_open_help",,,,"popup_tournament_open_confirm"
"Tournament",,"Tournament","Collection",180,,,,,,,,"popup_tournament_open_help",,,,"popup_tournament_open_confirm"
"Challenge",,"Tournament","Collection",180,,,,,,,,"popup_tournament_open_help",,,,"popup_tournament_open_confirm"
"DoubleElixir_Friendly","TID_DOUBLE_ELIXIR_CHALLENGE","Friendly","Collection",180,,200,,"true",0,,,"popup_tournament_2x_elixir_challenge_help",,,,"popup_tournament_2x_elixir_challenge_confirm"
"BattleRam","TID_CHALLENGE_ELECTRO_WIZ","Friendly","EventDeck",180,,,,,,,,"popup_tournament_open_help",,,,"popup_tournament_open_confirm"
"DraftModeInsane","TID_DRAFT_CHALLENGE","Friendly","Draft",180,,200,,"true",0,,,"popup_tournament_draft_challenge_help",,,,"popup_tournament_open_confirm"
"Team","TID_TEAM_CHALLENGE","Friendly","Collection",180,,85,70,,,,,"popup_tournament_open_help","TRUE",,,"popup_tournament_open_confirm"
"RetroRoyale","TID_RETRO_ROYALE_CHALLENGE","Friendly","EventDeck",180,,,,,,,,"popup_tournament_open_help",,"Event_Retro",,"popup_tournament_open_confirm"
"CardRelease",,"Friendly","EventDeck",180,,,,,,,,"popup_tournament_open_help",,,"TRUE","popup_tournament_legendary_challenge_confirm"
"CardReleaseDraft",,"Friendly","Draft",180,,,,,,,,"popup_tournament_draft_challenge_help",,,"TRUE","popup_tournament_legendary_challenge_confirm"
