"Name","Option"
"string","string"
"ResourceEnum","Gold"
,"Gems"
"IconExportNameEnum","icon_tournament_2x_elixir"
,"icon_tournament_2x_elixir_grand"
,"icon_tournament_blind_deck"
,"icon_tournament_blind_deck_grand"
,"icon_tournament_bronze"
,"icon_tournament_card_release"
,"icon_tournament_card_release_grand"
,"icon_tournament_custom"
,"icon_tournament_draft"
,"icon_tournament_draft_grand"
,"icon_tournament_gold"
,"icon_tournament_goldrush"
,"icon_tournament_goldrush_grand"
,"icon_tournament_retro"
,"icon_tournament_retro_grand"
,"icon_tournament_special"
,"icon_tournament_special_grand"
"WinIconExportNameEnum","tournament_open_wins_badge_bronze"
,"tournament_open_wins_badge_gold"
,"tournament_open_wins_badge_blind"
,"tournament_open_wins_badge_draft"
,"tournament_open_wins_badge_legendary"
"CostTypeEnum","IAP"
,"Gold"
,"Gems"
,"Free"
"OfferRewardEnum","Chest"
,"Gold"
,"Gems"
,"Spell"
"BillingPackages","com.supercell.scroll.specialoffertier1"
,"com.supercell.scroll.specialoffertier2"
,"com.supercell.scroll.specialoffertier3"
,"com.supercell.scroll.specialoffertier4"
,"com.supercell.scroll.specialoffertier5"
,"com.supercell.scroll.specialoffertier6"
,"com.supercell.scroll.specialoffertier7"
,"com.supercell.scroll.specialoffertier8"
,"com.supercell.scroll.specialoffertier9"
,"com.supercell.scroll.specialoffertier10"
,"com.supercell.scroll.specialoffertier15"
,"com.supercell.scroll.specialoffertier20"
,"com.supercell.scroll.specialoffertier50"
,"com.supercell.scroll.specialoffertier60"
"ArenaEnum","All"
,"TrainingCamp"
,"Arena1"
,"Arena2"
,"Arena3"
,"Arena4"
,"Arena5"
,"Arena6"
,"Arena_L"
,"Arena7"
,"Arena8"
,"Arena9"
,"Arena_T"
"ShopTemplates","shop_item1_all_text"
,"shop_item1_center_text"
,"shop_item1_center_text_chest"
,"shop_item1_left_right_text"
,"shop_item1_left_text"
,"shop_item1_left_text_chest"
,"shop_item1_no_text"
,"shop_item1_right_text"
,"shop_item1_right_text_chest"
,"shop_item2_no_text"
,"shop_item2_text"
,"shop_item2_text_chest"
,"shop_item3_no_text"
,"shop_item3_text"
,"shop_item3_text_chest"
,"shop_item3_text_chest_sml"
"MilestoneTypeEnum","Chest"
,"Gold"
,"Gems"
,"Spell"
,"RandomSpell"
"ChestEnum","Silver_<current_arena>"
,"Silver_<max_arena>"
,"Gold_<current_arena>"
,"Gold_<max_arena>"
,"Giant_<current_arena>"
,"Giant_<max_arena>"
,"Magic_<current_arena>"
,"Magic_<max_arena>"
,"Epic_<current_arena>"
,"Epic_<max_arena>"
,"Legendary"
,"Super_<current_arena>"
,"Super_<max_arena>"
,"Draft_<current_arena>"
,"Draft_<max_arena>"
"RarityEnum","Common"
,"Rare"
,"Epic"
,"Legendary"
