"Name","Enabled","Description","SortOrder","HasEvenSpaceCharacters","UsedSystemFont","HelpshiftSDKLanguage","HelpshiftSDKLanguageAndroid","HelpshiftLanguageTag","TermsAndServiceUrl","ParentsGuideUrl","PrivacyPolicyUrl","TestLanguage","TestExcludes","RegionListFile","MaintenanceRoyalBox","RoyalBoxURL","RoyalBoxStageURL","RoyalBoxDevURL","BoomBoxURL"
"String","boolean","string","int","boolean","string","string","string","string","string","string","string","boolean","string","string","boolean","string","string","string","string"
"EN","TRUE",,1,,,"en",,"EN","http://supercell.com/en/terms-of-service/","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/",,,,"TRUE","https://inbox.clashroyale.com/","https://inbox-staging.clashroyale.com/","https://ducn7cprpa5c7.cloudfront.net/","https://inbox.boombeach.com/"
"FR","TRUE",,5,,,"fr",,"FR","http://supercell.com/en/terms-of-service/fr","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/fr",,,,,"https://clashroyale.com/fr/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/fr/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/fr/blog","https://inbox.boombeach.com/fr/"
"DE","TRUE",,6,,,"de",,"DE","http://supercell.com/en/terms-of-service/de","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/de",,,,,"https://clashroyale.com/de/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/de/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/de/blog","https://inbox.boombeach.com/de/"
"ES","TRUE",,7,,,"es",,"ES","http://supercell.com/en/terms-of-service/es","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/es",,,,,"https://clashroyale.com/es/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/es/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/es/blog","https://inbox.boombeach.com/es/"
"IT","TRUE",,8,,,"it",,"IT","http://supercell.com/en/terms-of-service/it","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/it",,,,,"https://clashroyale.com/it/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/it/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/it/blog","https://inbox.boombeach.com/it/"
"NL","TRUE",,9,,,"nl",,"NL","http://supercell.com/en/terms-of-service/","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/",,,,,"https://clashroyale.com/nl/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/nl/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/nl/blog","https://inbox.boombeach.com/nl/"
"NO","TRUE",,10,,,,,"NO","http://supercell.com/en/terms-of-service/","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/",,,,,"https://clashroyale.com/no/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/no/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/no/blog","https://inbox.boombeach.com/no/"
"PT","TRUE",,11,,,"pt","pt_Br","PT","http://supercell.com/en/terms-of-service/pt","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/pt",,,,,"https://clashroyale.com/pt/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/pt/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/pt/blog","https://inbox.boombeach.com/pt/"
"TR","TRUE",,12,,,"tr",,"TR","http://supercell.com/en/terms-of-service/tr","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/tr",,,,,"https://clashroyale.com/tr/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/tr/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/tr/blog","https://inbox.boombeach.com/tr/"
"CN","TRUE",,2,"TRUE","STHeitiSC-Medium","zh-Hans","zh_CN","ZH-HANS","http://supercell.com/en/terms-of-service/cn","http://www.supercell.com/en/parents/cn","http://www.supercell.com/en/privacy-policy/cn",,,"csv_client/sorted_regions/CN_regions.csv","TRUE","https://cr-inbox.kunlun-cdn.com/","https://test-cr-inbox.kunlun-cdn.com/","https://ducn7cprpa5c7.cloudfront.net/zh_cn/","https://bb-inbox.kunlun-cdn.com/"
"JP","TRUE",,4,"TRUE","HiraKakuProN-W6","ja",,"JP","http://supercell.com/en/terms-of-service/jp","http://www.supercell.com/en/parents/jp","http://www.supercell.com/en/privacy-policy/jp",,,"csv_client/sorted_regions/JP_regions.csv","TRUE","https://inbox.clashroyale.com/ja/","https://inbox-staging.clashroyale.com/ja/","https://ducn7cprpa5c7.cloudfront.net/ja/","https://inbox.boombeach.com/jp/"
"KR","TRUE",,3,"TRUE",,"ko",,"KR","http://supercell.com/en/terms-of-service/ko","http://www.supercell.com/en/parents/ko","http://www.supercell.com/en/privacy-policy/ko",,,"csv_client/sorted_regions/KR_regions.csv","TRUE","https://inbox.clashroyale.com/ko/","https://inbox-staging.clashroyale.com/ko/","https://ducn7cprpa5c7.cloudfront.net/ko/","https://inbox.boombeach.com/ko/"
"RU","TRUE",,13,,,"ru",,"RU","http://supercell.com/en/terms-of-service/ru","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/ru",,,,,"https://clashroyale.com/ru/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/ru/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/ru/blog","https://inbox.boombeach.com/ru/"
"TEXT","FALSE","Longest text",100,,,"zh-hans","zh_CN","EN","http://supercell.com/en/terms-of-service/","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/","TRUE","AR",,,"https://clashroyale.com/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/blog","https://inbox.boombeach.com/"
,,,,,,,,,,,,,"FA",,,,,,
"WORD","FALSE","Longest word",101,,,"cn","zh_TW","EN","http://supercell.com/en/terms-of-service/","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/","TRUE","AR",,,"https://clashroyale.com/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/blog","https://inbox.boombeach.com/"
,,,,,,,,,,,,,"FA",,,,,,
