"FileName",,,
,"SC","ExportName",
,"string","string",
,"sc/level_dark_arena.sc","dark_game_area",
"Objects",,,
,"dark_pekka_top_left",,
,,"x","y"
,,"int","int"
,,1000,-3500
,"dark_pekka_top_right",,
,,"x","y"
,,"int","int"
,,17000,-3500
,"dark_pekka_bottom_right",,
,,"x","y"
,,"int","int"
,,18000,36500
,"dark_pekka_bottom_left",,
,,"x","y"
,,"int","int"
,,1500,36500
,"dark_gate_bottom",,
,,"x","y"
,,"int","int"
,,9000,35500
,"dark_gate_top",,
,,"x","y"
,,"int","int"
,,8500,-3000
,"dark_fire_pot",,
,,"x","y"
,,"int","int"
,,-3000,15500
,,21000,15500
,"dark_stand_blue_left",,
,,"x","y"
,,"int","int"
,,-4000,23500
,,-4000,31000
,"dark_stand_left_red",,
,,"x","y"
,,"int","int"
,,-4000,10000
,,-4000,3000
,"dark_stand_red_right",,
,,"x","y"
,,"int","int"
,,22000,10000
,,22000,3000
,"dark_stand_blue_right",,
,,"x","y"
,,"int","int"
,,22000,30500
,,22000,23000
,"dark_deco1",,
,,"x","y"
,,"int","int"
,,500,17500
,,500,14500
,,17500,14500
,,17500,17500
,"spiked_fence_left",,
,,"x","y"
,,"int","int"
,,-6500,14000
,,-6500,19500
,"spiked_fence_right",,
,,"x","y"
,,"int","int"
,,24500,14000
,,24500,19500
,"lava_crack01",,
,,"x","y"
,,"int","int"
,,22500,39000
,,-11500,16500
,"lava_crack02",,
,,"x","y"
,,"int","int"
,,3500,39000
,,23000,-6000
,,-6000,-7000
,"lava_crack03",,
,,"x","y"
,,"int","int"
,,-5000,36500
,,27500,15500
,"stone_deco01",,
,,"x","y"
,,"int","int"
,,3000,41500
,,26000,33000
,,-8000,21500
,,30000,12500
,"stone_deco03",,
,,"x","y"
,,"int","int"
,,5000,-7000
,,25000,8500
,,-5500,39500
,,-7500,7000
,,-12500,18000
,,-3000,-3500
,,11500,45500
,"stone_deco02",,
,,"x","y"
,,"int","int"
,,-4500,-5000
,,27000,3000
,,22000,41000
,,-8000,30000
,"stone_deco04",,
,,"x","y"
,,"int","int"
,,-9500,1500
,,26500,23500
,,21000,-4000
,,12500,-7500
,,14000,39500
,"stone_deco05",,
,,"x","y"
,,"int","int"
,,-8500,-4000
,,23500,35000
,,-9500,29500
,,-1000,40000
,,2000,-9500
,,26000,-2500
,"stone_deco07",,
,,"x","y"
,,"int","int"
,,18500,43500
,,-2500,44500
"Background",,,
