"FileName",,,
,"SC","ExportName",
,"string","string",
,"sc/level_titan_arena.sc","titan_base_01",
"Objects",,,
,"titan_rock_01",,
,,"x","y"
,,"int","int"
,,-4500,29500
,,2500,-3500
,"titan_rock_02",,
,,"x","y"
,,"int","int"
,,-4000,11000
,,21000,22500
,"titan_rock_03",,
,,"x","y"
,,"int","int"
,,-4500,5500
,"titan_rock_04",,
,,"x","y"
,,"int","int"
,,500,-3000
,,-3000,25000
,"titan_rock_05",,
,,"x","y"
,,"int","int"
,,21500,9500
,,5500,37500
,"titan_rock_06",,
,,"x","y"
,,"int","int"
,,21500,5500
,,22000,25000
,"titan_rock_07",,
,,"x","y"
,,"int","int"
,,19000,-4000
,,-4000,22000
,"titan_dragon_01",,
,,"x","y"
,,"int","int"
,,9000,
,"titan_dragon_02",,
,,"x","y"
,,"int","int"
,,9000,15000
,"titan_dragon_03",,
,,"x","y"
,,"int","int"
,,9000,17500
,"titan_dragon_04",,
,,"x","y"
,,"int","int"
,,9000,32000
,"titan_chain_01",,
,,"x","y"
,,"int","int"
,,9000,
,,9000,-17000
,"titan_cauldron_01",,
,,"x","y"
,,"int","int"
,,9000,-3500
,"titan_statue_01",,
,,"x","y"
,,"int","int"
,,9000,-2500
,"titan_statue_02",,
,,"x","y"
,,"int","int"
,,9000,31500
,"titan_vfx_lightray_01",,
,,"x","y"
,,"int","int"
,,5500,26000
,,5500,1000
"Background",,,
