"FileName",,,
,"SC","ExportName",
,"string","string",
,"sc/arena_training.sc","training_area_bg",
"Objects",,,
,"Grassland_rock1",,
,,"x","y"
,,"int","int"
,,-9500,26000
,,-1000,
,,500,500
,,17500,31500
,"Grassland_rock2",,
,,"x","y"
,,"int","int"
,,19000,22500
,,25000,28000
,,-8460,25666
,,-2194,37250
,,-500,-500
,,500,32000
,,17500,500
,,10000,-5500
,,5000,40500
,,14000,37000
,"Grassland_rock3",,
,,"x","y"
,,"int","int"
,,26000,27000
,,18631,28083
,,4000,41000
,,11500,-7000
,"WoodWall_single_2",,
,,"x","y"
,,"int","int"
,,19000,33500
,"training_cliff5",,
,,"x","y"
,,"int","int"
,,-2000,24500
,,20500,25000
,,-2000,3500
,,-23000,29000
,"training_cliff4",,
,,"x","y"
,,"int","int"
,,-5500,26000
,,-500,35000
,,-2500,-1500
,,22000,500
,,24000,35000
,,16000,40500
,,4000,-9500
,"training_cliff6",,
,,"x","y"
,,"int","int"
,,-3500,30000
,,36500,29500
,"training_tree1",,
,,"x","y"
,,"int","int"
,,-4000,27500
,,-1500,9000
,,23500,26500
,,27500,25000
,,20500,33500
,,-6500,37500
,,23500,7500
,,-7500,9500
,,-8500,35000
,,16000,38500
,,30500,24500
,,17500,-2000
,,-8500,4500
,,-10500,24000
,,20500,-1000
,,-7500,2000
,,-4000,-3500
,,-3500,42000
,,1000,39500
,,17000,44500
,,3000,45500
,"training_tree2",,
,,"x","y"
,,"int","int"
,,-6500,23500
,,-5000,5500
,,24000,23500
,,21000,29500
,,19500,5000
,,-3500,35500
,,23500,32000
,,25000,9500
,,19500,42000
,,30000,45500
,,-25000,16000
,,14500,-5000
,,32000,-1000
,,27500,-9500
,,-11500,-8000
,,-8500,-9500
,,4000,48000
,"training_bush2",,
,,"x","y"
,,"int","int"
,,-6500,32000
,,23000,37500
,,-4000,-8500
,,5000,-6500
,,15500,-1500
,,1000,-2500
,,-500,41000
,,16500,-9500
,"training_cliff1",,
,,"x","y"
,,"int","int"
,,21500,8500
,,24000,3000
,,-20500,17000
,"training_cliffs_left",,
,,"x","y"
,,"int","int"
,,-5289,14288
,"training_cliffs_right",,
,,"x","y"
,,"int","int"
,,23357,15243
,"training_cliff7",,
,,"x","y"
,,"int","int"
,,-3500,7000
,"training_cliff2",,
,,"x","y"
,,"int","int"
,,20500,36500
,,19500,
,,12000,37500
,,-18500,-1000
,"training_cliff3",,
,,"x","y"
,,"int","int"
,,18000,35000
,,-5500,500
,,-23000,8500
,"training_bush1",,
,,"x","y"
,,"int","int"
,,26000,36000
,,18500,37500
,"fence_left_back",,
,,"x","y"
,,"int","int"
,,3500,500
,"fence_right_back",,
,,"x","y"
,,"int","int"
,,14500,500
,"fence_left_front",,
,,"x","y"
,,"int","int"
,,3500,32000
,"fence_right_front",,
,,"x","y"
,,"int","int"
,,14500,32000
,"tree_group01",,
,,"x","y"
,,"int","int"
,,-13500,2500
,,-12000,28500
,,-8500,43500
,,32000,17500
,,-12500,36500
,,25000,44500
,,-13500,17500
,,35000,44000
,,35500,35000
,,29500,31500
,,29500,38500
,,34500,25000
,,-18000,31500
,,-16000,43000
,,-11500,9500
,,-18000,11500
,,-16500,23000
,,27000,-4500
,,37500,3000
,,30500,3000
,,20500,-7000
,,-19500,4000
,,-1500,46500
,,37000,-5500
,,0,-7000
,,-15500,-5500
,,38500,20000
,,30500,10500
,,37500,11000
,,-9000,-4500
,,-20000,38000
,,-22500,45500
,,-12500,48500
,,20000,48500
,,-23500,-4000
,,-23000,22500
,,-19500,-10000
,,33500,-11000
,,12000,44000
,"training_tree3",,
,,"x","y"
,,"int","int"
,,4000,40000
,,13000,-7500
,"training_deco1",,
,,"x","y"
,,"int","int"
,,565,14875
,,17333,14666
,"training_deco2",,
,,"x","y"
,,"int","int"
,,564,17666
,,17399,17750
"Background",,,
