"Name","TID","SubtitleTID","Arena","ChestArena","TvArena","IsInUse","TrainingCamp","PVEArena","TrophyLimit","DemoteTrophyLimit","SeasonTrophyReset","ChestRewardMultiplier","BoostedCrownChestRewardMultiplier","ChestShopPriceMultiplier","RequestSize","MaxDonationCountCommon","MaxDonationCountRare","MaxDonationCountEpic","IconSWF","IconExportName","MainMenuIconExportName","SmallIconExportName","MatchmakingMinTrophyDelta","MatchmakingMaxTrophyDelta","MatchmakingMaxSeconds","PvpLocation","TeamVsTeamLocation","DailyDonationCapacityLimit","BattleRewardGold","ReleaseDate","SeasonRewardChest","QuestCycle","ForceQuestChestCycle"
"string","string","string","Int","string","string","boolean","boolean","boolean","int","int","int","int","int","int","int","int","int","int","string","string","string","string","int","int","int","String","String","int","int","String","String","String","String"
"TrainingCamp","TID_ARENA_TRAINING_CAMP","TID_INFO_ARENA_TRAINING_CAMP",0,"TrainingCamp","TrainingCamp","TRUE","TRUE",,0,0,,100,100,100,10,1,1,1,"sc/ui_arena.sc","arena_00","arena_00",,0,100,60,"TrainingCamp",,60,5,,,"Quests_TrainingCamp",
"Arena1","TID_ARENA1","TID_INFO_ARENA1",1,"Arena1","Arena1","TRUE",,,0,0,,100,100,100,10,1,1,1,"sc/ui_arena.sc","arena_01","arena_01",,20,100,60,"PvP_goblin","TeamVsTeam_goblin",60,5,,,"Quests_Arena1",
"Arena2","TID_ARENA2","TID_INFO_ARENA2",2,"Arena2","Arena2","TRUE",,,400,350,,135,135,130,10,2,1,1,"sc/ui_arena.sc","arena_02","arena_02",,40,100,60,"PvP_bone","TeamVsTeam_bone",60,7,,,"Quests_Arena2",
"Arena3","TID_ARENA3","TID_INFO_ARENA3",3,"Arena3","Arena3","TRUE",,,800,750,,170,170,160,10,2,1,1,"sc/ui_arena.sc","arena_03","arena_03",,40,100,60,"PvP_barbarian","TeamVsTeam_barbarian",60,9,,,"Quests_Arena3","Quest_arena3_super"
"Arena4","TID_ARENA4","TID_INFO_ARENA4",4,"Arena4","Arena4","TRUE",,,1100,1050,,200,200,180,20,4,1,1,"sc/ui_arena.sc","arena_04","arena_04",,40,100,60,"PvP_dark","TeamVsTeam_dark",120,11,,,"Quests_Arena4",
"Arena5","TID_ARENA5","TID_INFO_ARENA5",5,"Arena5","Arena5","TRUE",,,1400,1350,,230,230,200,20,4,1,1,"sc/ui_arena.sc","arena_05","arena_05",,40,100,60,"PvP_spell","TeamVsTeam_spell",120,12,,,"Quests_Arena5",
"Arena6","TID_ARENA6","TID_INFO_ARENA6",6,"Arena6","Arena6","TRUE",,,1700,1650,,260,260,220,20,4,1,1,"sc/ui_arena.sc","arena_06","arena_06",,40,100,60,"PvP_builder","TeamVsTeam_builder",120,14,,,"Quests_Arena6",
"Arena_L","TID_ARENA_L","TID_INFO_ARENA_L",10,"Arena_L","Arena_L","TRUE",,,3000,2950,,380,380,300,40,8,1,1,"sc/ui_arena.sc","arena_legendary","arena_legendary",,40,200,60,"PvP_legendary","TeamVsTeam_legendary",240,20,,,"Quests_Arena_L",
"Arena7","TID_ARENA7","TID_INFO_ARENA7",7,"Arena7","Arena7","TRUE",,,2000,1950,,290,290,240,30,6,1,1,"sc/ui_arena.sc","arena_07","arena_07",,40,100,60,"PvP_royal","TeamVsTeam_royal",180,15,,,"Quests_Arena7",
"Arena8","TID_ARENA8","TID_INFO_ARENA8",8,"Arena8","Arena8","TRUE",,,2300,2250,,320,320,260,30,6,1,1,"sc/ui_arena.sc","arena_08","arena_08",,40,100,60,"PvP_ice","TeamVsTeam_ice",200,16,,,"Quests_Arena8",
"Arena9","TID_ARENA9","TID_INFO_ARENA9",9,"Arena9","Arena9","TRUE",,,2600,2550,,350,350,280,30,6,1,1,"sc/ui_arena.sc","arena_09","arena_09",,40,100,60,"PvP_jungle","TeamVsTeam_jungle",220,18,"2017-01-13",,"Quests_Arena9",
"Arena_T","TID_ARENA_T","TID_INFO_ARENA_T",11,"Arena_T","Arena_T","TRUE",,,3800,3750,,410,410,320,40,8,1,1,"sc/ui_arena.sc","arena_champion","arena_champion",,40,200,60,"PvP_champion","TeamVsTeam_champion",260,22,,,"Quests_Arena_T",
"Arena_L1","TID_ARENA_L1","TID_INFO_ARENA_L1",12,"Arena_T","Arena_T","TRUE",,,4000,4000,4000,410,410,320,40,8,1,1,"sc/ui_arena.sc","league_badge_001","league_badge_arena_001","league_list_icon_001",40,200,60,"PvP_champion",,260,24,,"SeasonReward_L1","Quests_Arena_L",
"Arena_L2","TID_ARENA_L2","TID_INFO_ARENA_L2",13,"Arena_T","Arena_T","TRUE",,,4300,4300,4000,410,410,320,40,8,1,1,"sc/ui_arena.sc","league_badge_002","league_badge_arena_002","league_list_icon_002",40,200,60,"PvP_champion",,260,26,,"SeasonReward_L2","Quests_Arena_L",
"Arena_L3","TID_ARENA_L3","TID_INFO_ARENA_L3",14,"Arena_T","Arena_T","TRUE",,,4600,4600,4000,410,410,320,40,8,1,1,"sc/ui_arena.sc","league_badge_003","league_badge_arena_003","league_list_icon_003",40,200,60,"PvP_champion",,260,28,,"SeasonReward_L3","Quests_Arena_L",
"Arena_L4","TID_ARENA_L4","TID_INFO_ARENA_L4",15,"Arena_T","Arena_T","TRUE",,,4900,4900,4300,410,410,320,40,8,1,1,"sc/ui_arena.sc","league_badge_004","league_badge_arena_004","league_list_icon_004",40,200,60,"PvP_champion",,260,30,,"SeasonReward_L4","Quests_Arena_L",
"Arena_L5","TID_ARENA_L5","TID_INFO_ARENA_L5",16,"Arena_T","Arena_T","TRUE",,,5200,5200,4300,410,410,320,40,8,1,1,"sc/ui_arena.sc","league_badge_005","league_badge_arena_005","league_list_icon_005",40,200,60,"PvP_champion",,260,32,,"SeasonReward_L5","Quests_Arena_L",
"Arena_L6","TID_ARENA_L6","TID_INFO_ARENA_L6",17,"Arena_T","Arena_T","TRUE",,,5500,5500,4300,410,410,320,40,8,1,1,"sc/ui_arena.sc","league_badge_006","league_badge_arena_006","league_list_icon_006",40,200,60,"PvP_champion",,260,34,,"SeasonReward_L6","Quests_Arena_L",
"Arena_L7","TID_ARENA_L7","TID_INFO_ARENA_L7",18,"Arena_T","Arena_T","TRUE",,,5800,5800,4600,410,410,320,40,8,1,1,"sc/ui_arena.sc","league_badge_007","league_badge_arena_007","league_list_icon_007",40,200,60,"PvP_champion",,260,36,,"SeasonReward_L7","Quests_Arena_L",
"Arena_L8","TID_ARENA_L8","TID_INFO_ARENA_L8",19,"Arena_T","Arena_T","TRUE",,,6100,6100,4600,410,410,320,40,8,1,1,"sc/ui_arena.sc","league_badge_008","league_badge_arena_008","league_list_icon_008",40,200,60,"PvP_champion",,260,38,,"SeasonReward_L8","Quests_Arena_L",
"Arena_L9","TID_ARENA_L9","TID_INFO_ARENA_L9",20,"Arena_T","Arena_T","TRUE",,,6400,6400,4600,410,410,320,40,8,1,1,"sc/ui_arena.sc","league_badge_009","league_badge_arena_009","league_list_icon_009",40,200,60,"PvP_champion",,260,40,,"SeasonReward_L9","Quests_Arena_L",
"ArenaPvE","TID_ARENA_TRAINING_CAMP","TID_INFO_ARENA_TRAINING_CAMP",0,"TrainingCamp","TrainingCamp","FALSE","TRUE","TRUE",0,0,,100,100,100,10,1,1,1,"sc/ui_arena.sc","arena_00","arena_00",,0,100,60,"PvE_training",,,,,,"Quests_Arena_L",
"ArenaTvE","TID_ARENA_TRAINING_CAMP","TID_INFO_ARENA_TRAINING_CAMP",0,"TrainingCamp","TrainingCamp","FALSE","TRUE","TRUE",0,0,,100,100,100,10,1,1,1,"sc/ui_arena.sc","arena_00","arena_00",,0,100,60,"TvE_training",,,,,,"Quests_Arena_L",
"Arena_TouchdownTest","TID_ARENA_TOUCHDOWN","TID_INFO_ARENA_TOUCHDOWN",0,"Arena1","Arena1","FALSE",,,0,0,,290,290,240,30,1,1,1,"sc/ui_arena.sc","arena_07","arena_07",,40,100,60,"PvP_touchdown","TeamVsTeam_touchdown",180,15,,,"Quests_Arena_L",
"Arena_TEMP","TID_ARENA_L9","TID_INFO_ARENA_L9",9,"Arena_T","Arena_T","FALSE",,,3400,3350,,350,350,280,30,6,1,1,"sc/ui_arena.sc","arena_00","arena_00",,40,100,60,"PvP_champion","TeamVsTeam_champion",220,18,,,"Quests_Arena_L",
