Name,Chest,QuestThreshold,ArenaThreshold,OneTime
String,String,Int,String,boolean
MainCycle,Silver,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Magic,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Giant,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Magic,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Magic,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Giant,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Giant,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Magic,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Giant,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
,Silver,,,
,Gold,,,
,Silver,,,
Quest_earlygame_1,Gold,50,TrainingCamp,
,Magic,300,,
,Gold,50,,
,Giant,300,,
Quest_earlygame_2,Gold,50,TrainingCamp,
,Giant,300,,
,Gold,50,,
,Magic,300,,
Quest_lategame_1,Gold,50,Arena5,
,Magic,300,,
,Gold,50,,
,Giant,300,,
,Legendary,400,,
,Gold,50,,
,Giant,300,,
,Gold,50,,
,Super,500,,
,Magic,300,,
,Gold,50,,
,Epic,350,,
Quest_lategame_2,Gold,50,Arena5,
,Magic,300,,
,Gold,50,,
,Legendary,400,,
,Giant,300,,
,Gold,50,,
,Super,500,,
,Gold,50,,
,Giant,300,,
,Gold,50,,
,Epic,350,,
,Magic,300,,
Quest_lategame_3,Gold,50,Arena5,
,Magic,300,,
,Gold,50,,
,Giant,300,,
,Gold,50,,
,Super,500,,
,Gold,50,,
,Magic,300,,
,Epic,350,,
,Gold,50,,
,Legendary,400,,
,Giant,300,,
Quest_lategame_4,Gold,50,Arena5,
,Magic,300,,
,Gold,50,,
,Giant,300,,
,Legendary,400,,
,Gold,50,,
,Epic,350,,
,Gold,50,,
,Super,500,,
,Gold,50,,
,Magic,300,,
,Giant,300,,
Quest_lategame_5,Gold,50,Arena5,
,Giant,300,,
,Legendary,400,,
,Gold,50,,
,Magic,300,,
,Gold,50,,
,Super,500,,
,Gold,50,,
,Epic,350,,
,Magic,300,,
,Gold,50,,
,Giant,300,,
Quest_lategame_6,Gold,50,Arena5,
,Giant,300,,
,Gold,50,,
,Magic,300,,
,Legendary,400,,
,Gold,50,,
,Magic,300,,
,Gold,50,,
,Super,500,,
,Gold,50,,
,Epic,350,,
,Giant,300,,
Quest_lategame_7,Gold,50,Arena5,
,Giant,300,,
,Super,500,,
,Gold,50,,
,Giant,300,,
,Gold,50,,
,Magic,300,,
,Gold,50,,
,Epic,350,,
,Magic,300,,
,Gold,50,,
,Legendary,400,,
Quest_lategame_8,Gold,50,Arena5,
,Giant,300,,
,Epic,350,,
,Gold,50,,
,Super,500,,
,Gold,50,,
,Giant,300,,
,Gold,50,,
,Magic,300,,
,Legendary,400,,
,Gold,50,,
,Magic,300,,
Quest_lategame_9,Gold,50,Arena5,
,Super,500,,
,Gold,50,,
,Giant,300,,
,Gold,50,,
,Magic,300,,
,Legendary,400,,
,Gold,50,,
,Epic,350,,
,Gold,50,,
,Giant,300,,
,Magic,300,,
Quest_lategame_10,Gold,50,Arena5,
,Legendary,400,,
,Gold,50,,
,Magic,300,,
,Giant,300,,
,Gold,50,,
,Super,500,,
,Gold,50,,
,Epic,350,,
,Gold,50,,
,Magic,300,,
,Giant,300,,
Quest_arena3_super,Super,500,Arena3,TRUE
