"Name","QuestType","QuestCount","DailyChance","DailyQuestPoints","RewardType","RewardCount","RewardAmountSmall","RewardAmountLarge","QuestPointsSmall","QuestPointsLarge","RewardAmountDaily"
"string","string","int","int","int","string","int","int","int","int","int","int"
"Quests_TrainingCamp","Win",3,80,5,"Gold",6,100,200,20,20,20
,"Attack",0,,,"Gems",2,10,20,20,20,5
,"Cast",9,,,"Common",4,10,20,20,20,2
,"Collect",3,,,"Rare",3,5,10,20,20,1
,"Donate",0,,,"Epic",0,1,1,20,20,1
"Quests_Arena1","Win",3,80,5,"Gold",6,100,200,20,20,20
,"Attack",0,,,"Gems",2,10,20,20,20,5
,"Cast",9,,,"Common",4,10,20,20,20,2
,"Collect",3,,,"Rare",3,5,10,20,20,1
,"Donate",0,,,"Epic",0,1,1,20,20,1
"Quests_Arena2","Win",4,70,5,"Gold",6,130,260,20,20,30
,"Attack",0,,,"Gems",2,10,20,20,20,5
,"Cast",7,,,"Common",4,14,28,20,20,3
,"Collect",3,,,"Rare",3,6,12,20,20,2
,"Donate",1,,,"Epic",0,1,1,20,20,1
"Quests_Arena3","Win",4,60,5,"Gold",6,160,320,20,20,40
,"Attack",0,,,"Gems",2,10,20,20,20,5
,"Cast",6,,,"Common",3,18,36,20,20,4
,"Collect",3,,,"Rare",3,6,12,20,20,2
,"Donate",2,,,"Epic",1,1,2,20,20,1
"Quests_Arena4","Win",4,60,5,"Gold",6,190,380,20,20,50
,"Attack",0,,,"Gems",2,10,20,20,20,5
,"Cast",6,,,"Common",3,22,44,20,20,5
,"Collect",3,,,"Rare",3,7,14,20,20,2
,"Donate",2,,,"Epic",1,1,2,20,20,1
"Quests_Arena5","Win",5,40,5,"Gold",6,220,440,20,20,60
,"Attack",0,,,"Gems",2,10,20,20,20,5
,"Cast",7,,,"Common",3,26,52,20,20,6
,"Collect",2,,,"Rare",3,7,14,20,20,3
,"Donate",1,,,"Epic",1,1,2,20,20,1
"Quests_Arena6","Win",5,40,5,"Gold",6,250,500,20,20,70
,"Attack",0,,,"Gems",2,10,20,20,20,5
,"Cast",7,,,"Common",3,30,60,20,20,7
,"Collect",2,,,"Rare",3,8,16,20,20,3
,"Donate",1,,,"Epic",1,1,2,20,20,1
"Quests_Arena7","Win",5,40,5,"Gold",5,280,560,20,20,80
,"Attack",0,,,"Gems",2,10,20,20,20,5
,"Cast",7,,,"Common",3,34,68,20,20,8
,"Collect",2,,,"Rare",3,8,16,20,20,3
,"Donate",1,,,"Epic",2,1,2,20,20,1
"Quests_Arena8","Win",4,40,5,"Gold",5,310,620,20,20,90
,"Attack",0,,,"Gems",2,10,20,20,20,5
,"Cast",8,,,"Common",3,38,76,20,20,9
,"Collect",2,,,"Rare",3,9,18,20,20,4
,"Donate",1,,,"Epic",2,1,2,20,20,1
"Quests_Arena9","Win",4,30,5,"Gold",5,340,680,20,20,100
,"Attack",0,,,"Gems",2,10,20,20,20,5
,"Cast",8,,,"Common",3,42,84,20,20,10
,"Collect",2,,,"Rare",3,9,18,20,20,4
,"Donate",1,,,"Epic",2,1,2,20,20,1
"Quests_Arena_L","Win",4,30,5,"Gold",5,370,740,20,20,110
,"Attack",0,,,"Gems",2,10,20,20,20,5
,"Cast",8,,,"Common",3,46,92,20,20,11
,"Collect",2,,,"Rare",3,10,20,20,20,5
,"Donate",1,,,"Epic",2,1,2,20,20,1
"Quests_Arena_T","Win",4,30,5,"Gold",5,400,800,20,20,120
,"Attack",0,,,"Gems",2,10,20,20,20,5
,"Cast",8,,,"Common",3,50,100,20,20,12
,"Collect",2,,,"Rare",3,10,20,20,20,5
,"Donate",1,,,"Epic",2,1,2,20,20,1
