FileName,,,
,SC,ExportName,
,string,string,
,sc/level_pve_arena.sc,pve_base_01,
Objects,,,
,Grassland_rock1,,
,,x,y
,,int,int
,,-7500,21500
,,-12500,-5500
,,-12500,-4000
,,17500,31500
,Grassland_rock2,,
,,x,y
,,int,int
,,-19000,32500
,,25000,28000
,,-5960,20166
,,-2194,37250
,,-11000,-7000
,,24500,17000
,,32500,-10000
,,11000,-12500
,,-12000,38500
,,12000,41000
,Grassland_rock3,,
,,x,y
,,int,int
,,26000,27000
,,25131,14083
,,-11000,6500
,,7000,-13000
,WoodWall_single_2,,
,,x,y
,,int,int
,,26500,41000
,training_cliff4,,
,,x,y
,,int,int
,,3000,45500
,,-16000,18500
,,-15000,-6000
,,32000,500
,,24000,35000
,,32500,43000
,,4000,-9500
,training_tree1,,
,,x,y
,,int,int
,,-10000,31000
,,-10000,11000
,,28000,29500
,,27000,19000
,,-2500,-6000
,,-6000,37500
,,29000,13500
,,-12000,14000
,,-7500,35000
,,25000,46000
,,24000,-6000
,,-12500,7000
,,-7000,26500
,,-12000,-500
,,-10000,-3000
,,-500,40500
,,-6500,45000
,,20000,49000
,training_tree2,,
,,x,y
,,int,int
,,10500,44500
,,-9500,3000
,,32000,26500
,,19000,-10000
,,20000,-5500
,,-8000,40500
,,28500,34500
,,5000,42500
,,22000,48500
,,30000,45500
,,14500,-10000
,,28000,4500
,,27500,-6000
,,0,-5500
,,-8500,-9500
,,-4000,44000
,training_bush2,,
,,x,y
,,int,int
,,-6500,30500
,,23000,37500
,,-4000,-8500
,,1500,-12500
,,23000,-4500
,,-2000,-11000
,,1000,42000
,,18500,-7500
,training_cliff7,,
,,x,y
,,int,int
,,-8000,12000
,training_bush1,,
,,x,y
,,int,int
,,26000,36000
,,-13500,16500
,tree_group01,,
,,x,y
,,int,int
,,-17000,2000
,,-11500,22500
,,27000,-1000
,,15000,46000
,,30500,22000
,,-1500,47500
,training_tree3,,
,,x,y
,,int,int
,,-10000,45000
,,12500,-7000
,pve_balloon_01,,
,,x,y
,,int,int
,,19500,7500
,,-8000,4500
,pve_balloon_02,,
,,x,y
,,int,int
,,19500,22000
,,-3000,27000
,pve_barrel_01,,
,,x,y
,,int,int
,,21500,15500
,pve_barrel_02,,
,,x,y
,,int,int
,,-9000,6000
,,-7434,6882
,,7000,36500
,pve_bench_01,,
,,x,y
,,int,int
,,19833,6583
,,21366,6625
,,19833,11500
,,19800,20459
,,-3500,11000
,,-1500,6000
,,-3500,6000
,,-1500,11000
,,-1500,26000
,,21367,11458
,,-1500,21000
,,-3000,21000
,,-3000,26000
,,21267,20500
,,19833,25875
,,21233,25834
,pve_cannonballs_01,,
,,x,y
,,int,int
,,19554,15027
,pve_cottoncandy_01,,
,,x,y
,,int,int
,,23500,23500
,pve_fence_02,,
,,x,y
,,int,int
,,9500,16000
,pve_hay_01,,
,,x,y
,,int,int
,,-3000,14500
,pve_instruments_01,,
,,x,y
,,int,int
,,23500,8500
,pve_juggle_01,,
,,x,y
,,int,int
,,-5500,8500
,pve_keg_01,,
,,x,y
,,int,int
,,-6000,4000
,,19000,37000
,pve_pony_01,,
,,x,y
,,int,int
,,-1500,17500
,pve_postflags_01,,
,,x,y
,,int,int
,,9059,-2500
,,9140,33228
,pve_pot_01,,
,,x,y
,,int,int
,,23642,4910
,pve_stall_01,,
,,x,y
,,int,int
,,-2826,-732
,pve_stall_02,,
,,x,y
,,int,int
,,20203,-814
,pve_tent_01,,
,,x,y
,,int,int
,,3054,-3386
,,15047,-3403
,,15096,33254
,,3297,33123
,pve_weapon_01,,
,,x,y
,,int,int
,,22000,18500
,pve_weapon_02,,
,,x,y
,,int,int
,,-4000,29500
,pve_weapon_03,,
,,x,y
,,int,int
,,20500,16500
,pve_stall_03,,
,,x,y
,,int,int
,,21000,31500
,pve_stall_04,,
,,x,y
,,int,int
,,-2000,32500
,deco_floatingcard_01,,
,,x,y
,,int,int
,,-6000,15000
Background,,,
