"Name","Enabled","Description","SortOrder","HasEvenSpaceCharacters","UsedSystemFont","HelpshiftSDKLanguage","HelpshiftSDKLanguageAndroid","HelpshiftLanguageTag","TermsAndServiceUrl","TournamentTermsUrl","ParentsGuideUrl","PrivacyPolicyUrl","TestLanguage","TestExcludes","RegionListFile","MaintenanceRoyalBox","RoyalBoxURL","RoyalBoxStageURL","RoyalBoxDevURL","BoomBoxURL","EventsBaseURL","EventsPostURL","EventsBaseStageURL","EventsPostStageURL","HelpshiftURL"
"String","boolean","string","int","boolean","string","string","string","string","string","string","string","string","boolean","string","string","boolean","string","string","string","string","string","string","string","string","string"
"EN","TRUE",,1,,,"en",,"EN","http://supercell.com/en/terms-of-service/","http://supercell.com/en/community-tournament-guidelines/","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/",,,,"TRUE","https://inbox.clashroyale.com/","https://inbox-staging.clashroyale.com/","https://ducn7cprpa5c7.cloudfront.net/","https://inbox.boombeach.com/","https://www.clashnights.com/","https://m8gq5spzs7.execute-api.us-east-1.amazonaws.com/prod/","http://staging.clashnights.com.s3-website.eu-central-1.amazonaws.com/","https://v4zl51s3h3.execute-api.eu-central-1.amazonaws.com/stag/","https://supercell.helpshift.com/a/clash-royale/?l=en"
"FR","TRUE",,5,,,"fr",,"FR","http://supercell.com/en/terms-of-service/fr","http://supercell.com/en/community-tournament-guidelines/fr","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/fr",,,,,"https://inbox.clashroyale.com/fr/","https://inbox-staging.clashroyale.com/fr/","http://scroll-staging.s3-website-us-east-1.amazonaws.com/fr/blog","https://inbox.boombeach.com/fr/","https://www.clashnights.com/","https://m8gq5spzs7.execute-api.us-east-1.amazonaws.com/prod/","http://staging.clashnights.com.s3-website.eu-central-1.amazonaws.com/","https://v4zl51s3h3.execute-api.eu-central-1.amazonaws.com/stag/","https://supercell.helpshift.com/a/clash-royale/?l=fr"
"DE","TRUE",,6,,,"de",,"DE","http://supercell.com/en/terms-of-service/de","http://supercell.com/en/community-tournament-guidelines/de","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/de",,,,,"https://inbox.clashroyale.com/de/","https://inbox-staging.clashroyale.com/de/","http://scroll-staging.s3-website-us-east-1.amazonaws.com/de/blog","https://inbox.boombeach.com/de/","https://www.clashnights.com/","https://m8gq5spzs7.execute-api.us-east-1.amazonaws.com/prod/","http://staging.clashnights.com.s3-website.eu-central-1.amazonaws.com/","https://v4zl51s3h3.execute-api.eu-central-1.amazonaws.com/stag/","https://supercell.helpshift.com/a/clash-royale/?l=de"
"ES","TRUE",,7,,,"es",,"ES","http://supercell.com/en/terms-of-service/es","http://supercell.com/en/community-tournament-guidelines/es","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/es",,,,,"https://inbox.clashroyale.com/es/","https://inbox-staging.clashroyale.com/es/","http://scroll-staging.s3-website-us-east-1.amazonaws.com/es/blog","https://inbox.boombeach.com/es/","https://www.clashnights.com/","https://m8gq5spzs7.execute-api.us-east-1.amazonaws.com/prod/","http://staging.clashnights.com.s3-website.eu-central-1.amazonaws.com/","https://v4zl51s3h3.execute-api.eu-central-1.amazonaws.com/stag/","https://supercell.helpshift.com/a/clash-royale/?l=es"
"IT","TRUE",,8,,,"it",,"IT","http://supercell.com/en/terms-of-service/it","http://supercell.com/en/community-tournament-guidelines/it","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/it",,,,,"https://inbox.clashroyale.com/it/","https://inbox-staging.clashroyale.com/it/","http://scroll-staging.s3-website-us-east-1.amazonaws.com/it/blog","https://inbox.boombeach.com/it/","https://www.clashnights.com/","https://m8gq5spzs7.execute-api.us-east-1.amazonaws.com/prod/","http://staging.clashnights.com.s3-website.eu-central-1.amazonaws.com/","https://v4zl51s3h3.execute-api.eu-central-1.amazonaws.com/stag/","https://supercell.helpshift.com/a/clash-royale/?l=it"
"NL","TRUE",,9,,,"nl",,"NL","http://supercell.com/en/terms-of-service/","http://supercell.com/en/community-tournament-guidelines/","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/",,,,,"https://clashroyale.com/nl/blog","https://inbox-staging.clashroyale.com/nl/","http://scroll-staging.s3-website-us-east-1.amazonaws.com/nl/blog","https://inbox.boombeach.com/nl/","https://www.clashnights.com/","https://m8gq5spzs7.execute-api.us-east-1.amazonaws.com/prod/","http://staging.clashnights.com.s3-website.eu-central-1.amazonaws.com/","https://v4zl51s3h3.execute-api.eu-central-1.amazonaws.com/stag/","https://supercell.helpshift.com/a/clash-royale/?l=nl"
"NO","TRUE",,10,,,,,"NO","http://supercell.com/en/terms-of-service/","http://supercell.com/en/community-tournament-guidelines/","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/",,,,,"https://clashroyale.com/no/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/no/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/no/blog","https://inbox.boombeach.com/no/","https://www.clashnights.com/","https://m8gq5spzs7.execute-api.us-east-1.amazonaws.com/prod/","http://staging.clashnights.com.s3-website.eu-central-1.amazonaws.com/","https://v4zl51s3h3.execute-api.eu-central-1.amazonaws.com/stag/","https://supercell.helpshift.com/a/clash-royale/?l=no"
"PT","TRUE",,11,,,"pt","pt_Br","PT","http://supercell.com/en/terms-of-service/pt","http://supercell.com/en/community-tournament-guidelines/pt","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/pt",,,,,"https://inbox.clashroyale.com/pt/","https://inbox-staging.clashroyale.com/pt/","http://scroll-staging.s3-website-us-east-1.amazonaws.com/pt/blog","https://inbox.boombeach.com/pt/","https://www.clashnights.com/","https://m8gq5spzs7.execute-api.us-east-1.amazonaws.com/prod/","http://staging.clashnights.com.s3-website.eu-central-1.amazonaws.com/","https://v4zl51s3h3.execute-api.eu-central-1.amazonaws.com/stag/","https://supercell.helpshift.com/a/clash-royale/?l=pt"
"TR","TRUE",,12,,,"tr",,"TR","http://supercell.com/en/terms-of-service/tr","http://supercell.com/en/community-tournament-guidelines/tr","http://www.supercell.com/en/parents/","http://www.supercell.com/en/privacy-policy/tr",,,,,"https://clashroyale.com/tr/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/tr/blog","http://scroll-staging.s3-website-us-east-1.amazonaws.com/tr/blog","https://inbox.boombeach.com/tr/","https://www.clashnights.com/","https://m8gq5spzs7.execute-api.us-east-1.amazonaws.com/prod/","http://staging.clashnights.com.s3-website.eu-central-1.amazonaws.com/","https://v4zl51s3h3.execute-api.eu-central-1.amazonaws.com/stag/","https://supercell.helpshift.com/a/clash-royale/?l=tr"
