Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
,32,32,32,32,,,,,,,,,32,32,32,32,32,32,32,32,32,32,32,32,,,,,,,,,32,32,32,32
,32,32,32,32,,,,,,,,,32,32,32,32,32,32,32,32,32,32,32,32,,,,,,,,,32,32,32,32
,32,32,32,32,,,,,,,,,32,32,32,32,32,32,32,32,32,32,32,32,,,,,,,,,32,32,32,32
,32,32,32,32,,,,,,,,,32,32,32,32,32,32,32,32,32,32,32,32,,,,,,,,,32,32,32,32
,32,32,32,32,,,,,,,,,32,32,32,32,32,32,32,32,32,32,32,32,,,,,,,,,32,32,32,32
,32,32,32,32,,,,,,,,,32,32,32,32,32,32,32,32,32,32,32,32,,,,,,,,,32,32,32,32
,32,32,32,32,,,,,,,,,32,32,32,32,32,32,32,32,32,32,32,32,,,,,,,,,32,32,32,32
,32,32,32,32,,,,,,,,,32,32,32,32,32,32,32,32,32,32,32,32,,,,,,,,,32,32,32,32
,32,32,32,32,32,32,,,,,,,32,32,32,32,32,32,32,32,32,32,32,32,,,,,,,32,32,32,32,32,32
,32,32,32,32,32,32,,,,,,,32,32,32,32,32,32,32,32,32,32,32,32,,,,,,,32,32,32,32,32,32
,32,32,32,32,32,32,,,,,,,32,32,32,32,32,32,32,32,32,32,32,32,,,,,,,32,32,32,32,32,32
,32,32,32,32,32,32,,,,,,,32,32,32,32,32,32,32,32,32,32,32,32,,,,,,,32,32,32,32,32,32
,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32
,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32
,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32
,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32
,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32
,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32
,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32
,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32
,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32
,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32
,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32
,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32
,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32
,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32
,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32
,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32
,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32
,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32
,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32
,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32
,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32
,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32
,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32
,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32
,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32
,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32
,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32
,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32
,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32
,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32
,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32
,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32
,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32
,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32
,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32
,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32
,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32
,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32
,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32
,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32
,32,32,32,32,32,32,,,,,,,32,32,32,32,32,32,32,32,32,32,32,32,,,,,,,32,32,32,32,32,32
,32,32,32,32,32,32,,,,,,,32,32,32,32,32,32,32,32,32,32,32,32,,,,,,,32,32,32,32,32,32
,32,32,32,32,32,32,,,,,,,32,32,32,32,32,32,32,32,32,32,32,32,,,,,,,32,32,32,32,32,32
,32,32,32,32,32,32,,,,,,,32,32,32,32,32,32,32,32,32,32,32,32,,,,,,,32,32,32,32,32,32
,32,32,32,32,,,,,,,,,32,32,32,32,32,32,32,32,32,32,32,32,,,,,,,,,32,32,32,32
,32,32,32,32,,,,,,,,,32,32,32,32,32,32,32,32,32,32,32,32,,,,,,,,,32,32,32,32
,32,32,32,32,,,,,,,,,32,32,32,32,32,32,32,32,32,32,32,32,,,,,,,,,32,32,32,32
,32,32,32,32,,,,,,,,,32,32,32,32,32,32,32,32,32,32,32,32,,,,,,,,,32,32,32,32
,32,32,32,32,,,,,,,,,32,32,32,32,32,32,32,32,32,32,32,32,,,,,,,,,32,32,32,32
,32,32,32,32,,,,,,,,,32,32,32,32,32,32,32,32,32,32,32,32,,,,,,,,,32,32,32,32
,32,32,32,32,,,,,,,,,32,32,32,32,32,32,32,32,32,32,32,32,,,,,,,,,32,32,32,32
,32,32,32,32,,,,,,,,,32,32,32,32,32,32,32,32,32,32,32,32,,,,,,,,,32,32,32,32
Layout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DummyKingTower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,x,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,int,int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
