"Name","Rarity","TID","IconFileName","IconExportName","NoEffectToCrownTowers","CrownTowerDamagePercent","DamagePerSecond","HitFrequency","DamageReduction","HealPerSecond","HitSpeedMultiplier","SpeedMultiplier","SpawnSpeedMultiplier","Invisible","RemoveOnAttack","RemoveOnHeal","DamageMultiplier","Effect","FilterFile","FilterExportName","FilterAffectsTransformation","FilterInheritLifeDuration","IgnorePushBack","MarkEffect","AudioPitchModifier","Portal","AttractPercentage","ControlledByParent","Clone","Scale","EnableStacking","ChainedBuff","ChainedBuffTime","ContinuousEffect","Charge","SpawnStartTime","SpawnNumber","SpawnInterval","SpawnPauseTime","SpawnObject","SpawnLimit","SpawnLevelIndex","HitpointMultiplier","HeroTarget","Shield","Jump","Projectile","ProjectileEffect"
"String","String","String","String","String","Boolean","int","int","int","int","int","int","int","int","Boolean","Boolean","Boolean","int","String","String","String","boolean","boolean","boolean","String","int","boolean","int","boolean","boolean","int","boolean","string","int","string","boolean","int","int","int","int","string","int","int","int","boolean","boolean","boolean","String","String"
"Rage","Epic","TID_SPELL_RAGE",,,,,,,,,135,135,135,,,,,"Spell_rage_hit_effect","sc/effects.sc","filter_rage",,,,"Healing",125,,,,,,,,,,,,,,,,,,,,,,,
"Freeze","Epic","TID_SPELL_FREEZE",,,,,,,,,-100,-100,-100,,,,,,"sc/effects.sc","filter_cold",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Poison","Epic","TID_SPELL_POISON",,,,-65,57,1000,,,,,,,,,,"PoisonSteam","sc/effects.sc","filter_poison",,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"IceWizardSlowDown","Legendary",,,,,,,,,,-35,-35,-35,,,,,,"sc/effects.sc","filter_cold",,,,"Healing",75,,,,,,,,,,,,,,,,,,,,,,,
"ZapFreeze","Common","TID_SPELL_ZAP_FREEZE",,,,,,,,,-100,-100,-100,,,,,,"sc/effects.sc","filter_cold",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tornado","Epic","TID_SPELL_TORNADO",,,,-100,53,500,,,,,,,,,,,"sc/effects.sc","filter_poison",,,,"Healing",,,220,"true",,,"TRUE",,,,,,,,,,,,,,,,,
"Clone","Epic","TID_SPELL_CLONE",,,,,,,,,-100,-100,-100,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,
"Heal","Rare",,,,,,,500,,100,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,
"Stun","Legendary",,,,,,,,,,-100,-100,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Invisibility","Legendary",,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,"ghost_aura",,,,,,,,,,,,,,
