"Name","RequiredSets","OptionalSets"
"String","String","String"
"Draft_v1","Draft_AllRandom","Draft_TankUnit"
,"Draft_DamageSpell","Draft_3costUnit"
,"Draft_AntiAir","Draft_4costUnit"
,"Draft_AntiAir2","Draft_5costUnit"
,"Draft_MainAttack","Draft_Aggressive"
,,"Draft_Buildings"
,,"Draft_CheapDudes"
,,"Draft_CoolStuff"
,,"Draft_Legendary"
,,"Draft_CheapCards"
"TEST_Draft_balance_test","TEST_Draft_All_live_cards","Draft_TankUnit"
,"Draft_DamageSpell","Draft_3costUnit"
,"Draft_AntiAir","Draft_4costUnit"
,"Draft_AntiAir2","Draft_5costUnit"
,"Draft_MainAttack","Draft_Aggressive"
,,"Draft_Buildings"
,,"Draft_CheapDudes"
,,"Draft_CoolStuff"
,,"Draft_Legendary"
,,"Draft_CheapCards"
"TEST_Draft_new_cards_test","TEST_Draft_New_cards","Draft_TankUnit"
,"Draft_DamageSpell","Draft_3costUnit"
,"Draft_AntiAir","Draft_4costUnit"
,"Draft_AntiAir2","Draft_5costUnit"
,"Draft_MainAttack","Draft_Aggressive"
,,"Draft_Buildings"
,,"Draft_CheapDudes"
,,"Draft_CoolStuff"
,,"Draft_Legendary"
,,"Draft_CheapCards"
"TEST_Draft_new_cards_daily_test","TEST_Draft_New_cards_daily","Draft_TankUnit"
,"Draft_DamageSpell","Draft_3costUnit"
,"Draft_AntiAir","Draft_4costUnit"
,"Draft_AntiAir2","Draft_5costUnit"
,"Draft_MainAttack","Draft_Aggressive"
,,"Draft_Buildings"
,,"Draft_CheapDudes"
,,"Draft_CoolStuff"
,,"Draft_Legendary"
,,"Draft_CheapCards"
"Draft_Touchdown_v1","Draft_TD_MainAttack","Draft_TD_3costUnit"
,"Draft_TD_DamageSpells","Draft_TD_4costUnit"
,"Draft_TD_AntiAir1","Draft_TD_5costUnit"
,"Draft_TD_AntiAir1","Draft_TD_CheapDudes"
,"Draft_TD_Buildings","Draft_TD_Funky"
"Draft_H_v1","Draft_H_any",
,"Draft_H_any",
,"Draft_H_any",
,"Draft_H_any",
,"Draft_H_any",
,"Draft_H_any",
,"Draft_H_any",
,"Draft_H_any",
"Draft_v1_dec_card_release","Draft_DecNewCards","Draft_TankUnit"
,"Draft_AllRandom","Draft_3costUnit"
,"Draft_DamageSpell","Draft_4costUnit"
,"Draft_AntiAir","Draft_5costUnit"
,"Draft_AntiAir2","Draft_Aggressive"
,"Draft_MainAttack","Draft_Buildings"
,,"Draft_CheapDudes"
,,"Draft_CoolStuff"
,,"Draft_Legendary"
,,"Draft_CheapCards"
"Draft_RH_Alt_v1","Draft_RH_TankUnit","Draft_RH_Investment"
,"Draft_RH_AntiAir","Draft_RH_Punish"
,"Draft_RH_CycleUnder3","Draft_RH_HitTower"
,"Draft_RH_DirectDamage","Draft_RH_CombatTricks"
,,"Draft_RH_VersatileLegs"
,,"Draft_RH_TankSupport"
,,"Draft_RH_AntiTank"
,,"Draft_RH_Distractions"
,,"Draft_RH_Splash"
,,"Draft_RH_AllRandom"
,,"Draft_RH_MiniTank"
,,"Draft_RH_WinCons"
,,"Draft_RH_Basic3s"
