"Name","Rarity","Speed","FileName","ExportName","RedExportName","ShadowExportName","RedShadowExportName","ShadowDisableRotate","Scale","Homing","HomingTime","HomingMinDistance","HitEffect","HitEffectAtProjectile","DeathEffect","Damage","CrownTowerDamagePercent","Pushback","PushbackAll","Radius","RadiusY","AoeToAir","AoeToGround","OnlyEnemies","OnlyOwnTroops","MaximumTargets","Gravity","SpawnAreaEffectObject","SpawnCharacterLevelIndex","SpawnCharacterDeployTime","SpawnDeployBaseAnim","SpawnCharacter","SpawnConstPriority","SpawnCharacterCount","TargetBuff","BuffTime","BuffTimeIncreasePerLevel","TrailEffect","ProjectileRadius","ProjectileRadiusY","ProjectileStartExtraRadius","ProjectileRange","use360Frames","HitSoundWhenParentAlive","SpawnProjectile","MinDistance","MaxDistance","ConstantHeight","HeightFromTargetRadius","Heal","CrownTowerHealPercent","TargetToEdge","ChainedHitRadius","ChainedHitCount","ChainedHitEndEffect","PingpongDeathEffect","ShakesTargets","ShakesShooter","PingpongVisualTime","RandomAngle","RandomDistance","RandomOffset","Scatter","DragBackSpeed","DragMargin","TargettedEffect","DamagingDistance","VariableDamage","VariableDamageDistance","VariableDamageHitEffect","CheckCollisions","RandomDelay"
"string","String","int","string","string","string","string","string","boolean","int","boolean","int","int","string","boolean","String","int","int","int","boolean","int","int","boolean","boolean","boolean","boolean","int","int","string","int","int","string","string","boolean","int","string","int","int","string","int","int","int","int","boolean","String","String","int","int","int","boolean","int","int","boolean","int","int","String","String","boolean","int","int","int","int","int","string","int","int","String","int","int","int","String","boolean","int"
"FireballSpell","Rare",600,"sc/effects.sc","fireball_projectile1",,"projectile_arrow_shadow",,,,,,,"Fireball_explosion",,,325,-65,1800,,2500,,"true","true","true",,,50,,,,,,,,,,,"FireballEmitter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KingProjectile","Common",1000,"sc/effects.sc","projectile_cannonball_small",,,,,,"true",,,"cannon_hit",,,50,,,,,,,,"true",,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ArcherArrow","Common",600,"sc/effects.sc","projectile_arrow_basic_enemy",,"projectile_arrow_shadow",,,,"true",,,"ArrowHit",,,41,,,,,,,,"true",,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TowerPrincessProjectile","Common",600,"sc/effects.sc","projectile_arrow_basic_enemy",,"projectile_arrow_shadow",,,,"true",,,"ArrowHit",,,50,,,,,,,,"true",,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ArrowsSpell","Common",800,"sc/effects.sc","projectile_arrow_basic_enemy",,"projectile_arrow_shadow",,,,"true",,,"ArrowHitGround",,,115,-65,,,4000,,"true","true","true",,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ArrowsSpellDeco","Common",800,"sc/effects.sc","projectile_arrow_basic_enemy",,"projectile_arrow_shadow",,,,"true",,,"ArrowHitGround",,,,,,,,,"true","true","true",,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TowerCannonball","Common",1000,"sc/effects.sc","projectile_cannonball_large",,"projectile_arrow_shadow",,,,"true",,,"cannon_hit",,,60,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MinionSpit","Common",1000,"sc/effects.sc","projectile_cannonball_small",,"projectile_arrow_shadow",,,,"true",,,"ArrowHit",,,40,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MortarProjectile","Common",300,"sc/effects.sc","catapult_projectile1",,"projectile_arrow_shadow",,,,,,,"mortar_hit",,,108,,,,2000,,,"true","true",,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WitchProjectile","Epic",600,"sc/effects.sc","Tower_projectile1",,,,,,"true",,,"WizardProjectileHit",,,52,,,,1100,,"true","true","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BombSkeletonProjectile","Common",400,"sc/effects.sc","projectile_bomb",,"projectile_arrow_shadow",,,,,,,"BombTower_projectile_hit",,,128,,,,1500,,,"true","true",,,200,,,,,,,,,,,"BomberBomb_fire_emitter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BombTowerProjectile","Rare",500,"sc/effects.sc","projectile_bomb",,"projectile_arrow_shadow",,,,,,,"BombTower_projectile_hit",,,100,,,,1500,,,"true","true",,,200,,,,,,,,,,,"BomberBomb_fire_emitter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RocketSpell","Rare",350,"sc/effects.sc","projectile_rocket",,"projectile_shadow_rocket",,,,,,,"Rocket_explosion",,,700,-65,1800,,2000,,"true","true","true",,,50,,,,,,,,,,,"Rocket_Emitter",,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GoblinBarrelSpell","Epic",400,"sc/spell_goblin_barrel.sc","spell_goblin_barrel_projectile",,"Barrel_shadow",,,,,,,"goblin_barrel_explosion",,,,,,,1500,,,"true","true",,,40,,5,1200,,"Goblin","TRUE",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MusketeerProjectile","Rare",1000,"sc/effects.sc","projectile_cannonball_small",,"projectile_arrow_shadow",,,,"true",,,"cannon_hit",,,100,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BabyDragonProjectile","Epic",500,"sc/effects.sc","dragon_projectile",,"projectile_arrow_shadow",,,,"true",,,"dragon_hit",,,100,,,,1200,,"true","true","true",,,250,,,,,,,,,,,"Dragon_Emitter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"chr_wizardProjectile","Rare",600,"sc/effects.sc","fireball_small",,,,,,"true",,,"chr_wizard_projectile_hit",,,130,,,,1200,,"true","true","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"xbow_projectile","Epic",1400,"sc/effects.sc","projectile_arrow_basic",,"projectile_arrow_shadow",,,,"true",,,"ArrowHit",,,20,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LighningSpell","Epic",500,,,,,,,,,,,"Spell_lightning_effect",,,630,-65,,,,,,,"true",,,,,,,,,,,"ZapFreeze",500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SpearGoblinProjectile","Common",500,"sc/effects.sc","projectile_spear_360",,"projectile_arrow_shadow",,,,"true",,,"spear_goblin_projectile_hit",,,24,,,,,,,,"true",,,150,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ice_wizardProjectile","Legendary",700,"sc/effects.sc","ice_wizard_projectile",,,,,,"true",,,"ice_wizard_hit",,,69,,,,1000,,"true","true","true",,,50,,,,,,,,"IceWizardSlowDown",2000,,"ice_wiz_emitter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
