"Name","Category","TID","Rarity","Disabled","Resource","Cost","Count","CycleDuration","CycleDeadzoneStart","CycleDeadzoneEnd","TopSection","SpecialOffer","DurationSecs","AvailabilitySecs","SyncToShopCycle","Chest","TrophyLimit","IAP","StarterPack_Chest","StarterPack_Gold","ValueMultiplier","AppendArenaToChestName","TiedToArenaUnlock","RepeatPurchaseGemPackOverride","EventName","CostAdjustBasedOnChestContents","IsChronosOffer"
"String","String","String","String","boolean","String","int","int","int","int","int","boolean","boolean","int","int","boolean","String","int","String","String","int","int","boolean","String","String","String","boolean","boolean"
"SecretLegendary","SecretLegendary","TID_SHOP_SECRET_LEGENDARY",,,"Diamonds",500,,21,7,,,"TRUE",,,,"Legendary",1400,,,,,,,,,,
"SecretEpic","SecretEpic","TID_SHOP_SECRET_EPIC",,,"Gold",10000,,14,,3,,"TRUE",,,,"Epic",1000,,,,,"TRUE",,,,"TRUE",
"Spell","Spell",,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,
"Chest","Chest",,,,,,,,,,,,,,,,,,,,,,,,,,
"ResourceGold","Gold",,,,,,,,,,,,,,,,,,,,,,,,,,
"ResourceDiamond","Diamond",,,,,,,,,,,,,,,,,,,,,,,,,,
"REMOVED9","NOTINUSE",,,,,,,,,,,,,,,,,,,,,,,,,,
"REMOVED10","NOTINUSE",,,,,,,,,,,,,,,,,,,,,,,,,,
"REMOVED11","NOTINUSE",,,,,,,,,,,,,,,,,,,,,,,,,,
"StarterPackArena3","StarterPack","TID_SHOP_STARTER_PACK_ARENA_3",,,"IAP",,,14,5,5,,"TRUE",,,,,800,"com.supercell.scroll.consumablestarterpack0","Shop_Small_1_Arena3",2000,4,,,,,,
"StarterPackArena4","StarterPack","TID_SHOP_STARTER_PACK_ARENA_4",,,"IAP",,,14,5,5,,"TRUE",,,,,1100,"com.supercell.scroll.consumablestarterpack1","Shop_Small_1_Arena4",2000,4,,,,,,
"StarterPackArena5","StarterPack","TID_SHOP_STARTER_PACK_ARENA_5",,,"IAP",,,14,5,5,,"TRUE",,,,,1400,"com.supercell.scroll.consumablestarterpack2","Shop_Large_Arena5",5000,4,,,,,,
"StarterPackArena6","StarterPack","TID_SHOP_STARTER_PACK_ARENA_6",,,"IAP",,,14,5,5,,"TRUE",,,,,1700,"com.supercell.scroll.consumablestarterpack3","Shop_Large_Arena6",5000,4,,,,,,
"StarterPackArena7","StarterPack","TID_SHOP_STARTER_PACK_ARENA_7",,,"IAP",,,14,5,5,,"TRUE",,,,,2000,"com.supercell.scroll.consumablestarterpack4","Shop_Large_Legendary_Arena7",50000,4,,,,,,
"StarterPackArena8","StarterPack","TID_SHOP_STARTER_PACK_ARENA_8",,,"IAP",,,14,5,5,,"TRUE",,,,,2300,"com.supercell.scroll.consumablestarterpack5","Shop_Large_Legendary_Arena8",50000,4,,,,,,
"StarterPackArenaL","StarterPack","TID_SHOP_STARTER_PACK_ARENA_L",,,"IAP",,,14,5,5,,"TRUE",,,,,3000,"com.supercell.scroll.consumablestarterpack6","Shop_Large_Legendary_Arena_L",50000,4,,,,,,
"REMOVED21","NOTINUSE",,,,,,,,,,,,,,,,,"com.supercell.scroll.red","com.supercell.scroll.gempack0",,,,,,,,
"REMOVED16","NOTINUSE",,,,,,,,,,,,,,,,,,,,,,,,,,
"REMOVED17","NOTINUSE",,,,,,,,,,,,,,,,,,,,,,,,,,
"REMOVED18","NOTINUSE",,,,,,,,,,,,,,,,,,,,,,,,,,
"REMOVED1","NOTINUSE",,,,,,,,,,,,,,,,,,,,,,,,,,
"REMOVED2","NOTINUSE",,,,,,,,,,,,,,,,,,,,,,,,,,
"REMOVED3","NOTINUSE",,,,,,,,,,,,,,,,,,,,,,,,,,
"REMOVED4","NOTINUSE",,,,,,,,,,,,,,,,,,,,,,,,,,
"REMOVED5","NOTINUSE",,,,,,,,,,,,,,,,,,,,,,,,,,
"REMOVED6","NOTINUSE",,,,,,,,,,,,,,,,,,,,,,,,,,
"REMOVED7","NOTINUSE",,,,,,,,,,,,,,,,,,,,,,,,,,
"REMOVED8","NOTINUSE",,,,,,,,,,,,,,,,,,,,,,,,,,
"StarterPackArena9","StarterPack","TID_SHOP_STARTER_PACK_ARENA_9",,,"IAP",,,14,5,5,,"TRUE",,,,,2600,"com.supercell.scroll.consumablestarterpack7","Shop_Large_Legendary_Arena9",50000,4,,"Arena9",,,,
"REMOVED19","NOTINUSE",,,,,,,,,,,,,,,,,,,,,,,,,,
"REMOVED20","NOTINUSE",,,,,,,,,,,,,,,,,,,,,,,,,,
"REMOVED12","NOTINUSE",,,,,,,,,,,,,,,,,,,,,,,,,,
"REMOVED13","NOTINUSE",,,,,,,,,,,,,,,,,,,,,,,,,,
"REMOVED14","NOTINUSE",,,,,,,,,,,,,,,,,,,,,,,,,,
"REMOVED15","NOTINUSE",,,,,,,,,,,,,,,,,,,,,,,,,,
"ChronosOffer_1","Chronos","TID_SPECIAL_OFFER_1",,,,,,,,,,,,,,,,"com.supercell.scroll.specialoffertier1",,,,,,,,,"TRUE"
"ChronosOffer_2","Chronos","TID_SPECIAL_OFFER_2",,,,,,,,,,,,,,,,"com.supercell.scroll.specialoffertier2",,,,,,,,,"TRUE"
"ChronosOffer_3","Chronos","TID_SPECIAL_OFFER_3",,,,,,,,,,,,,,,,"com.supercell.scroll.specialoffertier3",,,,,,,,,"TRUE"
"ChronosOffer_4","Chronos","TID_SPECIAL_OFFER_4",,,,,,,,,,,,,,,,"com.supercell.scroll.specialoffertier4",,,,,,,,,"TRUE"
"ChronosOffer_5","Chronos","TID_SPECIAL_OFFER_5",,,,,,,,,,,,,,,,"com.supercell.scroll.specialoffertier5",,,,,,,,,"TRUE"
"ChronosOffer_6","Chronos","TID_SPECIAL_OFFER_6",,,,,,,,,,,,,,,,"com.supercell.scroll.specialoffertier6",,,,,,,,,"TRUE"
"ChronosOffer_7","Chronos","TID_SPECIAL_OFFER_7",,,,,,,,,,,,,,,,"com.supercell.scroll.specialoffertier7",,,,,,,,,"TRUE"
"ChronosOffer_8","Chronos","TID_SPECIAL_OFFER_8",,,,,,,,,,,,,,,,"com.supercell.scroll.specialoffertier8",,,,,,,,,"TRUE"
"ChronosOffer_9","Chronos","TID_SPECIAL_OFFER_9",,,,,,,,,,,,,,,,"com.supercell.scroll.specialoffertier9",,,,,,,,,"TRUE"
"ChronosOffer_10","Chronos","TID_SPECIAL_OFFER_10",,,,,,,,,,,,,,,,"com.supercell.scroll.specialoffertier10",,,,,,,,,"TRUE"
"ChronosOffer_15","Chronos","TID_SPECIAL_OFFER_15",,,,,,,,,,,,,,,,"com.supercell.scroll.specialoffertier15",,,,,,,,,"TRUE"
"ChronosOffer_20","Chronos","TID_SPECIAL_OFFER_20",,,,,,,,,,,,,,,,"com.supercell.scroll.specialoffertier20",,,,,,,,,"TRUE"
"ChronosOffer_50","Chronos","TID_SPECIAL_OFFER_50",,,,,,,,,,,,,,,,"com.supercell.scroll.specialoffertier50",,,,,,,,,"TRUE"
"ChronosOffer_60","Chronos","TID_SPECIAL_OFFER_60",,,,,,,,,,,,,,,,"com.supercell.scroll.specialoffertier60",,,,,,,,,"TRUE"
"StarterPackArenaT","StarterPack","TID_SHOP_STARTER_PACK_ARENA_T",,,"IAP",,,14,5,5,,"TRUE",,,,,3800,"com.supercell.scroll.consumablestarterpack8","Draft_StarterPack_T",100000,4,,,"com.supercell.scroll.gempack2",,,
"StarterPackArena1","StarterPack","TID_SHOP_STARTER_PACK_ARENA_1",,"TRUE","IAP",,,14,5,5,,"TRUE",,,,,100,"com.supercell.scroll.consumablestarterpack9","Shop_Small_1_Arena1",2000,4,,,,,,
"StarterPackArena2","StarterPack","TID_SHOP_STARTER_PACK_ARENA_2",,,"IAP",,,14,5,5,,"TRUE",,,,,400,"com.supercell.scroll.consumablestarterpack10","Shop_Small_1_Arena2",2000,4,,,,,,
"StarterPackArenaE","StarterPack","TID_SHOP_STARTER_PACK_ARENA_E",,,"IAP",,,14,5,5,,"TRUE",,,,,3400,"com.supercell.scroll.consumablestarterpack11","Shop_Large_Legendary_Arena_Electric",50000,4,,,,,,
