"Name","IconSWF","IconFile","UnlockArena","UnlockLevel","Rarity","ManaCost","ManaCostFromSummonerMana","NotInUse","Mirror","CustomDeployTime","SummonCharacter","SummonNumber","SummonCharacterLevelIndex","SummonCharacterSecond","SummonCharacterSecondCount","SummonRadius","SummonWidth","SummonDeployDelay","SummonDeployDelaySecond","CharacterSkin","CharacterSkin2","Radius","Height","Projectile","SpellAsDeploy","CanPlaceOnBuildings","CanPlaceOnWater","InstantDamage","DurationSeconds","InstantHeal","HealPerSecond","Effect","Pushback","MultipleProjectiles","CustomFirstProjectile","BuffTime","BuffTimeIncreasePerLevel","BuffNumber","BuffType","BuffOnDamage","OnlyOwnTroops","OnlyEnemies","CanDeployOnEnemySide","TouchdownLimitedDeploy","CastSound","AreaEffectObject","TID","TID_INFO","IndicatorFileName","IndicatorEffect","HideRadiusIndicator","DestIndicatorEffect","ReleaseDate","ElixirProductionStopTime","DarkMirror","StatsUnderInfo","HeroAbility","PassiveAbility","HPModifier","DamageModifier","DeployWTileMargin"
"string","string","string","string","int","string","int","boolean","boolean","boolean","int","string","int","int","String","int","int","int","int","int","string","string","int","int","string","boolean","boolean","boolean","int","int","int","int","string","int","int","string","int","int","int","string","string","boolean","boolean","boolean","boolean","string","string","string","string","String","String","boolean","String","String","int","boolean","boolean","String","String","int","int","int"
"Fireball",,"fire_fireball","TrainingCamp",,"Rare",4,,,,,,,,,,,,,,,,,,"FireballSpell",,"TRUE","TRUE",,,,,,,,,,,,,,,"true","TRUE",,"Fire ball",,"TID_SPELL_FIREBALL","TID_SPELL_INFO_FIREBALL",,,,,,,,,,,,,
"Arrows",,"order_volley","TrainingCamp",,"Common",3,,,,,,,,,,,,,,,,4000,,"ArrowsSpellDeco",,"TRUE","TRUE",,,,,"Cast_RainOfArrows",,15,"ArrowsSpell",,,,,,,"true","TRUE",,"SpellCasting",,"TID_SPELL_ARROWS","TID_SPELL_INFO_ARROWS",,,,,,,,,,,,,
"Rage",,"rage","Arena3",,"Epic",2,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE",,,,,,,,,,,,,,"true",,"TRUE",,"SpellCasting","Rage","TID_SPELL_RAGE","TID_SPELL_INFO_RAGE",,,,,,,,,,,,,
"Rocket",,"rocket","Arena3",,"Rare",6,,,,,,,,,,,,,,,,,,"RocketSpell",,"TRUE","TRUE",,,,,,,,,,,,,,,"true","TRUE",,"sound_rocket_spawn",,"TID_SPELL_ROCKET","TID_SPELL_INFO_ROCKET",,,,,,,,,,,,,
"GoblinBarrel",,"goblin_barrel","Arena1",,"Epic",3,,,,,,,,,,,,,,,,,,"GoblinBarrelSpell",,"TRUE",,,,,,"goblin_barrel_spawn",,,,,,,,,,"true","TRUE","TRUE","sound_goblin_barrel_spawn",,"TID_SPELL_GOBLIN_BARREL","TID_SPELL_INFO_GOBLIN_BARREL",,,,,,,,,,,,,
"Freeze",,"freeze","Arena4",,"Epic",4,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE",,,,,"Spell_freeze_cast",,,,,,,,,,"true","TRUE",,"SpellCasting","Freeze","TID_SPELL_FREEZE","TID_SPELL_INFO_FREEZE",,,,,,,,,,,,,
"Mirror",,"mirror","Arena5",,"Epic",1,,,"true",,,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,"TRUE",,"SpellCasting",,"TID_SPELL_MIRROR","TID_SPELL_INFO_MIRROR",,,,,,,,,,,,,
"Lightning",,"lightning","Arena1",,"Epic",6,,,,,,,,,,,,,,,,3500,,,,"TRUE","TRUE",,,,,,,,,,,,,,,"true","TRUE",,"SpellCasting","Lightning","TID_SPELL_LIGHTNING","TID_SPELL_INFO_LIGHTNING",,,,,,,,,,,,,
"Zap",,"zap","Arena5",,"Common",2,,,,,,,,,,,,,,,,2500,,,,"TRUE","TRUE",,,,,,,,,,,,,,,"true","TRUE",,"SpellCasting","Zap","TID_SPELL_ZAP","TID_SPELL_INFO_ZAP",,,,,,,,,,,,,
