"FileName",,,
,"SC","ExportName",
,"string","string",
,"sc/level_champion2_arena.sc","champion_base_01",
"Objects",,,
,"champion_drawbridge_01",,
,,"x","y"
,,"int","int"
,,-903,15299
,"champion_floating_rock_01",,
,,"x","y"
,,"int","int"
,,-19000,-500
,,24750,-14687
,"champion_floating_rock_02",,
,,"x","y"
,,"int","int"
,,11000,38500
,,-457,-7937
,"champion_floating_rock_03",,
,,"x","y"
,,"int","int"
,,35000,35000
,"champion_floating_rock_04",,
,,"x","y"
,,"int","int"
,,2500,40000
,,12393,-4719
,"champion_floating_rock_05",,
,,"x","y"
,,"int","int"
,,3500,40500
,,10641,33186
,,12300,-5724
,"champion_king_01",,
,,"x","y"
,,"int","int"
,,3292,-2833
,"champion_king_02",,
,,"x","y"
,,"int","int"
,,14596,-2841
,"champion_stands_blue_01",,
,,"x","y"
,,"int","int"
,,-3636,21371
,"champion_stands_blue_02",,
,,"x","y"
,,"int","int"
,,21844,20932
,"champion_stands_blue_03",,
,,"x","y"
,,"int","int"
,,-12700,23250
,"champion_stands_red_01_stage_01",,
,,"x","y"
,,"int","int"
,,21695,2683
,"champion_stands_red_02",,
,,"x","y"
,,"int","int"
,,-5098,2221
,"champion_stands_red_03",,
,,"x","y"
,,"int","int"
,,30810,1356
,"champion_trophy_big_01",,
,,"x","y"
,,"int","int"
,,22786,11264
,"champion_wall_01_stage_01",,
,,"x","y"
,,"int","int"
,,3000,33000
,"champion_wall_02",,
,,"x","y"
,,"int","int"
,,13500,33000
,"champion_floating_rock_06",,
,,"x","y"
,,"int","int"
,,-13166,33375
,"champion_waterfall_dummy",,
,,"x","y"
,,"int","int"
,,8000,-1000
,,10000,-1000
,"champion_floating_rock_07",,
,,"x","y"
,,"int","int"
,,-9500,49000
,,27500,41000
,,-14500,5500
"Background",,,
