"FileName",,,
,"SC","ExportName",
,"string","string",
,"sc/level_clan_arena.sc","clan_base_t3",
"Objects",,,
,"royal_blocktree",,
,,"x","y"
,,"int","int"
,,14000,-9000
,,3500,-9000
,,5500,45000
,,24500,43000
,,33000,30500
,,-14000,33500
,,31000,41500
,,20500,44500
,,1000,48500
,,-12000,27500
,,28000,41500
,,-15000,3500
,,-15000,11000
,,33500,11500
,,-10500,38000
,,29000,33500
,,30500,15500
,,32500,18000
,,-11500,11500
,,-12500,14500
,,-11000,18500
,,29500,5000
,,-10500,
,,-9500,44500
,,0,-8500
,,27500,-3500
,,27500,-7000
,,14500,45000
,,13000,52500
,,2500,45500
,,-3000,47500
,,-11773,31764
,,6500,50000
,,25000,-9500
,,30000,22000
,,17000,52500
,,500,52500
,,-7500,51000
,,-11500,-10000
,,23500,51500
,,26500,44500
,,-9000,-8500
,,31500,49000
,,-13000,42000
,,-13500,54000
,,-7000,43000
,"royal_bush1x",,
,,"x","y"
,,"int","int"
,,21500,46000
,,-8000,-12500
,,-11500,2500
,,7000,-12500
,,18500,-10500
,,-11500,-6000
,,-14500,15500
,,2000,38500
,,-13000,21000
,,30000,8500
,,30500,-3500
,,32500,34000
,"clan_wall_t3_back_left",,
,,"x","y"
,,"int","int"
,,1625,-6840
,"clan_wall_t3_back_right",,
,,"x","y"
,,"int","int"
,,25164,-6818
,"clan_wall_t3_front_left",,
,,"x","y"
,,"int","int"
,,1620,34128
,"clan_wall_t3_front_right",,
,,"x","y"
,,"int","int"
,,25202,34164
,"clan_wall_left_blue_02",,
,,"x","y"
,,"int","int"
,,-4825,23258
,"clan_wall_right_red_02",,
,,"x","y"
,,"int","int"
,,22854,1773
,"clan_wall_right_blue_02",,
,,"x","y"
,,"int","int"
,,22879,23266
,"clan_wall_left_red_02",,
,,"x","y"
,,"int","int"
,,-4836,1774
,"clan_mortar_t3_01",,
,,"x","y"
,,"int","int"
,,-3747,11591
,"clan_mortar_t3_02",,
,,"x","y"
,,"int","int"
,,21744,11593
,"clan_drawbridge_t3",,
,,"x","y"
,,"int","int"
,,9097,35586
,"clan_sword_t3",,
,,"x","y"
,,"int","int"
,,9036,-3955
,"clan_torch_left",,
,,"x","y"
,,"int","int"
,,-408,3585
,,-366,26964
,"clan_torch_right",,
,,"x","y"
,,"int","int"
,,18477,3453
,,18478,26953
,"clan_chain_t3_01",,
,,"x","y"
,,"int","int"
,,195,16743
,"clan_chain_t3_02",,
,,"x","y"
,,"int","int"
,,17805,16891
,"electric_vignette_01",,
,,"x","y"
,,"int","int"
,,8500,2000
"Background",,,
