"FileName",,,
,"SC","ExportName",
,"string","string",
,"sc/level_ice_arena.sc","ice_base_01",
"Objects",,,
,"ice_cauldron_01",,
,,"x","y"
,,"int","int"
,,-2500,13000
,,-2500,18500
,"ice_stand_red_01_left",,
,,"x","y"
,,"int","int"
,,-2901,7958
,,-2866,1954
,"ice_stand_blue_01_left",,
,,"x","y"
,,"int","int"
,,-2900,23500
,,-2866,29500
,"ice_stand_red_01_right",,
,,"x","y"
,,"int","int"
,,20934,2500
,,20900,8541
,"ice_stand_blue_01_right",,
,,"x","y"
,,"int","int"
,,20833,22500
,,20899,28500
,"ice_mountain_01",,
,,"x","y"
,,"int","int"
,,-500,40000
,,19500,39500
,,19500,-8000
,,-1000,-9000
,,-22500,16500
,,-21500,-8000
,,40000,38500
,"ice_mountain_02",,
,,"x","y"
,,"int","int"
,,-10500,32000
,,26000,34000
,,27500,-3000
,,-10000,-1500
,,39000,13500
,,-23500,40000
,"ice_rockgroup_01",,
,,"x","y"
,,"int","int"
,,6500,40000
,,6500,-8500
,"ice_rockgroup_02",,
,,"x","y"
,,"int","int"
,,11766,39666
,,12000,-8000
,"ice_cauldron_02",,
,,"x","y"
,,"int","int"
,,0,-1500
,,17500,-1500
,,-334,32292
,,18433,32291
,"ice_tree_01",,
,,"x","y"
,,"int","int"
,,-7000,40000
,,-4000,46000
,,-16500,25500
,,-19500,6000
,"ice_tree_02",,
,,"x","y"
,,"int","int"
,,25000,-7500
,,25000,44000
,,32500,12500
,,-21500,
,"ice_tree_03",,
,,"x","y"
,,"int","int"
,,-4000,-9000
,,-10500,-3500
,,20000,40500
,,25500,18000
,,-15000,17500
,,33000,18500
,,-25000,-500
,,-18000,3500
,"ice_stand_snow_01",,
,,"x","y"
,,"int","int"
,,-4500,10500
,"ice_stand_snow_02",,
,,"x","y"
,,"int","int"
,,-4799,31041
,"ice_stand_snow_03",,
,,"x","y"
,,"int","int"
,,22500,29000
,"ice_stand_snow_04",,
,,"x","y"
,,"int","int"
,,22000,9000
,"ice_rock_01",,
,,"x","y"
,,"int","int"
,,-10500,29000
,,-9500,2000
,,15500,34000
,,29500,1500
,"ice_rock_02",,
,,"x","y"
,,"int","int"
,,25500,-2500
,,15000,-8500
,"ice_rock_03",,
,,"x","y"
,,"int","int"
,,2000,37500
,,-8000,-7000
,,26500,24000
,"ice_rock_04",,
,,"x","y"
,,"int","int"
,,-10000,21500
,,-1000,-8000
,,21500,-6500
,"ice_rock_05",,
,,"x","y"
,,"int","int"
,,25500,23500
,"ice_rock_06",,
,,"x","y"
,,"int","int"
,,3000,-8500
,,-3500,33500
,"ice_rock_07",,
,,"x","y"
,,"int","int"
,,-10500,3000
,"ice_chain_01_left",,
,,"x","y"
,,"int","int"
,,-664,5166
,,-733,11165
,,-664,27417
,,-700,21459
,"ice_chain_01_right",,
,,"x","y"
,,"int","int"
,,18667,6166
,,18632,20416
,,18700,26375
,"ice_vfx_sparkle_01",,
,,"x","y"
,,"int","int"
,,-500,16000
,,5500,16000
,,8000,16000
,,9800,16500
,,12233,16250
,,1000,16500
,,3899,334
,,14134,32125
,,3500,32000
,,15200,333
,"ice_vfx_ripple_01_dummy",,
,,"x","y"
,,"int","int"
,,9800,16208
,,13099,16166
,,1600,16125
,,6700,16208
,,17066,16208
,"ice_vfx_shine_01",,
,,"x","y"
,,"int","int"
,,9000,
,"ice_tree_01_shadow",,
,,"x","y"
,,"int","int"
,,-9000,18000
,,24000,-10500
,,-19500,11500
,,-7500,-12000
,"ice_tree_02_shadow",,
,,"x","y"
,,"int","int"
,,24500,35500
,,2500,39500
,,28500,34500
,,-9500,35000
,,-4500,36500
,,7500,45500
,"ice_tree_03_shadow",,
,,"x","y"
,,"int","int"
,,21500,-9500
,,0,35500
,,-7000,2000
,,-10000,24500
,,-9500,-10000
,,29000,-4000
,,-7500,-6500
,"xmas_candycane_01",,
,,"x","y"
,,"int","int"
,,12500,-4500
,"xmas_candycane_02",,
,,"x","y"
,,"int","int"
,,15500,-3500
,"xmas_sled_01",,
,,"x","y"
,,"int","int"
,,20366,37541
,"xmas_tree_01",,
,,"x","y"
,,"int","int"
,,-6500,34500
,,-7500,37500
,,26500,38000
,,22000,45500
,,19500,46500
,,30500,14000
,,33000,28000
,,-14000,14000
,,-5500,-8000
,,18500,-7500
,"xmas_tree_02",,
,,"x","y"
,,"int","int"
,,0,-8000
,,-14500,23000
,,-5000,-10500
,"xmas_tree_03",,
,,"x","y"
,,"int","int"
,,23500,-6500
,"xmas_present_slide_01",,
,,"x","y"
,,"int","int"
,,16337,11049
,"xmas_presents_01",,
,,"x","y"
,,"int","int"
,,-8412,13871
,"xmas_lights_01",,
,,"x","y"
,,"int","int"
,,21333,19916
,,21366,26041
,,21299,125
,"xmas_present_slide_02",,
,,"x","y"
,,"int","int"
,,16237,11002
,"xmas_lights_02",,
,,"x","y"
,,"int","int"
,,-3434,27000
,,-3433,20791
,,-3366,5291
,,-3366,-708
,"xmas_candycane_03",,
,,"x","y"
,,"int","int"
,,6233,-4208
,"xmas_candycane_04",,
,,"x","y"
,,"int","int"
,,2633,-3375
,"xmas_tree_01_shadow",,
,,"x","y"
,,"int","int"
,,-2500,38000
,,27500,20500
,,28000,-500
,,-9000,4500
,"xmas_tree_02_shadow",,
,,"x","y"
,,"int","int"
,,-1500,-11000
,,15500,-11000
,,-8500,28500
,,18000,35500
,"xmas_tree_03_shadow",,
,,"x","y"
,,"int","int"
,,3500,-11000
,,15500,37000
,,27500,30000
,"ice_2v2_base_01",,
,,"x","y"
,,"int","int"
,,9000,
"Background",,,
