CardName,CardImage,IsCommon,IsRare,IsEpic
archers,./spells/archers.png,TRUE,FALSE,FALSE
arrows,./spells/arrows.png,TRUE,FALSE,FALSE
baby-dragon,./spells/baby-dragon.png,FALSE,FALSE,TRUE
balloon,./spells/balloon.png,FALSE,FALSE,TRUE
barbarian-hut,./spells/barbarian-hut.png,FALSE,TRUE,FALSE
barbarians,./spells/barbarians.png,TRUE,FALSE,FALSE
bats,./spells/bats.png,TRUE,FALSE,FALSE
battle-ram,./spells/battle-ram.png,FALSE,TRUE,FALSE
bomb-tower,./spells/bomb-tower.png,FALSE,TRUE,FALSE
bomber,./spells/bomber.png,TRUE,FALSE,FALSE
bowler,./spells/bowler.png,FALSE,FALSE,TRUE
cannon,./spells/cannon.png,TRUE,FALSE,FALSE
clone,./spells/clone.png,FALSE,FALSE,TRUE
dark-prince,./spells/dark-prince.png,FALSE,FALSE,TRUE
dart-goblin,./spells/dart-goblin.png,FALSE,TRUE,FALSE
elite-barbarians,./spells/elite-barbarians.png,TRUE,FALSE,FALSE
elixir-collector,./spells/elixir-collector.png,FALSE,TRUE,FALSE
executioner,./spells/executioner.png,FALSE,FALSE,TRUE
fire-spirits,./spells/fire-spirits.png,TRUE,FALSE,FALSE
fireball,./spells/fireball.png,FALSE,TRUE,FALSE
freeze,./spells/freeze.png,FALSE,FALSE,TRUE
furnace,./spells/furnace.png,FALSE,TRUE,FALSE
gems-1,./spells/gems-1.png,TRUE,FALSE,FALSE
gems-2,./spells/gems-2.png,TRUE,FALSE,FALSE
gems-3,./spells/gems-3.png,TRUE,FALSE,FALSE
gems-4,./spells/gems-4.png,TRUE,FALSE,FALSE
gems-5,./spells/gems-5.png,TRUE,FALSE,FALSE
gems-6,./spells/gems-6.png,TRUE,FALSE,FALSE
gems-0,./spells/gems-0.png,TRUE,FALSE,FALSE
giant-skeleton,./spells/giant-skeleton.png,FALSE,FALSE,TRUE
giant,./spells/giant.png,FALSE,TRUE,FALSE
goblin-barrel,./spells/goblin-barrel.png,FALSE,FALSE,TRUE
goblin-gang,./spells/goblin-gang.png,TRUE,FALSE,FALSE
goblin-hut,./spells/goblin-hut.png,FALSE,TRUE,FALSE
goblins,./spells/goblins.png,TRUE,FALSE,FALSE
gold-1,./spells/gold-1.png,TRUE,FALSE,FALSE
gold-2,./spells/gold-2.png,TRUE,FALSE,FALSE
gold-3,./spells/gold-3.png,TRUE,FALSE,FALSE
gold-0,./spells/gold-0.png,TRUE,FALSE,FALSE
golem,./spells/golem.png,FALSE,FALSE,TRUE
guards,./spells/guards.png,FALSE,FALSE,TRUE
heal,./spells/heal.png,FALSE,TRUE,FALSE
hog-rider,./spells/hog-rider.png,FALSE,TRUE,FALSE
ice-golem,./spells/ice-golem.png,FALSE,TRUE,FALSE
ice-spirit,./spells/ice-spirit.png,TRUE,FALSE,FALSE
inferno-tower,./spells/inferno-tower.png,FALSE,TRUE,FALSE
knight,./spells/knight.png,TRUE,FALSE,FALSE
lightning,./spells/lightning.png,FALSE,FALSE,TRUE
mega-minion,./spells/mega-minion.png,FALSE,TRUE,FALSE
mini-pekka,./spells/mini-pekka.png,FALSE,TRUE,FALSE
minion-horde,./spells/minion-horde.png,TRUE,FALSE,FALSE
minions,./spells/minions.png,TRUE,FALSE,FALSE
mirror,./spells/mirror.png,FALSE,FALSE,TRUE
mortar,./spells/mortar.png,TRUE,FALSE,FALSE
musketeer,./spells/musketeer.png,FALSE,TRUE,FALSE
pekka,./spells/pekka.png,FALSE,FALSE,TRUE
poison,./spells/poison.png,FALSE,FALSE,TRUE
prince,./spells/prince.png,FALSE,FALSE,TRUE
rage,./spells/rage.png,FALSE,FALSE,TRUE
rocket,./spells/rocket.png,FALSE,TRUE,FALSE
royal-giant,./spells/royal-giant.png,TRUE,FALSE,FALSE
skeleton-army,./spells/skeleton-army.png,FALSE,FALSE,TRUE
skeletons,./spells/skeletons.png,TRUE,FALSE,FALSE
soon,./spells/soon.png,TRUE,FALSE,FALSE
spear-goblins,./spells/spear-goblins.png,TRUE,FALSE,FALSE
tesla,./spells/tesla.png,TRUE,FALSE,FALSE
three-musketeers,./spells/three-musketeers.png,FALSE,TRUE,FALSE
tombstone,./spells/tombstone.png,FALSE,TRUE,FALSE
tornado,./spells/tornado.png,FALSE,FALSE,TRUE
valkyrie,./spells/valkyrie.png,FALSE,TRUE,FALSE
witch,./spells/witch.png,FALSE,FALSE,TRUE
wizard,./spells/wizard.png,FALSE,TRUE,FALSE
xbow,./spells/xbow.png,FALSE,FALSE,TRUE
zap,./spells/zap.png,TRUE,FALSE,FALSE
