CardName,CardImage,IsCommon,IsRare,IsEpic
archers,./img/archers.png,TRUE,FALSE,FALSE
arrows,./img/arrows.png,TRUE,FALSE,FALSE
baby-dragon,./img/baby-dragon.png,FALSE,FALSE,TRUE
balloon,./img/balloon.png,FALSE,FALSE,TRUE
barbarian-hut,./img/barbarian-hut.png,FALSE,TRUE,FALSE
barbarians,./img/barbarians.png,TRUE,FALSE,FALSE
battle-ram,./img/battle-ram.png,FALSE,TRUE,FALSE
bomb-tower,./img/bomb-tower.png,FALSE,TRUE,FALSE
bomber,./img/bomber.png,TRUE,FALSE,FALSE
bowler,./img/bowler.png,FALSE,FALSE,TRUE
cannon,./img/cannon.png,TRUE,FALSE,FALSE
clone,./img/clone.png,FALSE,FALSE,TRUE
dark-prince,./img/dark-prince.png,FALSE,FALSE,TRUE
dart-goblin,./img/dart-goblin.png,FALSE,TRUE,FALSE
elite-barbarians,./img/elite-barbarians.png,TRUE,FALSE,FALSE
elixir-collector,./img/elixir-collector.png,FALSE,TRUE,FALSE
executioner,./img/executioner.png,FALSE,FALSE,TRUE
fire-spirits,./img/fire-spirits.png,TRUE,FALSE,FALSE
fireball,./img/fireball.png,FALSE,TRUE,FALSE
freeze,./img/freeze.png,FALSE,FALSE,TRUE
furnace,./img/furnace.png,FALSE,TRUE,FALSE
gems-1,./img/gems-1.png,TRUE,FALSE,FALSE
gems-2,./img/gems-2.png,TRUE,FALSE,FALSE
gems-3,./img/gems-3.png,TRUE,FALSE,FALSE
gems-4,./img/gems-4.png,TRUE,FALSE,FALSE
gems-5,./img/gems-5.png,TRUE,FALSE,FALSE
gems-6,./img/gems-6.png,TRUE,FALSE,FALSE
gems,./img/gems.png,TRUE,FALSE,FALSE
giant-skeleton,./img/giant-skeleton.png,FALSE,FALSE,TRUE
giant,./img/giant.png,FALSE,TRUE,FALSE
goblin-barrel,./img/goblin-barrel.png,FALSE,FALSE,TRUE
goblin-gang,./img/goblin-gang.png,TRUE,FALSE,FALSE
goblin-hut,./img/goblin-hut.png,FALSE,TRUE,FALSE
goblins,./img/goblins.png,TRUE,FALSE,FALSE
gold-1,./img/gold-1.png,TRUE,FALSE,FALSE
gold-2,./img/gold-2.png,TRUE,FALSE,FALSE
gold-3,./img/gold-3.png,TRUE,FALSE,FALSE
gold,./img/gold.png,TRUE,FALSE,FALSE
golem,./img/golem.png,FALSE,FALSE,TRUE
guards,./img/guards.png,FALSE,FALSE,TRUE
hog-rider,./img/hog-rider.png,FALSE,TRUE,FALSE
ice-golem,./img/ice-golem.png,FALSE,TRUE,FALSE
ice-spirit,./img/ice-spirit.png,TRUE,FALSE,FALSE
inferno-tower,./img/inferno-tower.png,FALSE,TRUE,FALSE
knight,./img/knight.png,TRUE,FALSE,FALSE
lightning,./img/lightning.png,FALSE,FALSE,TRUE
mega-minion,./img/mega-minion.png,FALSE,TRUE,FALSE
mini-pekka,./img/mini-pekka.png,FALSE,TRUE,FALSE
minion-horde,./img/minion-horde.png,TRUE,FALSE,FALSE
minions,./img/minions.png,TRUE,FALSE,FALSE
mirror,./img/mirror.png,FALSE,FALSE,TRUE
mortar,./img/mortar.png,TRUE,FALSE,FALSE
musketeer,./img/musketeer.png,FALSE,TRUE,FALSE
pekka,./img/pekka.png,FALSE,FALSE,TRUE
poison,./img/poison.png,FALSE,FALSE,TRUE
prince,./img/prince.png,FALSE,FALSE,TRUE
rage,./img/rage.png,FALSE,FALSE,TRUE
rocket,./img/rocket.png,FALSE,TRUE,FALSE
royal-giant,./img/royal-giant.png,TRUE,FALSE,FALSE
skeleton-army,./img/skeleton-army.png,FALSE,FALSE,TRUE
skeletons,./img/skeletons.png,TRUE,FALSE,FALSE
soon,./img/soon.png,TRUE,FALSE,FALSE
spear-goblins,./img/spear-goblins.png,TRUE,FALSE,FALSE
tesla,./img/tesla.png,TRUE,FALSE,FALSE
three-musketeers,./img/three-muskateers.png,FALSE,TRUE,FALSE
tombstone,./img/tombstone.png,FALSE,TRUE,FALSE
tornado,./img/tornado.png,FALSE,FALSE,TRUE
valkyrie,./img/valkyrie.png,FALSE,TRUE,FALSE
witch,./img/witch.png,FALSE,FALSE,TRUE
wizard,./img/wizard.png,FALSE,TRUE,FALSE
xbow,./img/xbow.png,FALSE,FALSE,TRUE
zap,./img/zap.png,TRUE,FALSE,FALSE
